year,decile,median_income,median_burden,n_unweighted,n_weighted
2005,1,4800.0,100.0,179,20529.0
2005,2,11850.0,72.51641429436705,186,20549.0
2005,3,17300.0,45.71590909090909,150,20704.0
2005,4,22700.0,36.05579036348267,172,20554.0
2005,5,28200.0,31.011235955056183,165,20670.0
2005,6,33600.0,26.769230769230766,143,20583.0
2005,7,40000.0,24.0,158,20562.0
2005,8,49150.0,20.96904315196998,160,20673.0
2005,9,64600.0,17.095384615384614,169,20404.0
2005,10,100000.0,11.61462487537388,178,20843.0
2006,1,4500.0,100.0,184,21666.0
2006,2,11500.0,68.3076923076923,183,21709.0
2006,3,18000.0,47.199999999999996,173,21834.0
2006,4,23200.0,38.62412191470577,168,21769.0
2006,5,30000.0,29.607692307692307,180,21894.0
2006,6,37000.0,23.96685082872928,162,21726.0
2006,7,43500.0,23.733333333333334,163,21768.0
2006,8,53000.0,20.619066147859918,176,21549.0
2006,9,71000.0,16.8,188,22028.0
2006,10,103200.0,12.01142857142857,163,21825.0
2007,1,5000.0,100.0,189,22761.0
2007,2,12000.0,66.14173228346458,179,22971.0
2007,3,18000.0,49.37384615384615,180,22889.0
2007,4,25000.0,38.33839551006933,176,22927.0
2007,5,30000.0,30.504608294930875,176,22577.0
2007,6,37700.0,27.05202312138728,193,23227.0
2007,7,45200.0,23.15275351550458,170,22813.0
2007,8,56004.0,19.717241379310344,185,22878.0
2007,9,71760.0,17.695931477516062,199,22971.0
2007,10,108600.0,11.815384615384614,191,22948.0
2008,1,5130.0,100.0,189,23281.0
2008,2,12000.0,69.48421052631579,188,23293.0
2008,3,19600.0,47.4,193,23198.0
2008,4,25300.0,37.63864734299517,164,23389.0
2008,5,32000.0,30.105882352941176,185,23241.0
2008,6,40000.0,27.0,192,23342.0
2008,7,47400.0,24.0,190,23232.0
2008,8,58000.0,20.607692307692307,187,23069.0
2008,9,73200.0,17.261666666666667,172,23503.0
2008,10,112800.0,12.979591836734695,211,23370.0
2009,1,5100.0,100.0,213,24504.0
2009,2,13000.0,71.2,209,24562.0
2009,3,20000.0,46.23235711521094,198,24533.0
2009,4,26200.0,36.894444444444446,194,24474.0
2009,5,32750.0,31.558013937282233,192,24559.0
2009,6,40000.0,26.034148259815165,198,24529.0
2009,7,49000.0,24.05,207,24458.0
2009,8,60000.0,19.744497607655504,188,24541.0
2009,9,76000.0,17.642105263157895,194,24352.0
2009,10,111000.0,13.368180107033611,210,24844.0
2010,1,5100.0,100.0,244,26881.0
2010,2,12000.0,74.525,220,26972.0
2010,3,18000.0,52.166956521739124,216,26949.0
2010,4,24600.0,40.086956521739125,224,27026.0
2010,5,30950.0,31.260377358490565,224,26869.0
2010,6,38650.0,27.292307692307695,215,26890.0
2010,7,46300.0,25.493333333333336,241,27029.0
2010,8,57400.0,21.0,211,27036.0
