county,fips,current_price,change_6mo_pct,change_12mo_pct,total_emp,tech_emp,tech_pct,info_pct,prof_sci_pct,arts_pct,gov_pct
Santa Clara,06085,1583412.2333728848,1.973125305947018,-1.683571868015716,1011709,254305,25.136180462959214,6.411033212119295,18.725147250839917,1.8181117297562837,2.601933955317191
Alameda,06001,1044520.5878993848,-2.4683827434712566,-5.23871799440675,850555,182553,21.462809577276015,3.7927000605487002,17.670109516727315,1.8165785869226563,3.6631375983916388
Contra Costa,06013,766060.1509988109,-1.6329070648701975,-4.620524315086528,578596,88940,15.37169285650091,2.032679105973771,13.339013750527137,2.32856777440563,3.8845757661649922
San Francisco,06075,1268695.954713693,2.970828281717963,2.103059319607988,469220,137959,29.40177315544947,6.30599718682068,23.095775968628786,2.3460210562209625,3.974042027194067
San Mateo,06081,1525400.1518524562,0.4059405141806718,-0.18144915372843523,386517,87567,22.655407136038,4.5819459428692655,18.073461193168736,2.745286753234657,3.451335905018408
Sonoma,06097,772956.1227420281,-0.9750731421564175,-2.851756306180526,251796,27178,10.793658358353587,1.975011517260004,8.818646841093583,2.914661074838361,4.363850100875312
Solano,06095,567011.6352274487,-1.471125629794836,-3.0917594831899753,210417,15741,7.4808594362622785,1.65528450647999,5.825574929782289,1.9133435036142517,6.76751403166094
Santa Cruz,06087,1102785.0217767437,1.9046181126458321,0.20455781668239423,130190,15520,11.921038482218297,2.07466011214379,9.846378370074506,2.7329287963745297,4.483447269375528
Marin,06041,1392758.5427750442,0.9279967899393282,-1.2474513320712506,122942,29155,23.714434448764457,4.215809080704722,19.498625368059734,2.296204714418181,3.3210782320118435
Napa,06055,864943.5442354205,-2.166921181318944,-3.979342270229051,70166,6124,8.727873899039421,1.0959724082889148,7.631901490750506,1.4394436051648947,5.297437505344469
