metro_name,CBSA,total_units_2010,highrise_units_2010,total_units_2024,highrise_units_2024,highrise_growth,highrise_pct_growth,lat,lon
"New York-Newark-Jersey City, NY-NJ Metro Area",35620,7469623.0,1984464.0,8038666,2355577,371113.0,18.7,40.72168897852375,-74.0218862539946
"Dallas-Fort Worth-Arlington, TX Metro Area",19100,2434997.0,226417.0,3096731,442819,216402.0,95.6,32.84976830447734,-96.9706101668234
"Houston-Pasadena-The Woodlands, TX Metro Area",26420,2229168.0,221498.0,2906364,419928,198430.0,89.6,29.840411045734605,-95.38509954138004
"Los Angeles-Long Beach-Anaheim, CA Metro Area",31080,4467990.0,742353.0,4796635,927194,184841.0,24.9,34.220094664256095,-118.14852589617135
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",47900,2180947.0,316988.0,2506631,472680,155692.0,49.1,38.84308602851246,-77.50956774203958
"Seattle-Tacoma-Bellevue, WA Metro Area",42660,1437149.0,185314.0,1704523,317249,131935.0,71.2,47.5533310451312,-121.85602547268175
"Atlanta-Sandy Springs-Roswell, GA Metro Area",12060,2128758.0,156208.0,2497322,276616,120408.0,77.1,33.732805573019114,-84.39236696602028
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",33100,2444544.0,638088.0,2680465,757102,119014.0,18.7,26.155372885944395,-80.50564299380831
"Phoenix-Mesa-Chandler, AZ Metro Area",38060,1745666.0,121604.0,2068985,225812,104208.0,85.7,33.18670713278264,-112.06885058674968
"Chicago-Naperville-Elgin, IL-IN Metro Area",16980,3773438.0,468200.0,3900420,560241,92041.0,19.7,41.66561702679343,-87.9556993832255
"Austin-Round Rock-San Marcos, TX Metro Area",12420,676169.0,80868.0,1042843,172524,91656.0,113.3,30.261822526614793,-97.65427470819368
"Boston-Cambridge-Newton, MA-NH Metro Area",14460,1866582.0,225200.0,2059059,313431,88231.0,39.2,42.55437326629915,-71.09964276555151
