"state","sldl18","puma22","stab","PUMA22name","pop20","afact"
"State code","State legislative district, lower (2018)","PUMA (2022)","State abbr.","PUMA22 name","Total population (2020 Census)","sldl18-to-puma22 allocation factor"
"01","001","00100","AL","Lauderdale, Colbert & Franklin Counties",45462,1 
"01","002","00100","AL","Lauderdale, Colbert & Franklin Counties",40328,0.8559 
"01","002","00200","AL","Limestone County",6790,0.1441 
"01","003","00100","AL","Lauderdale, Colbert & Franklin Counties",44982,0.922 
"01","003","00300","AL","Morgan & Lawrence Counties--Decatur City",3807,0.078 
"01","004","00200","AL","Limestone County",18508,0.3369 
"01","004","00300","AL","Morgan & Lawrence Counties--Decatur City",36427,0.6631 
"01","005","00200","AL","Limestone County",52889,1 
"01","006","00200","AL","Limestone County",15346,0.2851 
"01","006","00401","AL","Madison County (North & East)--Huntsville City (East)",18827,0.3497 
"01","006","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",19661,0.3652 
"01","007","00100","AL","Lauderdale, Colbert & Franklin Counties",6369,0.1439 
"01","007","00300","AL","Morgan & Lawrence Counties--Decatur City",32700,0.739 
"01","007","01000","AL","Cullman, Marion & Winston Counties",5181,0.1171 
"01","008","00300","AL","Morgan & Lawrence Counties--Decatur City",46184,1 
"01","009","00300","AL","Morgan & Lawrence Counties--Decatur City",33107,0.7082 
"01","009","00501","AL","Marshall & Madison (Far Southeast) Counties",1241,0.0265 
"01","009","01000","AL","Cullman, Marion & Winston Counties",12397,0.2652 
"01","010","00401","AL","Madison County (North & East)--Huntsville City (East)",53,0.0009 
"01","010","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",38437,0.6532 
"01","010","00403","AL","Huntsville City (Central & South)",18254,0.3102 
"01","010","00501","AL","Marshall & Madison (Far Southeast) Counties",2103,0.0357 
"01","011","00300","AL","Morgan & Lawrence Counties--Decatur City",4269,0.0897 
"01","011","00501","AL","Marshall & Madison (Far Southeast) Counties",4338,0.0912 
"01","011","00900","AL","St. Clair & Blount Counties",13675,0.2875 
"01","011","01000","AL","Cullman, Marion & Winston Counties",25290,0.5316 
"01","012","01000","AL","Cullman, Marion & Winston Counties",50179,1 
"01","013","00900","AL","St. Clair & Blount Counties",5379,0.1194 
"01","013","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",39662,0.8806 
"01","014","01000","AL","Cullman, Marion & Winston Counties",12206,0.2811 
"01","014","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",31211,0.7189 
"01","015","01401","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",39581,0.7479 
"01","015","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",3965,0.0749 
"01","015","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",9374,0.1771 
"01","016","01100","AL","West Alabama",23119,0.5116 
"01","016","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",9586,0.2121 
"01","016","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",4118,0.0911 
"01","016","01401","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",8340,0.1846 
"01","016","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",26,0.0006 
"01","017","01000","AL","Cullman, Marion & Winston Counties",35494,0.8319 
"01","017","01100","AL","West Alabama",7174,0.1681 
"01","018","00100","AL","Lauderdale, Colbert & Franklin Counties",45763,1 
"01","019","00401","AL","Madison County (North & East)--Huntsville City (East)",17000,0.3365 
"01","019","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",23522,0.4656 
"01","019","00403","AL","Huntsville City (Central & South)",9998,0.1979 
"01","020","00401","AL","Madison County (North & East)--Huntsville City (East)",14742,0.2922 
"01","020","00403","AL","Huntsville City (Central & South)",35713,0.7078 
"01","020","00501","AL","Marshall & Madison (Far Southeast) Counties",4,0.0001 
"01","021","00401","AL","Madison County (North & East)--Huntsville City (East)",28585,0.5558 
"01","021","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",159,0.0031 
"01","021","00403","AL","Huntsville City (Central & South)",22687,0.4411 
"01","022","00401","AL","Madison County (North & East)--Huntsville City (East)",34295,0.626 
"01","022","00403","AL","Huntsville City (Central & South)",410,0.0075 
"01","022","00501","AL","Marshall & Madison (Far Southeast) Counties",11464,0.2093 
"01","022","00600","AL","DeKalb & Jackson Counties",8612,0.1572 
"01","023","00600","AL","DeKalb & Jackson Counties",45555,1 
"01","024","00600","AL","DeKalb & Jackson Counties",46295,1 
"01","025","00200","AL","Limestone County",10037,0.1793 
"01","025","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",45954,0.8207 
"01","026","00501","AL","Marshall & Madison (Far Southeast) Counties",41281,0.8537 
"01","026","00600","AL","DeKalb & Jackson Counties",7076,0.1463 
"01","027","00501","AL","Marshall & Madison (Far Southeast) Counties",41367,0.8763 
"01","027","00600","AL","DeKalb & Jackson Counties",3245,0.0687 
"01","027","00900","AL","St. Clair & Blount Counties",2594,0.055 
"01","028","00700","AL","Etowah & Cherokee Counties",43075,1 
"01","029","00600","AL","DeKalb & Jackson Counties",8919,0.1939 
"01","029","00700","AL","Etowah & Cherokee Counties",31760,0.6905 
"01","029","00800","AL","Calhoun County",5318,0.1156 
"01","030","00700","AL","Etowah & Cherokee Counties",28601,0.5993 
"01","030","00900","AL","St. Clair & Blount Counties",19125,0.4007 
"01","031","01901","AL","Elmore & Montgomery (South & Far East) Counties",49525,1 
"01","032","00800","AL","Calhoun County",22142,0.5072 
"01","032","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",21517,0.4928 
"01","033","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",37512,0.8519 
"01","033","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",6521,0.1481 
"01","034","00501","AL","Marshall & Madison (Far Southeast) Counties",9385,0.2002 
"01","034","00900","AL","St. Clair & Blount Counties",37486,0.7998 
"01","035","00800","AL","Calhoun County",13198,0.2849 
"01","035","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",33128,0.7151 
"01","036","00800","AL","Calhoun County",22061,0.4807 
"01","036","00900","AL","St. Clair & Blount Counties",19606,0.4272 
"01","036","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",4228,0.0921 
"01","037","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",28388,0.6331 
"01","037","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",16453,0.3669 
"01","038","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",18319,0.351 
"01","038","02101","AL","Lee County (West)--Auburn & Opelika Cities",13697,0.2624 
"01","038","02201","AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",20181,0.3866 
"01","039","00600","AL","DeKalb & Jackson Counties",4485,0.1007 
"01","039","00700","AL","Etowah & Cherokee Counties",24971,0.5605 
"01","039","00800","AL","Calhoun County",6458,0.145 
"01","039","01600","AL","Talladega, Randolph, Cleburne & Clay Counties",8635,0.1938 
"01","040","00800","AL","Calhoun County",47264,1 
"01","041","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",190,0.0035 
"01","041","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",54382,0.9965 
"01","042","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",30935,0.6491 
"01","042","01700","AL","Autauga, Dallas, Lowndes & Perry Counties",16721,0.3509 
"01","043","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",48094,1 
"01","044","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",1380,0.0273 
"01","044","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",48556,0.9597 
"01","044","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",658,0.013 
"01","045","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",256,0.005 
"01","045","01403","AL","Birmingham City",320,0.0063 
"01","045","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",23002,0.4521 
"01","045","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",20456,0.4021 
"01","045","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",6843,0.1345 
"01","046","01403","AL","Birmingham City",16,0.0003 
"01","046","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",50315,0.9997 
"01","047","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",47385,1 
"01","048","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",43037,0.8081 
"01","048","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",10217,0.1919 
"01","049","01100","AL","West Alabama",15846,0.3406 
"01","049","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",15015,0.3227 
"01","049","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",15666,0.3367 
"01","050","00900","AL","St. Clair & Blount Counties",52372,0.9897 
"01","050","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",545,0.0103 
"01","051","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",23134,0.4771 
"01","051","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",25357,0.5229 
"01","052","01403","AL","Birmingham City",26160,0.6517 
"01","052","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",13979,0.3483 
"01","053","00402","AL","Huntsville (North & Far West), Madison (East) & Triana Cities",25364,0.548 
"01","053","00403","AL","Huntsville City (Central & South)",20921,0.452 
"01","054","01403","AL","Birmingham City",44447,0.9921 
"01","054","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",352,0.0079 
"01","055","01403","AL","Birmingham City",41064,1 
"01","056","01401","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",43754,0.8769 
"01","056","01403","AL","Birmingham City",5071,0.1016 
"01","056","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",1073,0.0215 
"01","057","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",3639,0.0847 
"01","057","01401","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",26002,0.605 
"01","057","01403","AL","Birmingham City",13337,0.3103 
"01","058","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",27101,0.6044 
"01","058","01403","AL","Birmingham City",16417,0.3661 
"01","058","01404","AL","Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",1324,0.0295 
"01","059","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",19831,0.4733 
"01","059","01403","AL","Birmingham City",22067,0.5267 
"01","060","01301","AL","Jefferson (Northwest) & Walker Counties--Adamsville, Warrior & Graysville Cities",12673,0.2908 
"01","060","01401","AL","Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",732,0.0168 
"01","060","01402","AL","Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",11909,0.2733 
"01","060","01403","AL","Birmingham City",18267,0.4192 
"01","061","01100","AL","West Alabama",19123,0.3738 
"01","061","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",22694,0.4436 
"01","061","01202","AL","Tuscaloosa & Northport (Southeast) Cities",9339,0.1826 
"01","062","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",45482,0.8208 
"01","062","01202","AL","Tuscaloosa & Northport (Southeast) Cities",9927,0.1792 
"01","063","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",11756,0.2111 
"01","063","01202","AL","Tuscaloosa & Northport (Southeast) Cities",43943,0.7889 
"01","064","02600","AL","Southwest Alabama",5783,0.1102 
"01","064","02701","AL","Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",28170,0.537 
"01","064","02702","AL","Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",18509,0.3528 
"01","065","02600","AL","Southwest Alabama",40638,1 
"01","066","02600","AL","Southwest Alabama",31949,0.6904 
"01","066","02701","AL","Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",5017,0.1084 
"01","066","02702","AL","Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",9310,0.2012 
"01","067","01700","AL","Autauga, Dallas, Lowndes & Perry Counties",39344,1 
"01","068","01100","AL","West Alabama",8211,0.2078 
"01","068","02600","AL","Southwest Alabama",31301,0.7922 
"01","069","01700","AL","Autauga, Dallas, Lowndes & Perry Counties",16895,0.3988 
"01","069","01801","AL","Montgomery City (West)",8811,0.208 
"01","069","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",2039,0.0481 
"01","069","01901","AL","Elmore & Montgomery (South & Far East) Counties",4016,0.0948 
"01","069","02600","AL","Southwest Alabama",10600,0.2502 
"01","070","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",272,0.0055 
"01","070","01202","AL","Tuscaloosa & Northport (Southeast) Cities",49014,0.9945 
"01","071","01100","AL","West Alabama",19520,0.4382 
"01","071","01201","AL","Tuscaloosa County (Outer)--Northport City (North & West)",11222,0.2519 
"01","071","01202","AL","Tuscaloosa & Northport (Southeast) Cities",13801,0.3098 
"01","072","01100","AL","West Alabama",32899,0.8118 
"01","072","01700","AL","Autauga, Dallas, Lowndes & Perry Counties",7629,0.1882 
"01","073","01501","AL","Shelby County (North)--Hoover (South), Alabaster (North) & Pelham Cities",34090,0.6614 
"01","073","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",17456,0.3386 
"01","074","01801","AL","Montgomery City (West)",15303,0.3397 
"01","074","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",29739,0.6603 
"01","075","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",30063,0.4994 
"01","075","01901","AL","Elmore & Montgomery (South & Far East) Counties",30131,0.5006 
"01","076","01801","AL","Montgomery City (West)",19087,0.439 
"01","076","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",24388,0.561 
"01","077","01801","AL","Montgomery City (West)",38918,0.8592 
"01","077","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",6375,0.1408 
"01","078","01801","AL","Montgomery City (West)",27290,0.6796 
"01","078","01802","AL","Montgomery City (East) & Pike Road Town (Northwest)",12867,0.3204 
"01","079","02101","AL","Lee County (West)--Auburn & Opelika Cities",61805,1 
"01","080","02201","AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",49450,1 
"01","081","01502","AL","Shelby (South and East) and Chilton Counties--Alabaster (South) & Chelsea Cities",5320,0.117 
"01","081","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",40133,0.883 
"01","082","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",24576,0.4667 
"01","082","02101","AL","Lee County (West)--Auburn & Opelika Cities",28088,0.5333 
"01","083","02101","AL","Lee County (West)--Auburn & Opelika Cities",24314,0.4881 
"01","083","02201","AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",25496,0.5119 
"01","084","02000","AL","Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",10357,0.2253 
"01","084","02201","AL","Lee (East) & Russell Counties--Phenix City & Smiths Station Cities",10393,0.2261 
"01","084","02500","AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",25223,0.5486 
"01","085","02300","AL","Houston, Geneva & Henry Counties--Dothan City",45597,1 
"01","086","02300","AL","Houston, Geneva & Henry Counties--Dothan City",48137,1 
"01","087","02300","AL","Houston, Geneva & Henry Counties--Dothan City",48082,1 
"01","088","01700","AL","Autauga, Dallas, Lowndes & Perry Counties",35500,0.6944 
"01","088","01901","AL","Elmore & Montgomery (South & Far East) Counties",15620,0.3056 
"01","089","02400","AL","Coffee & Dale Counties",12625,0.2767 
"01","089","02500","AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",33009,0.7233 
"01","090","01901","AL","Elmore & Montgomery (South & Far East) Counties",2759,0.0654 
"01","090","02400","AL","Coffee & Dale Counties",2426,0.0575 
"01","090","02500","AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",32245,0.7638 
"01","090","02600","AL","Southwest Alabama",4787,0.1134 
"01","091","02400","AL","Coffee & Dale Counties",48815,1 
"01","092","02400","AL","Coffee & Dale Counties",2224,0.0499 
"01","092","02500","AL","Covington, Pike, Barbour, Butler & Crenshaw Counties",37570,0.8423 
