Country,Pop (M),Net Rate 2022,Net Rate 2023,Gross Immig Rate 2023,Peak Rate,Peak Year,Notes
Canada,40.7,15.0,31.0,,31.0,2023,471K permanent + 805K NPRs in 2023; 97.6% of pop growth from migration. Total net ~1.27M
Andorra,0.08,17.0,28.1,,28.1,2023,Microstate
Malta,0.54,27.4,25.8,76.0,27.4,2022,Highest gross immigration rate in EU
New Zealand,5.13,5.0,24.6,,24.6,2023,Net 126K in calendar 2023; OECD: 23/1000 permanent. Peak 134K Oct 2023 year
Iceland,0.39,20.1,-7.3,,20.1,2022,OECD: 35/1000 permanent in 2023; Eurostat negative is puzzling
Australia,26.5,12.0,20.0,,20.0,2023,Net 518-538K in FY2022-23; 737K arrivals. Rate ~20/1000
Czech Republic,10.8,19.4,4.5,,19.4,2022,46.6/1000 Ukrainian refugees stock
Estonia,1.37,16.9,4.3,,16.9,2022,50.5/1000 Ukrainian refugees stock
Luxembourg,0.66,15.7,11.2,40.0,15.7,2022,OECD: 42/1000 permanent
Ireland,5.28,15.0,10.1,,15.0,2022,"Net 77,600; 141,600 immigrants"
Cyprus,0.92,13.7,12.0,43.0,13.7,2022,
United Kingdom,67.7,11.3,12.7,,12.7,2023,"Net 764K (Dec 2022 year), 906K (June 2023), 685K (Dec 2023). OECD: 750K permanent record"
Lithuania,2.86,12.1,6.7,,12.1,2022,Ukrainian refugees
Switzerland,8.9,5.8,11.0,17.0,11.0,2023,OECD: 17/1000 permanent
Austria,9.1,9.3,3.9,,9.3,2022,Net +67K; down from +137K in 2022
Spain,48.0,8.3,7.4,,8.3,2022,"1.25M immigrants, net +642K"
Netherlands,17.9,8.3,4.9,,8.3,2022,Net 145K; down from 224K in 2022
Norway,5.5,7.8,7.4,,7.8,2022,
Portugal,10.4,6.1,7.7,,7.7,2023,Foreign pop surpassed 1M in 2023
Belgium,11.7,7.1,4.2,,7.1,2022,
Denmark,5.9,6.7,3.2,,6.7,2022,
Israel,9.5,5.3,1.1,,5.3,2022,"Net 50K in 2022 (Ukraine/Russia), collapsed to 10K in 2023"
Finland,5.6,1.9,4.8,,4.8,2023,+46.5% increase in immigration
Sweden,10.5,4.4,1.9,,4.4,2022,
United States,335.0,3.0,3.6,,3.6,2023,OECD: 1.2M permanent; undocumented adds ~1M+. CBO est total ~3.3M in FY2023
Germany,84.5,-0.9,2.7,,2.7,2023,Net 663K; OECD 700K permanent; 2022 was record 1.46M net
France,68.2,1.8,1.9,6.0,1.9,2023,
Singapore,5.92,,,,0.0,2023,94.5% of 2023 employment growth was foreign. Hard to get net migration figures.
Italy,58.8,-0.4,-0.3,7.0,-0.3,2023,Negative net migration
Poland,37.8,-2.5,-2.4,,-2.4,2023,Eurostat shows negative; but ~1M Ukrainian refugees in stock
