nationality_code,nationality_name,2018,2019,2020,2021,2022,2023
IND,India,354707,408417,197850,356921,456327,470082
CHN,China (People’s Republic of),585558,589401,279439,292534,416551,489850
NGA,Nigeria,75446,70492,40720,59115,66708,61381
UKR,Ukraine,203997,239469,205971,281604,1996369,648723
PHL,Philippines,168698,171595,79329,86333,161578,220174
PAK,Pakistan,91681,97609,58935,88586,102632,115691
BGD,Bangladesh,53893,53302,34313,42560,72775,94260
NPL,Nepal,50372,48759,26947,25476,97173,96961
SYR,Syrian Arab Republic,159828,132059,77076,144996,167493,200911
MEX,Mexico,183835,179903,115321,131058,166752,219595
