nationality_code,nationality_name,destination,year,inflows
IND,India,SVK,2018,1
IND,India,SVK,2019,3
IND,India,SVK,2020,5
IND,India,SVK,2021,2
IND,India,SVK,2022,7
IND,India,SVK,2023,21
IND,India,CHL,2018,215
IND,India,CHL,2019,219
IND,India,CHL,2020,158
IND,India,CHL,2021,64
IND,India,CHL,2022,217
IND,India,CHL,2023,206
IND,India,ISR,2018,350
IND,India,ISR,2019,30
IND,India,ISR,2020,51
IND,India,ISR,2021,313
IND,India,ISR,2022,69
IND,India,ISR,2023,21
IND,India,LVA,2018,936
IND,India,LVA,2019,831
IND,India,LVA,2020,422
IND,India,LVA,2021,513
IND,India,LVA,2022,917
IND,India,LVA,2023,1241
IND,India,PRT,2018,4094
IND,India,PRT,2019,6267
IND,India,PRT,2020,7172
IND,India,PRT,2021,7407
IND,India,PRT,2022,7414
IND,India,PRT,2023,12185
IND,India,SVN,2018,63
IND,India,SVN,2019,52
IND,India,SVN,2020,79
IND,India,SVN,2021,54
IND,India,SVN,2022,122
IND,India,SVN,2023,241
IND,India,ESP,2018,6993
IND,India,ESP,2019,7171
IND,India,ESP,2020,3026
IND,India,ESP,2021,5797
IND,India,ESP,2022,8120
IND,India,ESP,2023,10063
IND,India,ISL,2018,38
IND,India,ISL,2019,42
IND,India,ISL,2020,67
IND,India,ISL,2021,127
IND,India,ISL,2022,180
IND,India,ISL,2023,158
IND,India,LTU,2018,363
IND,India,LTU,2019,302
IND,India,LTU,2020,330
IND,India,LTU,2021,307
IND,India,LTU,2022,396
IND,India,LTU,2023,2392
IND,India,EST,2018,172
IND,India,EST,2019,296
IND,India,EST,2020,202
IND,India,EST,2021,252
IND,India,EST,2022,347
IND,India,EST,2023,278
IND,India,MEX,2018,286
IND,India,MEX,2019,329
IND,India,MEX,2020,463
IND,India,MEX,2021,552
IND,India,MEX,2022,415
IND,India,MEX,2023,553
IND,India,NZL,2018,14295
IND,India,NZL,2019,15123
IND,India,NZL,2020,9177
IND,India,NZL,2021,3654
IND,India,NZL,2022,13977
IND,India,NZL,2023,47163
IND,India,CZE,2018,1158
IND,India,CZE,2019,1519
IND,India,CZE,2020,862
IND,India,CZE,2021,1245
IND,India,CZE,2022,2000
IND,India,CZE,2023,1900
IND,India,LUX,2018,664
IND,India,LUX,2019,775
IND,India,LUX,2020,537
IND,India,LUX,2021,985
IND,India,LUX,2022,1286
IND,India,LUX,2023,889
IND,India,FIN,2018,1046
IND,India,FIN,2019,1432
IND,India,FIN,2020,986
IND,India,FIN,2021,1387
IND,India,FIN,2022,2638
IND,India,FIN,2023,3065
IND,India,NOR,2018,2037
IND,India,NOR,2019,2360
IND,India,NOR,2020,1034
IND,India,NOR,2021,1334
IND,India,NOR,2022,2567
IND,India,NOR,2023,2113
IND,India,DNK,2018,3043
