country,x,y,anglophone
Australia,25.10296819347093,1.085,True
Austria,21.05283484900903,1.057,False
Belgium,-3.473037100621198,1.074,False
Bulgaria,-10.035565430571893,0.935,False
Canada,37.090244161916544,0.923,True
Chile,20.839839849691444,1.254,False
Colombia,-11.564653813631296,1.441,False
Croatia,-3.6678530069246307,1.084,False
Czechia,22.843714849996616,1.405,False
Denmark,5.741459319858521,1.31,False
Estonia,12.751506959922963,0.842,False
Finland,-19.856472060486098,1.582,False
France,-6.455090296849846,1.133,False
Germany,11.616375177876222,1.128,False
Greece,7.301222039524248,1.282,False
Hungary,22.252225294747234,0.916,False
Ireland,25.79428668143302,0.72,True
Italy,-18.729866069128065,1.407,False
Japan,15.227151367825968,0.722,False
Latvia,2.357435023492968,1.305,False
Lithuania,12.282055943340765,1.579,False
Luxembourg,29.56825550526014,0.907,False
Netherlands,30.2467040827524,1.255,False
New Zealand,16.60853412185749,1.003,True
Norway,4.640755705074184,0.913,False
Poland,-2.3603828081646725,1.6,False
Portugal,53.45224891183567,0.724,False
Republic of Korea,-24.726508593535286,0.812,False
Romania,-49.794540918726135,1.941,False
Slovakia,5.8644483380004,1.278,False
Slovenia,15.688286473166514,1.177,False
South Africa,-9.877665270612837,1.176,False
Spain,16.967710461362714,0.946,False
Sweden,4.176159155498112,1.041,False
Switzerland,23.31723596598846,0.804,False
United Kingdom,9.20837090583413,1.008,True
United States,29.043150984926527,1.534,True
