iso3,country_oecd,year,pti_index,rhp_index,country,cantril_ladder_score,anglophone
AUS,Australia,2011,86.61196140064668,85.22303254255998,Australia,7.344625,True
AUS,Australia,2014,93.0375695919452,92.90161259907093,Australia,7.284,True
AUS,Australia,2015,100.00000000000014,100.00000000000004,Australia,7.313,True
AUS,Australia,2016,105.14198751756975,104.8457559419335,Australia,7.284,True
AUS,Australia,2017,112.44146495930599,112.2037045270115,Australia,7.2721,True
AUS,Australia,2018,107.60350107647925,108.7698802402515,Australia,7.228,True
AUS,Australia,2019,100.5910328695296,102.50960027412376,Australia,7.2228,True
AUS,Australia,2020,100.08350958723659,106.700265288002,Australia,7.1835,True
AUS,Australia,2021,111.9266083206845,122.6994457277055,Australia,7.1621,True
AUS,Australia,2022,116.41010482984976,124.37752039131401,Australia,7.0946,True
AUS,Australia,2023,118.15910032263174,118.9781695343475,Australia,7.0569,True
AUT,Austria,2011,86.43548500436685,87.76821917700457,Austria,7.227316,False
AUT,Austria,2014,95.74079593346863,95.95104218831457,Austria,7.2,False
AUT,Austria,2015,100.00000000000007,100.00000000000013,Austria,7.119,False
AUT,Austria,2016,103.76124138521175,105.28968363576725,Austria,7.006,False
AUT,Austria,2017,106.75641529436425,108.62439723427825,Austria,7.1394,False
AUT,Austria,2018,109.72051318414925,112.71447408545475,Austria,7.246,False
AUT,Austria,2019,114.61655755612475,117.4558925074095,Austria,7.2942,False
AUT,Austria,2020,123.4581152915265,125.09761739773249,Austria,7.2678,False
AUT,Austria,2021,132.44341810728173,136.8030119919665,Austria,7.163,False
AUT,Austria,2022,135.3945396474175,141.83527999127327,Austria,7.0973,False
AUT,Austria,2023,123.51964224599024,127.43093280890301,Austria,6.9047,False
BEL,Belgium,2011,98.71552773420515,99.55924216881178,Belgium,7.113178,False
BEL,Belgium,2014,98.81787015442106,98.99019358029591,Belgium,6.937,False
BEL,Belgium,2015,99.99999999999997,100.00000000000023,Belgium,6.929,False
BEL,Belgium,2016,99.8148138737358,100.83167484836625,Belgium,6.891,False
BEL,Belgium,2017,100.11168381859655,102.323882081625,Belgium,6.9269,False
BEL,Belgium,2018,100.16478431763767,103.2828448618975,Belgium,6.923,False
BEL,Belgium,2019,100.060195971757,105.60112637734925,Belgium,6.8635,False
BEL,Belgium,2020,102.91495205444724,109.13082479023225,Belgium,6.834,False
BEL,Belgium,2021,104.72612229929975,113.445879026949,Belgium,6.805,False
BEL,Belgium,2022,102.17153659502324,108.267864162935,Belgium,6.8591,False
BEL,Belgium,2023,97.09790039298952,104.17427674146525,Belgium,6.8942,False
CAN,Canada,2011,93.5480779541127,88.43613396622263,Canada,7.499089,True
CAN,Canada,2014,97.92844461209012,95.86722334822338,Canada,7.427,True
CAN,Canada,2015,100.0000000000002,99.99999999999997,Canada,7.404,True
CAN,Canada,2016,110.95512831109275,109.0781503143445,Canada,7.316,True
CAN,Canada,2017,119.4813484281765,120.43048242398226,Canada,7.3285,True
CAN,Canada,2018,122.15568265978399,122.86537503811525,Canada,7.2781,True
CAN,Canada,2019,120.14341049034626,122.669114230545,Canada,7.2321,True
