lookback,r2_residual,p_residual,n_residual,r2_happiness,p_happiness,n_happiness
3,0.02236829588784624,0.3769664944772211,37,0.001984075005019485,0.7934952245855025,37.0
4,0.0600485288312944,0.1437953375761363,37,0.013777221695193029,0.4890221717390952,37.0
5,0.0996912301922102,0.056953732799508786,37,0.024162671178122402,0.3582660816754307,37.0
6,0.12041210155233098,0.035362998749061486,37,0.017574174935390097,0.4341194150470135,37.0
7,0.13600810733579985,0.024696543452699487,37,0.010475944611242198,0.546640951253469,37.0
8,0.16344785400792572,0.013074039296432374,37,0.020284960814636474,0.40040211148521176,37.0
9,0.19921653976805223,0.005622302376754658,37,0.044965954855660815,0.20767784091398583,37.0
10,0.24203111150885004,0.0019836597122953486,37,0.1122822790491763,0.04262979217141071,37.0
11,0.2585761262342176,0.001311255960230281,37,0.15910766088636266,0.014465398275181951,37.0
12,0.26806364886765544,0.0010308551215090036,37,,,
13,0.2617079044443842,0.0012114684289306755,37,0.21071841538281852,0.004265950582438337,37.0
14,0.2632458166985784,0.0011651716341788264,37,0.22678852009361733,0.0028875774380425373,37.0
15,0.24191274952227856,0.001989493888517015,37,,,
16,0.2236494778096311,0.003117660898814214,37,,,
17,0.06713269062053595,0.12702809713350866,36,,,
18,0.07128218101580795,0.12103334207085577,35,,,
19,0.04280154460868015,0.25591369408175496,32,,,
20,0.0024371592424276443,0.7955845818444474,30,,,
21,0.017886969815694792,0.5238977107389975,25,,,
22,0.014322505822366192,0.5688115134425197,25,,,
23,0.013886630737670283,0.5747953111399909,25,,,
24,0.012437464705782284,0.6038947810316435,24,,,
