country,pti_2018,pti_2023,hap_2018,hap_2023,pti_change,hap_change,anglophone
Australia,107.60350107647925,118.15910032263174,7.228,7.0569,10.555599246152497,-0.17110000000000003,True
Austria,109.72051318414925,123.51964224599024,7.246,6.9047,13.799129061840986,-0.3413000000000004,False
Belgium,100.16478431763767,97.09790039298952,6.923,6.8942,-3.0668839246481525,-0.02880000000000038,False
Canada,122.15568265978399,138.6812383549075,7.2781,6.8996,16.5255556951235,-0.37849999999999984,True
Switzerland,105.905384608311,123.97693137427599,7.4802,7.0602,18.071546765964996,-0.41999999999999993,False
Germany,110.81572093355724,113.5893527529485,6.985,6.7185,2.7736318193912552,-0.2665000000000006,False
Denmark,103.19778899013775,102.383939572957,7.6001,7.5827,-0.813849417180748,-0.017400000000000304,False
Spain,109.71417064825249,113.6138014998585,6.3541,6.4209,3.8996308516060054,0.06679999999999975,False
Finland,97.49556185779475,85.52232564999696,7.7689,7.7407,-11.973236207797797,-0.028200000000000003,False
France,101.33856912390775,102.14708337621423,6.5921,6.609,0.8085142523064803,0.016899999999999693,False
United Kingdom,108.194082658764,111.5682364110115,7.0537,6.749,3.3741537522474943,-0.3047000000000004,True
Ireland,117.39892838267801,116.26092530315,7.0211,6.838,-1.138003079528005,-0.1830999999999996,True
Italy,93.25783031005722,86.92455869355292,6.2234,6.3235,-6.333271616504291,0.1001000000000003,False
Japan,103.0851063112725,116.124423575074,5.8861,6.0598,13.039317263801507,0.1737000000000002,False
South Korea,95.54712545257665,82.02739260296822,5.8947,6.0579,-13.519732849608431,0.1631999999999998,False
Norway,107.026555320219,112.51013043828274,7.5539,7.3017,5.48357511806374,-0.2521999999999993,False
New Zealand,110.49965961721576,113.82996317006649,7.3075,7.0292,3.3303035528507365,-0.27829999999999977,True
Portugal,116.7026455983825,147.44871002255675,5.6925,6.0296,30.74606442417425,0.3371000000000004,False
Sweden,105.0353857623745,98.93611414688182,7.3433,7.3441,-6.0992716154926825,0.0007999999999999119,False
United States,106.315960004414,127.67240409974025,6.8923,6.7248,21.356444095326253,-0.16749999999999954,True
