country,pti_early,pti_late,happiness_change_2006_2025,pti_change,pti_pct_change,anglophone
Australia,86.71250901570626,120.03864785043807,-0.414,33.32613883473181,38.43290802333426,True
Austria,89.51901379989135,117.42756297867157,-0.382,27.90854917878022,31.176113312827948,False
Belgium,99.24869489234281,97.91460564494008,-0.187,-1.33408924740273,-1.344188202021035,False
Canada,94.67117976070755,136.0258828074797,-0.758,41.354703046772144,43.68246297479441,True
Denmark,93.57413209155179,103.46064191835693,-0.317,9.886509826805138,10.565430430209389,False
Finland,102.45465742344375,81.65071739939837,0.185,-20.803940024045374,-20.305509331862748,False
France,106.8543423131935,96.25579590062296,-0.16,-10.598546412570542,-9.918685739046396,False
Germany,95.32575446619221,110.11620208286733,0.31,14.790447616675124,15.51568901762077,False
Ireland,84.67552011968876,117.06932030388576,-0.356,32.393800184197005,38.25639351067274,True
Italy,116.36109910200143,86.78431086455866,-0.004,-29.57678823744277,-25.418106623001158,False
Japan,97.27643675774932,115.17635352335958,0.07,17.899916765610257,18.401081867530777,False
New Zealand,82.57502703865536,109.37764817895349,-0.378,26.80262114029813,32.45850725274504,True
Norway,100.99430089046449,109.66313695434995,-0.282,8.668836063885465,8.583490342972366,False
Portugal,100.03240650448625,151.93377615250665,0.702,51.901369648020406,51.884555677157216,False
South Korea,111.10472833849617,78.36942030063837,0.396,-32.735308037857806,-29.46346976172345,False
Spain,111.95483055065017,117.04886553107883,-0.222,5.09403498042866,4.550080559609304,False
Sweden,83.28288283038519,96.54786238167328,-0.125,13.264979551288093,15.927618137695454,False
Switzerland,91.77640288131381,126.05380565287574,-0.481,34.277402771561924,37.34881919036401,False
United Kingdom,95.69997233197209,107.30747603892816,-0.242,11.607503706956066,12.129056491982038,True
United States,93.04518201015787,127.9719524571305,-0.454,34.926770446972625,37.53743041005564,True
