rank,country,happiness_score,ci_lo,ci_hi,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption
1,Finland,7.764,1,1,56054.0,0.949,69.93,0.943,0.194
2,Iceland,7.54,2,4,67773.0,0.978,71.37,0.943,0.654
3,Denmark,7.539,2,4,71177.0,0.947,70.06,0.927,0.221
4,Costa Rica,7.439,2,4,26971.0,0.894,67.63,0.941,0.752
5,Sweden,7.255,5,8,63136.0,0.925,71.12,0.921,0.261
6,Norway,7.242,5,8,90539.0,0.945,71.16,0.935,0.313
7,Netherlands,7.223,5,8,70645.0,0.914,69.97,0.875,0.409
8,Israel,7.187,5,9,47726.0,0.938,70.76,0.786,0.641
9,Luxembourg,7.063,8,17,128717.0,0.888,71.23,0.911,0.36
10,Switzerland,7.018,9,19,82217.0,0.912,71.15,0.898,0.253
11,New Zealand,6.995,9,20,49213.0,0.928,69.98,0.897,0.299
12,Mexico,6.972,9,24,21989.0,0.852,61.44,0.885,0.744
13,Ireland,6.928,9,24,122023.0,0.921,70.0,0.896,0.386
14,Belgium,6.926,9,24,63345.0,0.907,69.79,0.869,0.489
15,Australia,6.916,9,25,60386.0,0.899,70.61,0.868,0.493
16,Kosovo,6.91,9,26,15656.0,0.827,,0.905,0.813
17,Germany,6.882,10,26,62711.0,0.896,68.93,0.841,0.41
18,Slovenia,6.868,11,26,48524.0,0.933,69.36,0.938,0.773
19,Austria,6.845,11,30,63991.0,0.891,69.79,0.862,0.506
20,Czechia,6.821,12,30,48155.0,0.933,66.66,0.904,0.814
21,United Arab Emirates,6.821,12,31,69836.0,0.757,67.27,0.921,
22,Saudi Arabia,6.817,12,31,62938.0,0.869,65.64,,
23,United States,6.816,12,30,75288.0,0.906,63.91,0.73,0.702
24,Poland,6.768,15,34,45197.0,0.893,65.52,0.84,0.669
25,Canada,6.741,16,41,56617.0,0.909,69.78,0.842,0.452
26,Taiwan Province of China,6.714,18,41,65004.0,0.881,,0.797,0.667
27,Belize,6.711,10,48,12621.0,0.872,63.82,0.97,0.816
28,Lithuania,6.704,19,42,47131.0,0.92,64.23,0.805,0.765
29,United Kingdom,6.694,19,42,52678.0,0.885,68.64,0.851,0.497
30,Serbia,6.691,19,43,26861.0,0.915,63.87,0.819,0.792
31,Uruguay,6.635,24,43,31956.0,0.914,64.99,0.91,0.643
32,Brazil,6.634,22,43,19590.0,0.863,61.83,0.852,0.752
33,Kazakhstan,6.633,24,43,35925.0,0.935,61.55,0.864,0.78
34,Romania,6.629,24,43,40557.0,0.806,63.85,0.852,0.886
35,France,6.586,25,45,54736.0,0.877,70.08,0.765,0.573
36,Singapore,6.585,25,45,131052.0,0.89,73.65,0.862,0.163
37,El Salvador,6.578,25,48,11652.0,0.753,62.2,0.933,0.501
38,Italy,6.574,26,46,53240.0,0.866,70.56,0.711,0.835
39,Panama,6.547,26,50,36486.0,0.893,66.74,0.859,0.873
40,Kuwait,6.543,27,50,46899.0,0.835,67.78,0.895,
41,Spain,6.54,28,49,48375.0,0.918,71.11,0.783,0.685
42,Guatemala,6.533,26,50,12637.0,0.785,59.25,0.897,0.794
43,Malta,6.436,34,55,61551.0,0.911,70.71,0.86,0.755
44,Argentina,6.43,34,55,27268.0,0.906,64.79,0.856,0.821
45,Viet Nam,6.428,36,55,14359.0,0.856,65.35,0.97,0.624
46,Estonia,6.41,37,55,41298.0,0.937,66.74,0.869,0.403
47,Bosnia and Herzegovina,6.381,37,58,20508.0,0.874,64.99,0.793,0.9
48,Latvia,6.365,39,58,37771.0,0.939,63.76,0.837,0.79
49,Jamaica,6.305,30,73,11535.0,0.919,61.72,0.854,0.812
50,Chile,6.302,43,62,30159.0,0.874,67.65,0.828,0.806
51,Nicaragua,6.301,39,64,7584.0,0.846,64.61,0.895,0.516
52,Thailand,6.296,43,64,21701.0,0.873,65.76,0.932,0.892
53,Uzbekistan,6.283,43,65,10434.0,0.91,63.36,0.931,0.64
54,Slovakia,6.255,47,65,40167.0,0.946,64.94,0.776,0.838
55,Bahrain,6.254,43,66,59056.0,0.827,64.24,0.911,
56,Philippines,6.206,47,70,10365.0,0.824,58.77,0.931,0.793
57,Paraguay,6.198,47,70,16268.0,0.911,60.88,0.901,0.849
58,Oman,6.197,43,76,36721.0,0.824,63.19,0.912,
59,Ecuador,6.144,49,72,14118.0,0.782,64.34,0.785,0.808
60,Montenegro,6.139,49,72,28090.0,0.895,65.15,0.833,0.722
61,Japan,6.13,49,72,46296.0,0.87,73.4,0.794,0.631
62,Cyprus,6.126,49,72,52039.0,0.799,70.74,0.742,0.831
63,Honduras,6.096,50,76,6571.0,0.752,60.05,0.875,0.814
64,Dominican Republic,6.093,49,76,24155.0,0.867,63.56,0.885,0.652
65,China,6.074,61,80,24002.0,0.71,68.58,0.742,
66,Kyrgyzstan,6.049,55,76,7002.0,0.923,63.42,0.945,0.782
67,Republic of Korea,6.04,55,76,54546.0,0.805,72.45,0.762,0.712
68,Colombia,6.04,54,78,18554.0,0.855,65.02,0.82,0.859
69,Portugal,6.029,55,78,42167.0,0.886,69.52,0.878,0.89
70,Croatia,6.009,56,78,42747.0,0.922,66.8,0.665,0.794
71,Malaysia,6.005,55,78,33990.0,0.783,63.95,0.946,0.768
72,Peru,5.974,57,79,15652.0,0.808,62.99,0.778,0.922
73,Mauritius,5.939,61,80,27858.0,0.859,63.63,0.827,0.744
74,Hungary,5.937,61,80,40658.0,0.944,64.84,0.736,0.852
75,Mongolia,5.936,61,80,16909.0,0.941,61.31,0.715,0.859
76,Trinidad and Tobago,5.905,55,89,31960.0,0.869,61.94,0.8,0.937
77,Republic of Moldova,5.851,67,86,16417.0,0.821,61.21,0.863,0.881
78,Bolivia,5.835,67,86,11416.0,0.794,57.43,0.817,0.88
79,Russian Federation,5.834,70,86,40944.0,0.84,60.94,0.752,0.736
80,Venezuela,5.756,73,89,89.0,0.841,62.05,0.776,0.736
81,Libya,5.731,76,90,13003.0,0.771,62.06,0.788,0.567
82,North Macedonia,5.719,76,91,24173.0,0.882,63.71,0.707,0.917
83,Algeria,5.714,76,92,15648.0,0.82,65.55,0.832,
84,Bulgaria,5.703,76,91,34186.0,0.931,62.39,0.798,0.931
85,Greece,5.697,76,92,37475.0,0.814,68.55,0.537,0.84
86,Albania,5.662,76,92,21575.0,0.732,66.69,0.884,0.846
87,Indonesia,5.617,79,92,14480.0,0.804,60.67,0.903,0.887
88,Tajikistan,5.591,79,92,4736.0,0.891,63.09,,0.429
89,Armenia,5.584,79,93,19960.0,0.803,64.01,0.82,0.707
90,Hong Kong SAR of China,5.569,79,93,65289.0,0.84,,0.779,0.34
91,Georgia,5.517,85,93,24566.0,0.794,62.48,0.868,0.693
92,Lao PDR,5.515,83,93,8584.0,0.675,60.41,0.917,0.674
93,Mozambique,5.336,91,100,1504.0,0.729,49.72,0.803,0.687
94,Türkiye,5.3,93,99,36192.0,0.834,65.21,0.463,0.787
95,Iraq,5.212,93,101,12843.0,0.768,61.02,0.627,0.81
96,Gabon,5.167,93,103,18844.0,0.724,56.26,0.765,0.797
97,Iran,5.151,93,103,17264.0,0.811,63.98,0.616,0.749
98,Côte d?Ivoire,5.148,93,103,6744.0,0.614,55.41,0.772,0.671
99,Nepal,5.147,93,103,5061.0,0.758,60.2,0.802,0.823
100,Cameroon,5.083,94,104,4920.0,0.687,54.01,0.759,0.854
101,South Africa,5.009,95,104,13624.0,0.824,52.76,0.762,0.84
102,Azerbaijan,4.993,96,104,21967.0,0.715,64.04,0.833,0.637
103,Niger,4.94,96,108,1786.0,0.599,52.61,0.81,
104,Pakistan,4.868,100,112,5494.0,0.565,56.89,0.594,0.829
105,Tunisia,4.798,103,113,12787.0,0.738,63.58,0.65,0.83
106,Nigeria,4.788,103,114,7984.0,0.752,54.95,0.704,0.882
107,Senegal,4.787,102,114,4488.0,0.681,58.9,0.825,0.765
108,Namibia,4.781,103,114,10255.0,0.869,52.82,0.662,0.849
109,State of Palestine,4.694,104,121,5829.0,0.841,,0.708,0.792
110,Kenya,4.674,104,125,5842.0,0.68,58.22,0.745,0.796
111,Ukraine,4.658,104,124,16276.0,0.83,61.55,0.695,0.924
