rank,country,happiness_change_2006_2025
1,Serbia,2.127
2,Bulgaria,1.814
3,Georgia,1.625
4,Latvia,1.603
5,Bosnia and Herzegovina,1.523
6,Kosovo,1.49
7,Romania,1.45
8,China,1.395
9,Philippines,1.38
10,Mongolia,1.374
11,North Macedonia,1.35
12,Togo,1.27
13,Kyrgyzstan,1.221
14,Nicaragua,1.186
15,Lithuania,1.116
16,Armenia,1.11
17,Estonia,1.08
18,Viet Nam,1.068
19,Uzbekistan,1.058
20,Dominican Republic,1.057
21,Kazakhstan,1.038
22,Hungary,0.994
23,Montenegro,0.993
24,Tajikistan,0.977
25,Poland,0.965
26,Côte d?Ivoire,0.95
27,Slovenia,0.946
28,Benin,0.9
29,Niger,0.819
30,Paraguay,0.8
31,Uruguay,0.737
32,Taiwan Province of China,0.726
33,Ecuador,0.719
34,Cameroon,0.719
35,Peru,0.716
36,Portugal,0.702
37,Iceland,0.651
38,Mozambique,0.643
39,Congo,0.636
40,El Salvador,0.622
41,Mali,0.621
42,Slovakia,0.598
43,Russian Federation,0.549
44,Republic of Moldova,0.546
45,Nepal,0.542
46,Honduras,0.532
47,Burkina Faso,0.529
48,Albania,0.529
49,Thailand,0.492
50,Malta,0.476
51,Chad,0.466
52,Czechia,0.461
53,Indonesia,0.458
54,Kenya,0.454
55,Bahrain,0.438
56,Azerbaijan,0.411
57,Republic of Korea,0.396
58,Croatia,0.386
59,Cambodia,0.373
60,Iraq,0.357
61,Lao PDR,0.354
62,Germany,0.31
63,Senegal,0.29
64,Comoros,0.281
65,Morocco,0.262
66,Belize,0.26
67,Guatemala,0.257
68,Algeria,0.251
69,Liberia,0.24
70,Saudi Arabia,0.237
71,Mexico,0.232
72,Bolivia,0.201
73,Costa Rica,0.188
74,Argentina,0.187
75,Finland,0.185
76,Malaysia,0.182
77,State of Palestine,0.181
78,Uganda,0.178
79,Chile,0.174
80,Hong Kong SAR of China,0.145
81,Jamaica,0.097
82,Japan,0.07
83,Türkiye,0.066
84,Tanzania,0.053
85,Singapore,0.036
86,Luxembourg,0.012
87,Italy,-0.004
88,Israel,-0.012
89,Mauritania,-0.021
90,Kuwait,-0.029
91,Brazil,-0.064
92,Nigeria,-0.068
93,South Africa,-0.092
94,Namibia,-0.105
95,Iran,-0.109
96,United Arab Emirates,-0.113
97,Sweden,-0.125
98,Madagascar,-0.135
99,Ghana,-0.151
100,France,-0.16
101,Colombia,-0.163
102,Belgium,-0.187
103,Spain,-0.222
104,DR Congo,-0.222
105,United Kingdom,-0.242
106,Sri Lanka,-0.263
107,Pakistan,-0.268
108,Norway,-0.282
109,Netherlands,-0.289
110,Cyprus,-0.29
111,Tunisia,-0.298
112,Panama,-0.316
113,Denmark,-0.317
114,Sierra Leone,-0.335
115,Ireland,-0.356
116,Trinidad and Tobago,-0.358
117,New Zealand,-0.378
118,Austria,-0.382
119,Australia,-0.414
120,Ukraine,-0.431
121,Greece,-0.436
122,India,-0.439
123,Bangladesh,-0.454
124,United States,-0.454
125,Zimbabwe,-0.458
126,Switzerland,-0.481
127,Zambia,-0.598
128,Canada,-0.758
129,Yemen,-1.027
130,Egypt,-1.108
131,Botswana,-1.117
132,Venezuela,-1.166
133,Jordan,-1.229
134,Lebanon,-1.307
135,Malawi,-1.34
136,Afghanistan,-2.874
