rank,country,happiness_score,ci_lo,ci_hi,gdp_per_capita,social_support,healthy_life_expectancy,freedom,corruption,pti_2023_25,anglophone
1,Finland,7.764,1,1,56054.0,0.949,69.93,0.943,0.194,81.65071739939837,False
3,Denmark,7.539,2,4,71177.0,0.947,70.06,0.927,0.221,103.46064191835693,False
5,Sweden,7.255,5,8,63136.0,0.925,71.12,0.921,0.261,96.54786238167328,False
6,Norway,7.242,5,8,90539.0,0.945,71.16,0.935,0.313,109.66313695434995,False
10,Switzerland,7.018,9,19,82217.0,0.912,71.15,0.898,0.253,126.05380565287574,False
11,New Zealand,6.995,9,20,49213.0,0.928,69.98,0.897,0.299,109.37764817895349,True
13,Ireland,6.928,9,24,122023.0,0.921,70.0,0.896,0.386,117.06932030388576,True
14,Belgium,6.926,9,24,63345.0,0.907,69.79,0.869,0.489,97.91460564494008,False
15,Australia,6.916,9,25,60386.0,0.899,70.61,0.868,0.493,120.03864785043807,True
17,Germany,6.882,10,26,62711.0,0.896,68.93,0.841,0.41,110.11620208286733,False
19,Austria,6.845,11,30,63991.0,0.891,69.79,0.862,0.506,117.42756297867157,False
23,United States,6.816,12,30,75288.0,0.906,63.91,0.73,0.702,127.9719524571305,True
25,Canada,6.741,16,41,56617.0,0.909,69.78,0.842,0.452,136.0258828074797,True
29,United Kingdom,6.694,19,42,52678.0,0.885,68.64,0.851,0.497,107.30747603892816,True
35,France,6.586,25,45,54736.0,0.877,70.08,0.765,0.573,96.25579590062296,False
38,Italy,6.574,26,46,53240.0,0.866,70.56,0.711,0.835,86.78431086455866,False
41,Spain,6.54,28,49,48375.0,0.918,71.11,0.783,0.685,117.04886553107883,False
61,Japan,6.13,49,72,46296.0,0.87,73.4,0.794,0.631,115.17635352335958,False
67,South Korea,6.04,55,76,54546.0,0.805,72.45,0.762,0.712,78.36942030063837,False
69,Portugal,6.029,55,78,42167.0,0.886,69.52,0.878,0.89,151.93377615250665,False
