rank,country,happiness_score,ci_lo,ci_hi
1,Finland,7.764,1,1
2,Iceland,7.54,2,4
3,Denmark,7.539,2,4
4,Costa Rica,7.439,2,4
5,Sweden,7.255,5,8
6,Norway,7.242,5,8
7,Netherlands,7.223,5,8
8,Israel,7.187,5,9
9,Luxembourg,7.063,8,17
10,Switzerland,7.018,9,19
11,New Zealand,6.995,9,20
12,Mexico,6.972,9,24
13,Ireland,6.928,9,24
14,Belgium,6.926,9,24
15,Australia,6.916,9,25
16,Kosovo,6.91,9,26
17,Germany,6.882,10,26
18,Slovenia,6.868,11,26
19,Austria,6.845,11,30
20,Czechia,6.821,12,30
21,United Arab Emirates,6.821,12,31
22,Saudi Arabia,6.817,12,31
23,United States,6.816,12,30
24,Poland,6.768,15,34
25,Canada,6.741,16,41
26,Taiwan Province of China,6.714,18,41
27,Belize,6.711,10,48
28,Lithuania,6.704,19,42
29,United Kingdom,6.694,19,42
30,Serbia,6.691,19,43
31,Uruguay,6.635,24,43
32,Brazil,6.634,22,43
33,Kazakhstan,6.633,24,43
34,Romania,6.629,24,43
35,France,6.586,25,45
36,Singapore,6.585,25,45
37,El Salvador,6.578,25,48
38,Italy,6.574,26,46
39,Panama,6.547,26,50
40,Kuwait,6.543,27,50
41,Spain,6.54,28,49
42,Guatemala,6.533,26,50
43,Malta,6.436,34,55
44,Argentina,6.43,34,55
45,Viet Nam,6.428,36,55
46,Estonia,6.41,37,55
47,Bosnia and Herzegovina,6.381,37,58
48,Latvia,6.365,39,58
49,Jamaica,6.305,30,73
50,Chile,6.302,43,62
51,Nicaragua,6.301,39,64
52,Thailand,6.296,43,64
53,Uzbekistan,6.283,43,65
54,Slovakia,6.255,47,65
55,Bahrain,6.254,43,66
56,Philippines,6.206,47,70
57,Paraguay,6.198,47,70
58,Oman,6.197,43,76
59,Ecuador,6.144,49,72
60,Montenegro,6.139,49,72
61,Japan,6.13,49,72
62,Cyprus,6.126,49,72
63,Honduras,6.096,50,76
64,Dominican Republic,6.093,49,76
65,China,6.074,61,80
66,Kyrgyzstan,6.049,55,76
67,Republic of Korea,6.04,55,76
68,Colombia,6.04,54,78
69,Portugal,6.029,55,78
70,Croatia,6.009,56,78
71,Malaysia,6.005,55,78
72,Peru,5.974,57,79
73,Mauritius,5.939,61,80
74,Hungary,5.937,61,80
75,Mongolia,5.936,61,80
76,Trinidad and Tobago,5.905,55,89
77,Republic of Moldova,5.851,67,86
78,Bolivia,5.835,67,86
79,Russian Federation,5.834,70,86
80,Venezuela,5.756,73,89
81,Libya,5.731,76,90
82,North Macedonia,5.719,76,91
83,Algeria,5.714,76,92
84,Bulgaria,5.703,76,91
85,Greece,5.697,76,92
86,Albania,5.662,76,92
87,Indonesia,5.617,79,92
88,Tajikistan,5.591,79,92
89,Armenia,5.584,79,93
90,Hong Kong SAR of China,5.569,79,93
91,Georgia,5.517,85,93
92,Lao PDR,5.515,83,93
93,Mozambique,5.336,91,100
94,Türkiye,5.3,93,99
95,Iraq,5.212,93,101
96,Gabon,5.167,93,103
97,Iran,5.151,93,103
98,Côte d?Ivoire,5.148,93,103
99,Nepal,5.147,93,103
100,Cameroon,5.083,94,104
101,South Africa,5.009,95,104
102,Azerbaijan,4.993,96,104
103,Niger,4.94,96,108
104,Pakistan,4.868,100,112
105,Tunisia,4.798,103,113
106,Nigeria,4.788,103,114
107,Senegal,4.787,102,114
108,Namibia,4.781,103,114
109,State of Palestine,4.694,104,121
110,Kenya,4.674,104,125
111,Ukraine,4.658,104,124
112,Morocco,4.646,105,125
113,Guinea,4.609,105,127
114,Mali,4.588,106,127
115,Ghana,4.554,109,127
116,India,4.536,109,127
117,Somalia,4.508,109,129
118,Uganda,4.491,109,130
119,Jordan,4.478,109,131
120,Mauritania,4.473,110,130
121,Cambodia,4.462,110,131
122,Congo,4.456,110,131
123,Burkina Faso,4.455,111,131
124,Benin,4.393,113,131
125,Chad,4.385,113,132
126,Lesotho,4.375,112,133
127,Bangladesh,4.319,117,133
128,Gambia,4.306,109,130
129,Myanmar,4.287,118,133
130,Liberia,4.28,117,133
131,Togo,4.277,121,133
132,Madagascar,4.174,126,135
133,Zambia,4.106,127,138
134,Sri Lanka,4.013,132,139
135,Ethiopia,3.985,132,139
136,Comoros,3.925,133,141
137,Eswatini,3.909,133,141
138,Tanzania,3.902,133,141
139,Egypt,3.862,134,141
140,DR Congo,3.761,136,142
141,Lebanon,3.723,136,142
142,Yemen,3.532,140,145
143,Botswana,3.464,142,145
144,Zimbabwe,3.346,142,146
145,Malawi,3.284,142,146
146,Sierra Leone,3.251,144,146
147,Afghanistan,1.446,147,147
