country,pti_2018,pti_2023_25,hap_2018,happiness_score,pti_change,hap_change,anglophone
Australia,107.60350107647925,120.03864785043807,7.228,6.916,12.43514677395882,-0.3119999999999994,True
Austria,109.72051318414925,117.42756297867157,7.246,6.845,7.7070497945223195,-0.4010000000000007,False
Belgium,100.16478431763767,97.91460564494008,6.923,6.926,-2.2501786726975865,0.0030000000000001137,False
Canada,122.15568265978399,136.0258828074797,7.2781,6.741,13.870200147695698,-0.5371000000000006,True
Switzerland,105.905384608311,126.05380565287574,7.4802,7.018,20.148421044564742,-0.46220000000000017,False
Germany,110.81572093355724,110.11620208286733,6.985,6.882,-0.6995188506899126,-0.10300000000000065,False
Denmark,103.19778899013775,103.46064191835693,7.6001,7.539,0.26285292821917494,-0.0611000000000006,False
Spain,109.71417064825249,117.04886553107883,6.3541,6.54,7.334694882826341,0.18590000000000018,False
Finland,97.49556185779475,81.65071739939837,7.7689,7.764,-15.84484445839638,-0.0049000000000001265,False
France,101.33856912390775,96.25579590062296,6.5921,6.586,-5.082773223284789,-0.006099999999999994,False
United Kingdom,108.194082658764,107.30747603892816,7.0537,6.694,-0.8866066198358453,-0.35970000000000013,True
Ireland,117.39892838267801,117.06932030388576,7.0211,6.928,-0.32960807879224774,-0.09309999999999974,True
Italy,93.25783031005722,86.78431086455866,6.2234,6.574,-6.473519445498553,0.3506,False
Japan,103.0851063112725,115.17635352335958,5.8861,6.13,12.091247212087083,0.2439,False
South Korea,95.54712545257665,78.36942030063837,5.8947,6.04,-17.177705151938284,0.14529999999999976,False
Norway,107.026555320219,109.66313695434995,7.5539,7.242,2.6365816341309483,-0.3118999999999996,False
New Zealand,110.49965961721576,109.37764817895349,7.3075,6.995,-1.1220114382622626,-0.3125,True
Portugal,116.7026455983825,151.93377615250665,5.6925,6.029,35.23113055412415,0.3365,False
Sweden,105.0353857623745,96.54786238167328,7.3433,7.255,-8.48752338070122,-0.08830000000000027,False
United States,106.315960004414,127.9719524571305,6.8923,6.816,21.655992452716504,-0.07629999999999981,True
