year,lpr_plus,ina_nonimmigrant,other_foreign_nationals,source_vintage,total_net_immigration
2001,794,50,529,CBO Jan 2024,1373
2002,728,302,278,CBO Jan 2024,1308
2003,575,182,398,CBO Jan 2024,1155
2004,749,321,259,CBO Jan 2024,1329
2005,869,463,552,CBO Jan 2024,1884
2006,910,449,329,CBO Jan 2024,1688
2007,800,-273,362,CBO Jan 2024,889
2008,835,-411,-250,CBO Jan 2024,174
2009,832,529,-462,CBO Jan 2024,899
2010,786,117,-100,CBO Jan 2024,803
2011,791,42,-104,CBO Jan 2024,729
2012,766,-125,13,CBO Jan 2024,654
2013,748,-63,132,CBO Jan 2024,817
2014,769,824,46,CBO Jan 2024,1639
2015,813,376,289,CBO Jan 2024,1478
2016,877,-18,26,CBO Jan 2024,885
2017,840,473,-213,CBO Jan 2024,1100
2018,810,-339,200,CBO Jan 2024,671
2019,713,-64,-234,CBO Jan 2024,415
2020,537,58,213,CBO Jan 2024,808
2021,551,20,600,CBO Jan 2024,1171
2022,714,60,1900,CBO Jan 2024,2674
2023,807,90,2400,CBO Jan 2024,3297
2024,809,90,1800,CBO Jan 2025 (revised),2699
2025,830,-120,-290,CBO Sep 2025 / Jan 2026,420
