iso3,year,value,source,metric,rate_per1000,country
AUS,2018,238224,ABS,net,9.542985134392314,Australia
AUS,2019,241338,ABS,net,9.525938721663216,Australia
AUS,2020,192703,ABS,net,7.513007788766361,Australia
AUS,2021,-84930,ABS,net,-3.3065461437799795,Australia
AUS,2022,207912,ABS,net,7.990861656881596,Australia
AUS,2023,538341,ABS,net,20.192894787914234,Australia
AUS,2024,429162,ABS,net,15.77986419878918,Australia
AUS,2025,304812,ABS,net,11.207637130410728,Australia
AUT,2000,17272,Eurostat CNMIGRAT,net,,Austria
AUT,2001,42003,Eurostat CNMIGRAT,net,,Austria
AUT,2002,34365,Eurostat CNMIGRAT,net,,Austria
AUT,2003,42565,Eurostat CNMIGRAT,net,,Austria
AUT,2004,54110,Eurostat CNMIGRAT,net,,Austria
AUT,2005,49938,Eurostat CNMIGRAT,net,,Austria
AUT,2006,25067,Eurostat CNMIGRAT,net,,Austria
AUT,2007,23380,Eurostat CNMIGRAT,net,,Austria
AUT,2008,24345,Eurostat CNMIGRAT,net,,Austria
AUT,2009,17677,Eurostat CNMIGRAT,net,2.1065004791076074,Austria
AUT,2010,21978,Eurostat CNMIGRAT,net,2.619034198666459,Austria
AUT,2011,31327,Eurostat CNMIGRAT,net,3.7331187706626703,Austria
AUT,2012,44223,Eurostat CNMIGRAT,net,5.245913073928548,Austria
AUT,2013,56122,Eurostat CNMIGRAT,net,6.6182985187308745,Austria
AUT,2014,73670,Eurostat CNMIGRAT,net,8.620048123434128,Austria
AUT,2015,114237,Eurostat CNMIGRAT,net,13.217745984211646,Austria
AUT,2016,65388,Eurostat CNMIGRAT,net,7.4843178200201725,Austria
AUT,2017,45039,Eurostat CNMIGRAT,net,5.119484184602878,Austria
AUT,2018,34948,Eurostat CNMIGRAT,net,3.9531606791047724,Austria
AUT,2019,40723,Eurostat CNMIGRAT,net,4.585964738421067,Austria
AUT,2020,39596,Eurostat CNMIGRAT,net,4.44057462354478,Austria
AUT,2021,52149,Eurostat CNMIGRAT,net,5.8229323420349965,Austria
AUT,2022,136548,Eurostat CNMIGRAT,net,15.101775067958984,Austria
AUT,2023,66133,Eurostat CNMIGRAT,net,7.24208616497957,Austria
AUT,2024,49711,Eurostat CNMIGRAT,net,5.416332261274864,Austria
BEL,2000,12836,Eurostat CNMIGRAT,net,,Belgium
BEL,2001,34386,Eurostat CNMIGRAT,net,,Belgium
BEL,2002,38665,Eurostat CNMIGRAT,net,,Belgium
BEL,2003,33611,Eurostat CNMIGRAT,net,,Belgium
BEL,2004,33392,Eurostat CNMIGRAT,net,,Belgium
BEL,2005,49186,Eurostat CNMIGRAT,net,,Belgium
BEL,2006,52210,Eurostat CNMIGRAT,net,,Belgium
BEL,2007,58895,Eurostat CNMIGRAT,net,,Belgium
BEL,2008,63596,Eurostat CNMIGRAT,net,,Belgium
BEL,2009,63481,Eurostat CNMIGRAT,net,5.750994902821676,Belgium
BEL,2010,86413,Eurostat CNMIGRAT,net,7.8284954953061465,Belgium
BEL,2011,50838,Eurostat CNMIGRAT,net,4.605615520701443,Belgium
BEL,2012,43110,Eurostat CNMIGRAT,net,3.881359857069441,Belgium
BEL,2013,26594,Eurostat CNMIGRAT,net,2.383101539355989,Belgium
BEL,2014,36175,Eurostat CNMIGRAT,net,3.2273009228162546,Belgium
BEL,2015,62110,Eurostat CNMIGRAT,net,5.509040289879651,Belgium
BEL,2016,26811,Eurostat CNMIGRAT,net,2.3660755022626465,Belgium
BEL,2017,36838,Eurostat CNMIGRAT,net,3.238460511933109,Belgium
BEL,2018,49304,Eurostat CNMIGRAT,net,4.3146728806917345,Belgium
BEL,2019,58009,Eurostat CNMIGRAT,net,5.049099223777916,Belgium
BEL,2020,44873,Eurostat CNMIGRAT,net,3.8889453178218094,Belgium
BEL,2021,56838,Eurostat CNMIGRAT,net,4.905665751353227,Belgium
BEL,2022,127502,Eurostat CNMIGRAT,net,10.916070858315047,Belgium
BEL,2023,74826,Eurostat CNMIGRAT,net,6.351981579542045,Belgium
BEL,2024,85845,Eurostat CNMIGRAT,net,7.2390440363583926,Belgium
CAN,2018,438056,Statistics Canada,net_incl_npr,11.816159742688809,Canada
CAN,2019,495164,Statistics Canada,net_incl_npr,13.16278070135448,Canada
CAN,2020,69293,Statistics Canada,net_incl_npr,1.8221267877119345,Canada
CAN,2021,444372,Statistics Canada,net_incl_npr,11.620648023225186,Canada
CAN,2022,917753,Statistics Canada,net_incl_npr,23.57084846096154,Canada
CAN,2023,1196843,Statistics Canada,net_incl_npr,29.85875678870629,Canada
CAN,2024,815808,Statistics Canada,net_incl_npr,19.758674785744123,Canada
CAN,2025,-133642,Statistics Canada,net_incl_npr,-3.2367773001936926,Canada
CHE,2018,39634,BFS/Eurostat,net,4.654976334600178,Switzerland
CHE,2019,43114,BFS/Eurostat,net,5.027707550074167,Switzerland
CHE,2020,54548,BFS/Eurostat,net,6.314765620993436,Switzerland
CHE,2021,50039,BFS/Eurostat,net,5.748605383899402,Switzerland
CHE,2022,68648,BFS/Eurostat,net,7.821272841288591,Switzerland
CHE,2023,138671,BFS/Eurostat,net,15.60060489455183,Switzerland
CHE,2024,80333,BFS/Eurostat,net,8.920356285690364,Switzerland
CHL,2000,18741,OECD B11,gross_inflows,,Chile
CHL,2001,28924,OECD B11,gross_inflows,,Chile
CHL,2002,29942,OECD B11,gross_inflows,,Chile
CHL,2003,29835,OECD B11,gross_inflows,,Chile
CHL,2004,32099,OECD B11,gross_inflows,,Chile
CHL,2005,40793,OECD B11,gross_inflows,,Chile
CHL,2006,37035,OECD B11,gross_inflows,,Chile
CHL,2007,53071,OECD B11,gross_inflows,,Chile
CHL,2008,43577,OECD B11,gross_inflows,,Chile
