iso3,year,value,source,metric,rate_per1000,country
AUS,2000,111441,ABS NOM,net,,Australia
AUS,2001,136076,ABS NOM,net,,Australia
AUS,2002,110475,ABS NOM,net,,Australia
AUS,2003,110104,ABS NOM,net,,Australia
AUS,2004,106425,ABS NOM,net,,Australia
AUS,2005,137009,ABS NOM,net,,Australia
AUS,2006,182196,ABS NOM,net,,Australia
AUS,2007,244020,ABS NOM,net,,Australia
AUS,2008,315690,ABS NOM,net,,Australia
AUS,2009,246890,ABS NOM,net,11.051465298336295,Australia
AUS,2010,172040,ABS NOM,net,7.700976507455856,Australia
AUS,2011,206230,ABS NOM,net,9.23141353832028,Australia
AUS,2012,240260,ABS NOM,net,10.568560490008892,Australia
AUS,2013,208370,ABS NOM,net,9.009375553033278,Australia
AUS,2014,182340,ABS NOM,net,7.767185163406939,Australia
AUS,2015,186750,ABS NOM,net,7.841368794375377,Australia
AUS,2016,243840,ABS NOM,net,10.079820487921351,Australia
AUS,2017,241660,ABS NOM,net,9.826537979654683,Australia
AUS,2018,252210,ABS NOM,net,10.103248542317674,Australia
AUS,2019,247620,ABS NOM,net,9.773897795864082,Australia
AUS,2020,-4970,ABS NOM,net,-0.19376786407149246,Australia
AUS,2021,9310,ABS NOM,net,0.36246255267386795,Australia
AUS,2022,437860,ABS NOM,net,16.82865195410643,Australia
AUS,2023,530620,ABS NOM,net,19.90328403811534,Australia
AUS,2024,329935,ABS NOM,net,12.131385104989512,Australia
AUT,2000,17272,Eurostat CNMIGRAT,net,,Austria
AUT,2001,42003,Eurostat CNMIGRAT,net,,Austria
AUT,2002,34365,Eurostat CNMIGRAT,net,,Austria
AUT,2003,42565,Eurostat CNMIGRAT,net,,Austria
AUT,2004,54110,Eurostat CNMIGRAT,net,,Austria
AUT,2005,49938,Eurostat CNMIGRAT,net,,Austria
AUT,2006,25067,Eurostat CNMIGRAT,net,,Austria
AUT,2007,23380,Eurostat CNMIGRAT,net,,Austria
AUT,2008,24345,Eurostat CNMIGRAT,net,,Austria
AUT,2009,17677,Eurostat CNMIGRAT,net,2.1065004791076074,Austria
AUT,2010,21978,Eurostat CNMIGRAT,net,2.619034198666459,Austria
AUT,2011,31327,Eurostat CNMIGRAT,net,3.7331187706626703,Austria
AUT,2012,44223,Eurostat CNMIGRAT,net,5.245913073928548,Austria
AUT,2013,56122,Eurostat CNMIGRAT,net,6.6182985187308745,Austria
AUT,2014,73670,Eurostat CNMIGRAT,net,8.620048123434128,Austria
AUT,2015,114237,Eurostat CNMIGRAT,net,13.217745984211646,Austria
AUT,2016,65388,Eurostat CNMIGRAT,net,7.4843178200201725,Austria
AUT,2017,45039,Eurostat CNMIGRAT,net,5.119484184602878,Austria
AUT,2018,34948,Eurostat CNMIGRAT,net,3.9531606791047724,Austria
AUT,2019,40723,Eurostat CNMIGRAT,net,4.585964738421067,Austria
AUT,2020,39596,Eurostat CNMIGRAT,net,4.44057462354478,Austria
AUT,2021,52149,Eurostat CNMIGRAT,net,5.8229323420349965,Austria
AUT,2022,136548,Eurostat CNMIGRAT,net,15.101775067958984,Austria
AUT,2023,66133,Eurostat CNMIGRAT,net,7.24208616497957,Austria
AUT,2024,49711,Eurostat CNMIGRAT,net,5.416332261274864,Austria
BEL,2000,12836,Eurostat CNMIGRAT,net,,Belgium
BEL,2001,34386,Eurostat CNMIGRAT,net,,Belgium
BEL,2002,38665,Eurostat CNMIGRAT,net,,Belgium
BEL,2003,33611,Eurostat CNMIGRAT,net,,Belgium
BEL,2004,33392,Eurostat CNMIGRAT,net,,Belgium
BEL,2005,49186,Eurostat CNMIGRAT,net,,Belgium
BEL,2006,52210,Eurostat CNMIGRAT,net,,Belgium
BEL,2007,58895,Eurostat CNMIGRAT,net,,Belgium
BEL,2008,63596,Eurostat CNMIGRAT,net,,Belgium
BEL,2009,63481,Eurostat CNMIGRAT,net,5.750994902821676,Belgium
BEL,2010,86413,Eurostat CNMIGRAT,net,7.8284954953061465,Belgium
BEL,2011,50838,Eurostat CNMIGRAT,net,4.605615520701443,Belgium
BEL,2012,43110,Eurostat CNMIGRAT,net,3.881359857069441,Belgium
BEL,2013,26594,Eurostat CNMIGRAT,net,2.383101539355989,Belgium
BEL,2014,36175,Eurostat CNMIGRAT,net,3.2273009228162546,Belgium
BEL,2015,62110,Eurostat CNMIGRAT,net,5.509040289879651,Belgium
BEL,2016,26811,Eurostat CNMIGRAT,net,2.3660755022626465,Belgium
BEL,2017,36838,Eurostat CNMIGRAT,net,3.238460511933109,Belgium
BEL,2018,49304,Eurostat CNMIGRAT,net,4.3146728806917345,Belgium
BEL,2019,58009,Eurostat CNMIGRAT,net,5.049099223777916,Belgium
BEL,2020,44873,Eurostat CNMIGRAT,net,3.8889453178218094,Belgium
BEL,2021,56838,Eurostat CNMIGRAT,net,4.905665751353227,Belgium
BEL,2022,127502,Eurostat CNMIGRAT,net,10.916070858315047,Belgium
BEL,2023,74826,Eurostat CNMIGRAT,net,6.351981579542045,Belgium
BEL,2024,85845,Eurostat CNMIGRAT,net,7.2390440363583926,Belgium
BGR,2000,0,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2001,-236465,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2002,-17191,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2003,-15791,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2004,-16350,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2005,-16903,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2006,-17238,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2007,-17016,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2008,-18072,Eurostat CNMIGRAT,net,,Bulgaria
BGR,2009,-18241,Eurostat CNMIGRAT,net,-2.482333396114055,Bulgaria
BGR,2010,-17683,Eurostat CNMIGRAT,net,-2.4063977547001167,Bulgaria
BGR,2011,-4795,Eurostat CNMIGRAT,net,-0.65252939172013,Bulgaria
BGR,2012,-2512,Eurostat CNMIGRAT,net,-0.34383226241628667,Bulgaria
BGR,2013,-47336,Eurostat CNMIGRAT,net,-6.611168567619716,Bulgaria
BGR,2014,-46396,Eurostat CNMIGRAT,net,-6.559062380364545,Bulgaria
BGR,2015,-46764,Eurostat CNMIGRAT,net,-6.695660577945298,Bulgaria
BGR,2016,-46645,Eurostat CNMIGRAT,net,-6.7658920134914595,Bulgaria
BGR,2017,-46264,Eurostat CNMIGRAT,net,-6.800061380460671,Bulgaria
BGR,2018,-46912,Eurostat CNMIGRAT,net,-6.99052482283031,Bulgaria
BGR,2019,-48357,Eurostat CNMIGRAT,net,-7.308297185042874,Bulgaria
BGR,2020,28491,Eurostat CNMIGRAT,net,4.349308836801463,Bulgaria
BGR,2021,40684,Eurostat CNMIGRAT,net,6.2520544231779045,Bulgaria
BGR,2022,27444,Eurostat CNMIGRAT,net,4.244947910294308,Bulgaria
BGR,2023,41580,Eurostat CNMIGRAT,net,6.449915583355929,Bulgaria
BGR,2024,39187,Eurostat CNMIGRAT,net,6.08359552961994,Bulgaria
CAN,2000,236760,Statistics Canada,net_incl_npr,,Canada
CAN,2001,237935,Statistics Canada,net_incl_npr,,Canada
CAN,2002,183749,Statistics Canada,net_incl_npr,,Canada
CAN,2003,194146,Statistics Canada,net_incl_npr,,Canada
CAN,2004,200175,Statistics Canada,net_incl_npr,,Canada
CAN,2005,216100,Statistics Canada,net_incl_npr,,Canada
CAN,2006,219751,Statistics Canada,net_incl_npr,,Canada
CAN,2007,250003,Statistics Canada,net_incl_npr,,Canada
CAN,2008,269208,Statistics Canada,net_incl_npr,,Canada
CAN,2009,262804,Statistics Canada,net_incl_npr,7.6531730291726765,Canada
CAN,2010,231005,Statistics Canada,net_incl_npr,6.727147363069185,Canada
CAN,2011,260557,Statistics Canada,net_incl_npr,7.587737648445781,Canada
CAN,2012,260834,Statistics Canada,net_incl_npr,7.513929421193173,Canada
CAN,2013,247302,Statistics Canada,net_incl_npr,7.049458578594357,Canada
CAN,2014,176890,Statistics Canada,net_incl_npr,4.992088686632801,Canada
CAN,2015,303739,Statistics Canada,net_incl_npr,8.507023400805132,Canada
CAN,2016,319990,Statistics Canada,net_incl_npr,8.861337146116634,Canada
CAN,2017,426077,Statistics Canada,net_incl_npr,11.658944467893416,Canada
CAN,2018,447470,Statistics Canada,net_incl_npr,12.070093778103626,Canada
CAN,2019,327749,Statistics Canada,net_incl_npr,8.71244317456081,Canada
CAN,2020,148869,Statistics Canada,net_incl_npr,3.9146550554873936,Canada
CAN,2021,670698,Statistics Canada,net_incl_npr,17.53923601820341,Canada
CAN,2022,1078729,Statistics Canada,net_incl_npr,27.705229827028163,Canada
CAN,2023,1181967,Statistics Canada,net_incl_npr,29.487631364578988,Canada
CAN,2024,355095,Statistics Canada,net_incl_npr,8.600316033973446,Canada
CHE,2000,23681,Eurostat CNMIGRAT,net,,Switzerland
CHE,2001,40531,Eurostat CNMIGRAT,net,,Switzerland
CHE,2002,47596,Eurostat CNMIGRAT,net,,Switzerland
CHE,2003,41517,Eurostat CNMIGRAT,net,,Switzerland
CHE,2004,38052,Eurostat CNMIGRAT,net,,Switzerland
CHE,2005,32247,Eurostat CNMIGRAT,net,,Switzerland
CHE,2006,36523,Eurostat CNMIGRAT,net,,Switzerland
CHE,2007,71350,Eurostat CNMIGRAT,net,,Switzerland
CHE,2008,92904,Eurostat CNMIGRAT,net,,Switzerland
CHE,2009,68140,Eurostat CNMIGRAT,net,8.611801378039882,Switzerland
CHE,2010,60565,Eurostat CNMIGRAT,net,7.654443065174426,Switzerland
CHE,2011,65811,Eurostat CNMIGRAT,net,8.317453191813657,Switzerland
CHE,2012,66407,Eurostat CNMIGRAT,net,8.304133334317052,Switzerland
CHE,2013,82801,Eurostat CNMIGRAT,net,10.235808926951574,Switzerland
CHE,2014,76686,Eurostat CNMIGRAT,net,9.364914774097656,Switzerland
CHE,2015,70507,Eurostat CNMIGRAT,net,8.51287477681579,Switzerland
CHE,2016,69505,Eurostat CNMIGRAT,net,8.30075174321161,Switzerland
CHE,2017,44170,Eurostat CNMIGRAT,net,5.226080948053915,Switzerland
CHE,2018,39634,BFS/Eurostat,net,4.654976334600178,Switzerland
CHE,2019,43114,BFS/Eurostat,net,5.027707550074167,Switzerland
CHE,2020,54548,BFS/Eurostat,net,6.314765620993436,Switzerland
CHE,2021,50039,BFS/Eurostat,net,5.748605383899402,Switzerland
CHE,2022,68648,BFS/Eurostat,net,7.821272841288591,Switzerland
CHE,2023,138671,BFS/Eurostat,net,15.60060489455183,Switzerland
CHE,2024,80333,BFS/Eurostat,net,8.920356285690364,Switzerland
CYP,2000,3960,Eurostat CNMIGRAT,net,,Cyprus
CYP,2001,4650,Eurostat CNMIGRAT,net,,Cyprus
CYP,2002,5466,Eurostat CNMIGRAT,net,,Cyprus
CYP,2003,6285,Eurostat CNMIGRAT,net,,Cyprus
