year,inflow,outflow,domestic_migration,international_migration
2005,713.414,874.572,,
2006,829.54,992.411,,
2007,774.162,954.206,,
2008,758.496,927.635,,
2009,715.495,899.666,,
2010,687.754,856.242,-50.899,25.805
2011,759.587,887.803,-179.384,120.105
2012,765.308,872.983,-183.963,123.734
2013,770.849,892.892,-125.141,129.35
2014,786.063,919.91,-183.942,136.737
2015,784.137,963.296,-234.593,145.029
2016,793.281,950.163,-227.495,147.575
2017,794.586,946.742,-162.566,129.389
2018,780.31,916.726,-154.266,99.658
2019,772.24,869.114,-167.058,84.709
2020,,,-37.458,3.082
2021,784.675,939.801,-175.434,55.297
2022,859.727,958.02,-180.661,218.638
2023,794.629,866.511,-91.566,314.946
2024,764.143,814.671,-43.686,382.875
2025,,,16.04,180.161
