year,<HS,HS/GED,Some college,Bachelor's,Master's+
2005,54.349,127.943,145.219,125.293,90.961
2006,63.363,140.523,145.914,122.257,103.366
2007,54.557,131.812,143.176,124.195,86.959
2008,48.247,116.465,143.34,134.869,89.809
2009,44.916,105.318,144.221,117.296,93.841
2010,44.359,111.319,147.602,122.763,82.275
2011,43.813,112.288,149.018,125.577,96.08
2012,37.854,111.445,153.544,126.257,98.83
2013,41.846,116.907,146.271,134.726,104.231
2014,41.835,116.619,160.106,148.638,110.073
2015,40.652,115.758,161.722,152.0,115.591
2016,40.676,114.919,148.594,153.827,119.659
2017,35.085,121.945,160.547,157.093,123.221
2018,30.899,104.174,148.327,152.421,132.064
2019,29.922,113.404,148.673,156.881,115.026
2020,0.0,0.0,0.0,0.0,0.0
2021,29.305,110.673,151.231,165.437,130.583
2022,28.028,105.444,135.392,183.266,148.552
2023,28.57,99.36,127.282,159.297,128.484
2024,31.228,86.489,117.142,144.407,128.458
