year,<$50K,$50–100K,$100–200K,$200K+
2005,291.196,261.445,226.09,94.67
2006,271.364,266.356,230.236,107.064
2007,252.129,266.93,235.785,103.339
2008,247.239,242.213,224.287,108.707
2009,240.962,234.266,234.12,91.17
2010,239.625,236.157,200.705,91.093
2011,278.119,217.576,204.553,85.842
2012,253.04,229.084,209.091,87.12
2013,247.168,256.816,209.438,101.432
2014,258.62,244.827,238.004,106.103
2015,224.93,254.764,259.412,125.224
2016,218.726,235.788,257.492,125.638
2017,208.08,253.083,258.57,140.54
2018,207.683,224.391,247.409,135.963
2019,181.568,224.513,252.53,135.278
2020,0.0,0.0,0.0,0.0
2021,210.292,230.415,257.011,146.713
2022,205.891,236.717,290.378,146.328
2023,178.753,224.054,239.848,143.226
2024,169.551,214.075,221.314,128.32
