year,inflow,outflow,domestic_migration,international_migration
2005,713414.0,874572.0,,
2006,829540.0,992411.0,,
2007,774162.0,954206.0,,
2008,758496.0,927635.0,,
2009,715495.0,899666.0,,
2010,687754.0,856242.0,-50899.0,25805.0
2011,759587.0,887803.0,-179384.0,120105.0
2012,765308.0,872983.0,-183963.0,123734.0
2013,770849.0,892892.0,-125141.0,129350.0
2014,786063.0,919910.0,-183942.0,136737.0
2015,784137.0,963296.0,-234593.0,145029.0
2016,793281.0,950163.0,-227495.0,147575.0
2017,794586.0,946742.0,-162566.0,129389.0
2018,780310.0,916726.0,-154266.0,99658.0
2019,772240.0,869114.0,-167058.0,84709.0
2020,,,-37458.0,3082.0
2021,784675.0,939801.0,-175434.0,55297.0
2022,859727.0,958020.0,-180661.0,218638.0
2023,794629.0,866511.0,-91566.0,314946.0
2024,764143.0,814671.0,-43686.0,382875.0
2025,,,16040.0,180161.0
