state,year,bin,share
Illinois,2005,<HS,13.96340665484957
Illinois,2005,HS/GED,22.102927705540157
Illinois,2005,Some college,22.994563342414256
Illinois,2005,Bachelor's,22.815522430673692
Illinois,2005,Master's+,18.123579866522324
Illinois,2006,<HS,14.01375604637621
Illinois,2006,HS/GED,21.42103533562793
Illinois,2006,Some college,25.337415177773547
Illinois,2006,Bachelor's,20.592559281872113
Illinois,2006,Master's+,18.635234158350197
Illinois,2007,<HS,10.243801039346696
Illinois,2007,HS/GED,21.3909428359317
Illinois,2007,Some college,26.543132887899034
Illinois,2007,Bachelor's,24.918782479584262
Illinois,2007,Master's+,16.903340757238308
Illinois,2008,<HS,9.411115539069923
Illinois,2008,HS/GED,19.29064099813004
Illinois,2008,Some college,25.820790288464483
Illinois,2008,Bachelor's,27.130376138070567
Illinois,2008,Master's+,18.347077036264984
Illinois,2009,<HS,8.599516820922592
Illinois,2009,HS/GED,20.335682306410487
Illinois,2009,Some college,24.480180957925942
Illinois,2009,Bachelor's,25.974556137779654
Illinois,2009,Master's+,20.610063776961326
Illinois,2010,<HS,8.6799694028276
Illinois,2010,HS/GED,20.07741612154463
Illinois,2010,Some college,24.725021101498207
Illinois,2010,Bachelor's,27.81836885418865
Illinois,2010,Master's+,18.699224519940916
Illinois,2011,<HS,8.08152518540983
Illinois,2011,HS/GED,16.026577706707837
Illinois,2011,Some college,27.29591133412368
Illinois,2011,Bachelor's,25.874665710898515
Illinois,2011,Master's+,22.721320062860137
Illinois,2012,<HS,7.84570857093657
Illinois,2012,HS/GED,19.39372263837284
Illinois,2012,Some college,26.0969487439316
Illinois,2012,Bachelor's,25.849907607939755
Illinois,2012,Master's+,20.813712438819238
Illinois,2013,<HS,7.2836826774801535
Illinois,2013,HS/GED,18.172368496201955
Illinois,2013,Some college,24.876349306071162
Illinois,2013,Bachelor's,27.37849106173968
Illinois,2013,Master's+,22.289108458507055
Illinois,2014,<HS,8.50683671067554
Illinois,2014,HS/GED,17.03774634626495
Illinois,2014,Some college,25.503926561530392
Illinois,2014,Bachelor's,27.36021654933345
Illinois,2014,Master's+,21.591273832195665
Illinois,2015,<HS,7.963672923733027
Illinois,2015,HS/GED,16.5930107942681
Illinois,2015,Some college,26.320005303222814
Illinois,2015,Bachelor's,28.172818773408757
Illinois,2015,Master's+,20.9504922053673
