state,year,bin,share
Illinois,2005,0 kids,77.26758190165492
Illinois,2005,1 kid,10.59052327242901
Illinois,2005,2 kids,7.705269096159056
Illinois,2005,3+ kids,4.436625729757013
Illinois,2006,0 kids,78.08214486960365
Illinois,2006,1 kid,9.293833064041618
Illinois,2006,2 kids,7.9822423127332955
Illinois,2006,3+ kids,4.641779753621429
Illinois,2007,0 kids,79.42164250713272
Illinois,2007,1 kid,8.768439503076982
Illinois,2007,2 kids,6.8499635368022425
Illinois,2007,3+ kids,4.959954452988063
Illinois,2008,0 kids,80.54921884079627
Illinois,2008,1 kid,8.993043449386528
Illinois,2008,2 kids,6.1018412445418475
Illinois,2008,3+ kids,4.3558964652753565
Illinois,2009,0 kids,78.42065391742274
Illinois,2009,1 kid,12.279534938310684
Illinois,2009,2 kids,5.55577290364801
Illinois,2009,3+ kids,3.744038240618565
Illinois,2010,0 kids,80.4491019028356
Illinois,2010,1 kid,8.650028259934523
Illinois,2010,2 kids,7.140343455958936
Illinois,2010,3+ kids,3.7605263812709504
Illinois,2011,0 kids,80.04641526342195
Illinois,2011,1 kid,9.865541262479846
Illinois,2011,2 kids,7.241470429417779
Illinois,2011,3+ kids,2.8465730446804356
Illinois,2012,0 kids,81.24121287666864
Illinois,2012,1 kid,8.471511602626354
Illinois,2012,2 kids,6.127433217862682
Illinois,2012,3+ kids,4.159842302842318
Illinois,2013,0 kids,79.03825270832795
Illinois,2013,1 kid,9.65237738190656
Illinois,2013,2 kids,7.651188044574295
Illinois,2013,3+ kids,3.658181865191199
Illinois,2014,0 kids,80.96452274058169
Illinois,2014,1 kid,8.999548604333398
Illinois,2014,2 kids,6.411953445246926
Illinois,2014,3+ kids,3.6239752098379854
Illinois,2015,0 kids,80.6797486372084
Illinois,2015,1 kid,9.036380475252201
Illinois,2015,2 kids,6.381034664942847
Illinois,2015,3+ kids,3.9028362225965454
Illinois,2016,0 kids,80.19557790202042
Illinois,2016,1 kid,9.181378696127462
Illinois,2016,2 kids,6.972414758595629
Illinois,2016,3+ kids,3.650628643256494
Illinois,2017,0 kids,80.91940791386146
Illinois,2017,1 kid,8.900768595714004
Illinois,2017,2 kids,6.105161567888746
Illinois,2017,3+ kids,4.0746619225357845
Illinois,2018,0 kids,82.23378219104444
Illinois,2018,1 kid,9.209318165882586
Illinois,2018,2 kids,5.540883002060093
Illinois,2018,3+ kids,3.0160166410128846
Illinois,2019,0 kids,80.50782662106869
Illinois,2019,1 kid,9.991458377987568
Illinois,2019,2 kids,6.231225226896832
Illinois,2019,3+ kids,3.2694897740469053
Illinois,2021,0 kids,79.86978623290301
Illinois,2021,1 kid,9.911789698415722
Illinois,2021,2 kids,7.419705038299056
Illinois,2021,3+ kids,2.798719030382204
Illinois,2022,0 kids,83.1275864282921
Illinois,2022,1 kid,8.410816742253118
Illinois,2022,2 kids,5.5335703070736075
Illinois,2022,3+ kids,2.9280265223811774
Illinois,2023,0 kids,83.32060165624472
Illinois,2023,1 kid,8.121007267196214
Illinois,2023,2 kids,4.572587459861417
Illinois,2023,3+ kids,3.985803616697651
Illinois,2024,0 kids,82.29714627392639
Illinois,2024,1 kid,10.422613412298997
Illinois,2024,2 kids,5.692859634261796
Illinois,2024,3+ kids,1.5873806795128236
Indiana,2005,0 kids,78.36545735120578
Indiana,2005,1 kid,9.328572725347211
Indiana,2005,2 kids,7.736996580834518
Indiana,2005,3+ kids,4.568973342612485
Indiana,2006,0 kids,80.09703184824811
Indiana,2006,1 kid,8.977128207198659
Indiana,2006,2 kids,5.829985667279003
Indiana,2006,3+ kids,5.095854277274226
Indiana,2007,0 kids,77.99946318332289
Indiana,2007,1 kid,9.871921046654874
Indiana,2007,2 kids,7.816876690456363
Indiana,2007,3+ kids,4.311739079565867
Indiana,2008,0 kids,81.24898309346665
Indiana,2008,1 kid,7.884538583282796
Indiana,2008,2 kids,5.983108258020619
Indiana,2008,3+ kids,4.883370065229932
Indiana,2009,0 kids,76.89504983666974
Indiana,2009,1 kid,10.110422425105398
Indiana,2009,2 kids,10.849596560292598
Indiana,2009,3+ kids,2.144931177932267
Indiana,2010,0 kids,79.65927159839478
Indiana,2010,1 kid,8.406905428939199
Indiana,2010,2 kids,8.024532444915575
Indiana,2010,3+ kids,3.9092905277504357
Indiana,2011,0 kids,78.17761614591285
Indiana,2011,1 kid,11.16971808503255
Indiana,2011,2 kids,7.247060783143401
Indiana,2011,3+ kids,3.4056049859111917
Indiana,2012,0 kids,79.11348535661526
Indiana,2012,1 kid,10.376744218611067
Indiana,2012,2 kids,7.426362993509722
Indiana,2012,3+ kids,3.083407431263959
Indiana,2013,0 kids,77.77018873938484
Indiana,2013,1 kid,10.274040176369253
Indiana,2013,2 kids,6.4962168643611164
Indiana,2013,3+ kids,5.459554219884798
Indiana,2014,0 kids,82.0272907376216
Indiana,2014,1 kid,8.129345333936826
Indiana,2014,2 kids,6.585986599490988
Indiana,2014,3+ kids,3.2573773289505907
Indiana,2015,0 kids,75.59077188443295
Indiana,2015,1 kid,11.658760960183988
Indiana,2015,2 kids,6.989363231277849
Indiana,2015,3+ kids,5.761103924105218
Indiana,2016,0 kids,78.06443351386368
Indiana,2016,1 kid,11.487906475741392
Indiana,2016,2 kids,6.998501020661811
Indiana,2016,3+ kids,3.4491589897331214
Indiana,2017,0 kids,80.60549905505673
Indiana,2017,1 kid,8.236081390132881
Indiana,2017,2 kids,6.491061645598477
Indiana,2017,3+ kids,4.667357909211909
Indiana,2018,0 kids,78.63330752028254
Indiana,2018,1 kid,9.636470222112859
Indiana,2018,2 kids,6.759641898200082
Indiana,2018,3+ kids,4.970580359404515
Indiana,2019,0 kids,78.40968020743301
Indiana,2019,1 kid,10.483664649956784
Indiana,2019,2 kids,7.478651685393259
Indiana,2019,3+ kids,3.6280034572169404
Indiana,2021,0 kids,79.97141084769534
Indiana,2021,1 kid,7.698842948458613
Indiana,2021,2 kids,7.346198451870432
Indiana,2021,3+ kids,4.983547751975618
Indiana,2022,0 kids,79.72504621072089
Indiana,2022,1 kid,9.221204944547134
Indiana,2022,2 kids,6.878176987060998
Indiana,2022,3+ kids,4.175571857670979
Indiana,2023,0 kids,82.20523642852241
Indiana,2023,1 kid,8.311028755747717
Indiana,2023,2 kids,6.320774140415894
Indiana,2023,3+ kids,3.16296067531398
Indiana,2024,0 kids,81.24819526132616
Indiana,2024,1 kid,7.997082022523139
Indiana,2024,2 kids,6.487940546208909
Indiana,2024,3+ kids,4.266782169941792
Iowa,2005,0 kids,78.35294708052092
Iowa,2005,1 kid,8.895189822598047
Iowa,2005,2 kids,8.256592979198555
Iowa,2005,3+ kids,4.495270117682483
Iowa,2006,0 kids,77.91385627176572
Iowa,2006,1 kid,10.33491707986484
Iowa,2006,2 kids,7.239490957109382
Iowa,2006,3+ kids,4.511735691260049
Iowa,2007,0 kids,77.4762754298907
Iowa,2007,1 kid,9.696715290166859
Iowa,2007,2 kids,7.485420445857008
Iowa,2007,3+ kids,5.341588834085424
Iowa,2008,0 kids,82.33573065448309
Iowa,2008,1 kid,8.8119568193938
Iowa,2008,2 kids,4.1436663159563585
Iowa,2008,3+ kids,4.708646210166756
Iowa,2009,0 kids,81.84302036761054
Iowa,2009,1 kid,7.5943864878291105
Iowa,2009,2 kids,5.534339294585196
Iowa,2009,3+ kids,5.028253849975162
Iowa,2010,0 kids,74.90821094793057
Iowa,2010,1 kid,12.65576323987539
Iowa,2010,2 kids,5.970460614152203
Iowa,2010,3+ kids,6.465565198041833
Iowa,2011,0 kids,78.65529635633237
Iowa,2011,1 kid,11.227006836281626
Iowa,2011,2 kids,7.677778560857002
Iowa,2011,3+ kids,2.4399182465290012
Iowa,2012,0 kids,82.4497392794363
Iowa,2012,1 kid,9.270721006839299
Iowa,2012,2 kids,4.229138661979113
Iowa,2012,3+ kids,4.050401051745276
Iowa,2013,0 kids,80.10580061059059
Iowa,2013,1 kid,11.670965364775238
Iowa,2013,2 kids,4.9821033793030844
Iowa,2013,3+ kids,3.2411306453310877
Iowa,2014,0 kids,81.87882830978228
Iowa,2014,1 kid,8.03566013706107
Iowa,2014,2 kids,5.991873370125538
Iowa,2014,3+ kids,4.093638183031112
Iowa,2015,0 kids,81.37050926968897
Iowa,2015,1 kid,7.390572613667988
Iowa,2015,2 kids,7.116258729674932
Iowa,2015,3+ kids,4.1226593869681025
Iowa,2016,0 kids,79.04838010618703
Iowa,2016,1 kid,10.924802253765305
Iowa,2016,2 kids,5.898526384223643
Iowa,2016,3+ kids,4.128291255824033
Iowa,2017,0 kids,79.24965775809973
Iowa,2017,1 kid,7.996744077056843
Iowa,2017,2 kids,7.47258981537437
Iowa,2017,3+ kids,5.2810083494690625
Iowa,2018,0 kids,83.41881032185114
Iowa,2018,1 kid,7.305253806081654
Iowa,2018,2 kids,6.397986242916179
Iowa,2018,3+ kids,2.877949629151018
Iowa,2019,0 kids,83.243553008596
Iowa,2019,1 kid,9.077363896848139
Iowa,2019,2 kids,4.3681948424068775
Iowa,2019,3+ kids,3.310888252148997
Iowa,2021,0 kids,80.78990356747641
Iowa,2021,1 kid,7.963587500658692
Iowa,2021,2 kids,6.903093218106128
Iowa,2021,3+ kids,4.343415713758761
Iowa,2022,0 kids,81.11173900458975
Iowa,2022,1 kid,8.498614805728225
Iowa,2022,2 kids,7.11755544222844
Iowa,2022,3+ kids,3.2720907474535856
Iowa,2023,0 kids,84.6260938743039
Iowa,2023,1 kid,6.520816759480244
Iowa,2023,2 kids,5.994431185361973
Iowa,2023,3+ kids,2.858658180853885
Iowa,2024,0 kids,81.34097573980273
Iowa,2024,1 kid,7.7406025059984005
Iowa,2024,2 kids,7.284724073580379
Iowa,2024,3+ kids,3.6336976806185013
Kansas,2005,0 kids,73.84117901620426
Kansas,2005,1 kid,12.793912583545703
Kansas,2005,2 kids,8.281242486897149
Kansas,2005,3+ kids,5.083665913352887
Kansas,2006,0 kids,77.16907734960992
Kansas,2006,1 kid,13.08753680500333
Kansas,2006,2 kids,7.423327387220873
Kansas,2006,3+ kids,2.320058458165875
Kansas,2007,0 kids,74.83129088349756
Kansas,2007,1 kid,13.53813033038006
Kansas,2007,2 kids,7.479092489856752
Kansas,2007,3+ kids,4.151486296265629
Kansas,2008,0 kids,74.7039682292154
Kansas,2008,1 kid,11.65309962677645
Kansas,2008,2 kids,7.554917922007714
Kansas,2008,3+ kids,6.088014222000437
Kansas,2009,0 kids,77.76013325930039
Kansas,2009,1 kid,10.909494725152694
Kansas,2009,2 kids,6.163242642976124
Kansas,2009,3+ kids,5.167129372570794
Kansas,2010,0 kids,77.21824647670897
Kansas,2010,1 kid,10.228519998243844
Kansas,2010,2 kids,5.603240110637924
Kansas,2010,3+ kids,6.949993414409272
Kansas,2011,0 kids,76.30682750697521
Kansas,2011,1 kid,11.758370260955195
Kansas,2011,2 kids,7.336287543082226
Kansas,2011,3+ kids,4.598514688987362
Kansas,2012,0 kids,77.68169697235726
Kansas,2012,1 kid,9.4637154740088
Kansas,2012,2 kids,7.932884874954733
Kansas,2012,3+ kids,4.921702678679206
Kansas,2013,0 kids,77.92875097162354
Kansas,2013,1 kid,11.063889926408981
Kansas,2013,2 kids,6.158831427100473
Kansas,2013,3+ kids,4.848527674867001
Kansas,2014,0 kids,78.72459887274063
Kansas,2014,1 kid,8.16183298421405
Kansas,2014,2 kids,8.425292072472844
Kansas,2014,3+ kids,4.688276070572483
Kansas,2015,0 kids,75.01566398821629
Kansas,2015,1 kid,12.369604168269706
Kansas,2015,2 kids,7.298868895166698
Kansas,2015,3+ kids,5.315862948347312
Kansas,2016,0 kids,75.56965024121295
Kansas,2016,1 kid,9.093943831840111
Kansas,2016,2 kids,7.624052377670572
Kansas,2016,3+ kids,7.7123535492763615
Kansas,2017,0 kids,74.58949764265974
Kansas,2017,1 kid,11.869901594193196
