YEAR,msa,kids_leaving_inner,kids_arriving_inner,net_kid_outflow
2009,"New York-Newark-Jersey City, NY-NJ",33557.0,24420.0,9137.0
2010,"New York-Newark-Jersey City, NY-NJ",24922.0,32067.0,-7145.0
2011,"New York-Newark-Jersey City, NY-NJ",34192.0,31547.0,2645.0
2012,"New York-Newark-Jersey City, NY-NJ",31696.0,24907.0,6789.0
2013,"New York-Newark-Jersey City, NY-NJ",31325.0,26107.0,5218.0
2014,"New York-Newark-Jersey City, NY-NJ",35454.0,27386.0,8068.0
2015,"New York-Newark-Jersey City, NY-NJ",34691.0,23751.0,10940.0
2016,"New York-Newark-Jersey City, NY-NJ",43060.0,22375.0,20685.0
2017,"New York-Newark-Jersey City, NY-NJ",41018.0,25592.0,15426.0
2018,"New York-Newark-Jersey City, NY-NJ",46230.0,21224.0,25006.0
2019,"New York-Newark-Jersey City, NY-NJ",39936.0,24365.0,15571.0
2020,"New York-Newark-Jersey City, NY-NJ",45485.0,17946.0,27539.0
2021,"New York-Newark-Jersey City, NY-NJ",57908.0,15064.0,42844.0
2022,"New York-Newark-Jersey City, NY-NJ",46986.0,25400.0,21586.0
2023,"New York-Newark-Jersey City, NY-NJ",37967.0,28789.0,9178.0
2009,"Los Angeles-Long Beach-Anaheim, CA",21270.0,22236.0,-966.0
2010,"Los Angeles-Long Beach-Anaheim, CA",27822.0,19535.0,8287.0
2011,"Los Angeles-Long Beach-Anaheim, CA",18312.0,26267.0,-7955.0
2012,"Los Angeles-Long Beach-Anaheim, CA",18265.0,21102.0,-2837.0
2013,"Los Angeles-Long Beach-Anaheim, CA",23071.0,21444.0,1627.0
2014,"Los Angeles-Long Beach-Anaheim, CA",18562.0,23938.0,-5376.0
2015,"Los Angeles-Long Beach-Anaheim, CA",23164.0,26738.0,-3574.0
2016,"Los Angeles-Long Beach-Anaheim, CA",22900.0,31224.0,-8324.0
2017,"Los Angeles-Long Beach-Anaheim, CA",23839.0,21369.0,2470.0
2018,"Los Angeles-Long Beach-Anaheim, CA",23825.0,24137.0,-312.0
2019,"Los Angeles-Long Beach-Anaheim, CA",17443.0,23913.0,-6470.0
2020,"Los Angeles-Long Beach-Anaheim, CA",19529.0,15478.0,4051.0
2021,"Los Angeles-Long Beach-Anaheim, CA",24686.0,20948.0,3738.0
2022,"Los Angeles-Long Beach-Anaheim, CA",29360.0,23282.0,6078.0
2023,"Los Angeles-Long Beach-Anaheim, CA",19636.0,21535.0,-1899.0
2009,"Chicago-Naperville-Elgin, IL-IN",18597.0,16961.0,1636.0
2010,"Chicago-Naperville-Elgin, IL-IN",20671.0,15180.0,5491.0
2011,"Chicago-Naperville-Elgin, IL-IN",17134.0,18167.0,-1033.0
2012,"Chicago-Naperville-Elgin, IL-IN",19172.0,20227.0,-1055.0
2013,"Chicago-Naperville-Elgin, IL-IN",20747.0,16920.0,3827.0
2014,"Chicago-Naperville-Elgin, IL-IN",26207.0,17128.0,9079.0
2015,"Chicago-Naperville-Elgin, IL-IN",20063.0,15587.0,4476.0
2016,"Chicago-Naperville-Elgin, IL-IN",25771.0,16625.0,9146.0
2017,"Chicago-Naperville-Elgin, IL-IN",22383.0,16815.0,5568.0
2018,"Chicago-Naperville-Elgin, IL-IN",14404.0,14574.0,-170.0
2019,"Chicago-Naperville-Elgin, IL-IN",18423.0,10376.0,8047.0
2020,"Chicago-Naperville-Elgin, IL-IN",14840.0,12344.0,2496.0
2021,"Chicago-Naperville-Elgin, IL-IN",22323.0,14454.0,7869.0
2022,"Chicago-Naperville-Elgin, IL-IN",17390.0,18553.0,-1163.0
2023,"Chicago-Naperville-Elgin, IL-IN",14740.0,24887.0,-10147.0
2009,"Dallas-Fort Worth-Arlington, TX",7240.0,11242.0,-4002.0
2010,"Dallas-Fort Worth-Arlington, TX",7832.0,10753.0,-2921.0
2011,"Dallas-Fort Worth-Arlington, TX",3442.0,8482.0,-5040.0
2012,"Dallas-Fort Worth-Arlington, TX",14965.0,28363.0,-13398.0
2013,"Dallas-Fort Worth-Arlington, TX",14114.0,24494.0,-10380.0
2014,"Dallas-Fort Worth-Arlington, TX",11773.0,23821.0,-12048.0
2015,"Dallas-Fort Worth-Arlington, TX",12403.0,29286.0,-16883.0
2016,"Dallas-Fort Worth-Arlington, TX",14559.0,22982.0,-8423.0
2017,"Dallas-Fort Worth-Arlington, TX",10681.0,25614.0,-14933.0
2018,"Dallas-Fort Worth-Arlington, TX",12654.0,30162.0,-17508.0
2019,"Dallas-Fort Worth-Arlington, TX",13180.0,26215.0,-13035.0
2020,"Dallas-Fort Worth-Arlington, TX",14015.0,18283.0,-4268.0
2021,"Dallas-Fort Worth-Arlington, TX",15222.0,26549.0,-11327.0
2022,"Dallas-Fort Worth-Arlington, TX",8719.0,24686.0,-15967.0
2023,"Dallas-Fort Worth-Arlington, TX",9208.0,33308.0,-24100.0
2009,"Houston-The Woodlands-Sugar Land, TX",8557.0,23117.0,-14560.0
2010,"Houston-The Woodlands-Sugar Land, TX",13917.0,24909.0,-10992.0
2011,"Houston-The Woodlands-Sugar Land, TX",7752.0,22874.0,-15122.0
2012,"Houston-The Woodlands-Sugar Land, TX",10871.0,21708.0,-10837.0
2013,"Houston-The Woodlands-Sugar Land, TX",8804.0,25101.0,-16297.0
2014,"Houston-The Woodlands-Sugar Land, TX",9344.0,30959.0,-21615.0
2015,"Houston-The Woodlands-Sugar Land, TX",12469.0,36070.0,-23601.0
2016,"Houston-The Woodlands-Sugar Land, TX",13908.0,37475.0,-23567.0
2017,"Houston-The Woodlands-Sugar Land, TX",11943.0,21690.0,-9747.0
2018,"Houston-The Woodlands-Sugar Land, TX",15250.0,21756.0,-6506.0
2019,"Houston-The Woodlands-Sugar Land, TX",8318.0,26286.0,-17968.0
2020,"Houston-The Woodlands-Sugar Land, TX",7114.0,22027.0,-14913.0
2021,"Houston-The Woodlands-Sugar Land, TX",7247.0,29635.0,-22388.0
2022,"Houston-The Woodlands-Sugar Land, TX",9690.0,46387.0,-36697.0
2023,"Houston-The Woodlands-Sugar Land, TX",10658.0,35647.0,-24989.0
2009,"Atlanta-Sandy Springs-Roswell, GA",11275.0,15413.0,-4138.0
2010,"Atlanta-Sandy Springs-Roswell, GA",7969.0,11632.0,-3663.0
2011,"Atlanta-Sandy Springs-Roswell, GA",8620.0,8024.0,596.0
2012,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2013,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2014,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2015,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2016,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2017,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2018,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
2019,"Atlanta-Sandy Springs-Roswell, GA",0.0,0.0,0.0
