AGE,inner_to_outer,outer_to_inner,inner_to_inner_diff_county,inner_nonmovers,outer_nonmovers,msa
1,1582.0,565.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
2,2926.0,618.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
3,1199.0,832.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
4,616.0,551.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
5,1042.0,80.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
6,1286.0,0.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
7,1169.0,428.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
8,1067.0,0.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
9,1089.0,438.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
10,864.0,164.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
11,791.0,0.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
12,1600.0,123.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
13,531.0,0.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
14,1444.0,217.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
15,1308.0,175.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
16,1071.0,184.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
17,427.0,492.0,0.0,0.0,0.0,"New York-Newark-Jersey City, NY-NJ"
1,453.0,0.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
2,176.0,447.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
3,0.0,536.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
4,381.0,793.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
5,0.0,137.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
6,740.0,128.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
7,0.0,473.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
8,438.0,461.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
9,127.0,94.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
10,497.0,0.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
11,181.0,253.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
12,0.0,82.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
13,250.0,86.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
14,870.0,0.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
15,0.0,0.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
16,597.0,0.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
17,78.0,66.0,0.0,0.0,0.0,"Los Angeles-Long Beach-Anaheim, CA"
1,1813.0,166.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
2,841.0,485.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
3,576.0,79.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
4,52.0,167.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
5,283.0,0.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
6,799.0,86.0,0.0,0.0,0.0,"Chicago-Naperville-Elgin, IL-IN"
