SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,36,001,New York,Albany County,1,314838,153136,161702,15336,7837,7499,29433,15184,14249,13526,6750,6776,44156,21504,22652,263508,126801,136707,256543,123365,133178,133609,66106,67503,79208,39535,39673,78445,38510,39935,54734,23816,30918,15336,7837,7499,16357,8470,7887,16357,8397,7960,22381,10901,11480,32020,15670,16350,21787,10905,10882,19853,9948,9905,19878,9862,10016,17690,8820,8870,17318,8554,8764,19261,9510,9751,21398,10456,10942,20468,9990,10478,17766,8424,9342,14592,6707,7885,9207,3996,5211,5997,2420,3577,7172,2269,4903,38.3,37.2,39.4
050,36,001,New York,Albany County,2,314024,152787,161237,15285,7804,7481,29401,15171,14230,13456,6731,6725,43816,21325,22491,262802,126497,136305,255882,123081,132801,133284,65971,67313,79276,39592,39684,78004,38269,39735,54786,23895,30891,15285,7804,7481,16351,8471,7880,16314,8377,7937,22148,10788,11360,31860,15591,16269,21716,10876,10840,19881,9944,9937,19878,9897,9981,17801,8875,8926,17145,8445,8700,19173,9486,9687,21278,10385,10893,20408,9953,10455,17795,8447,9348,14742,6783,7959,9212,3992,5220,5997,2426,3571,7040,2247,4793,38.3,37.2,39.5
050,36,001,New York,Albany County,3,316817,153959,162858,14850,7538,7312,29191,14990,14201,13284,6719,6565,46369,22445,23924,266261,128055,138206,259492,124712,134780,136896,67732,69164,80487,40274,40213,76501,37425,39076,56135,24568,31567,14850,7538,7312,16253,8369,7884,16182,8327,7855,23314,11349,11965,33095,16109,16986,21810,10980,10830,20319,10095,10224,20040,10120,9920,18318,9079,9239,16665,8151,8514,18924,9430,9494,20587,9994,10593,20325,9850,10475,18022,8576,9446,15465,7139,8326,9537,4166,5371,6110,2466,3644,7001,2221,4780,38.1,37.0,39.2
050,36,001,New York,Albany County,4,316287,153628,162659,14516,7373,7143,28995,14843,14152,13276,6783,6493,45793,22203,23590,266181,127972,138209,259500,124629,134871,136658,67679,68979,80901,40410,40491,75113,36650,38463,57693,25366,32327,14516,7373,7143,16158,8351,7807,16149,8209,7940,22969,11314,11655,32788,15955,16833,21547,10845,10702,20411,10078,10333,20134,10174,9960,18809,9313,9496,16415,7971,8444,18480,9203,9277,19950,9680,10270,20268,9796,10472,18213,8682,9531,15411,7114,8297,10686,4764,5922,6405,2579,3826,6978,2227,4751,38.4,37.3,39.5
050,36,001,New York,Albany County,5,318000,154579,163421,14299,7234,7065,29174,14981,14193,13329,6822,6507,45935,22314,23621,267957,129016,138941,261198,125542,135656,137838,68405,69433,81814,40873,40941,74171,36252,37919,59278,26103,33175,14299,7234,7065,16069,8317,7752,16345,8268,8077,23086,11494,11592,32938,16038,16900,21434,10683,10751,20763,10350,10413,20328,10260,10068,19289,9580,9709,16764,8242,8522,17989,8916,9073,19370,9396,9974,20048,9698,10350,18448,8771,9677,15492,7152,8340,11417,5142,6275,6882,2783,4099,7039,2255,4784,38.4,37.4,39.5
050,36,001,New York,Albany County,6,319964,155779,164185,14225,7213,7012,29069,14928,14141,13439,6831,6608,45840,22433,23407,270050,130342,139708,263231,126807,136424,138932,69132,69800,82994,41517,41477,73467,35988,37479,60930,26869,34061,14225,7213,7012,15870,8192,7678,16540,8385,8155,22888,11439,11449,33050,16176,16874,21395,10657,10738,21203,10627,10576,20660,10423,10237,19736,9810,9926,17132,8492,8640,17502,8626,8876,18719,9123,9596,20114,9747,10367,18572,8809,9763,15720,7232,8488,12200,5547,6653,7221,2909,4312,7217,2372,4845,38.6,37.5,39.7
050,36,003,New York,Allegany County,1,46477,23733,22744,2413,1224,1189,4720,2448,2272,2325,1257,1068,6819,3680,3139,38214,19467,18747,37019,18804,18215,18059,9476,8583,9475,4831,4644,11639,5904,5735,9086,4389,4697,2413,1224,1189,2537,1375,1162,2743,1365,1378,4470,2457,2013,4114,2188,1926,2241,1166,1075,2417,1242,1175,2427,1208,1219,2390,1215,1175,2422,1217,1205,2686,1344,1342,3183,1616,1567,3348,1727,1621,2985,1509,1476,2456,1254,1202,1559,765,794,1037,475,562,1049,386,663,39.7,38.6,41.0
050,36,003,New York,Allegany County,2,47358,24230,23128,2419,1217,1202,4699,2435,2264,2314,1246,1068,7758,4210,3548,39118,19990,19128,37926,19332,18594,18993,10000,8993,9478,4832,4646,11580,5873,5707,9110,4417,4693,2419,1217,1202,2524,1365,1159,2732,1358,1374,4909,2707,2202,4606,2461,2145,2268,1182,1086,2397,1230,1167,2434,1210,1224,2379,1210,1169,2411,1215,1196,2673,1337,1336,3153,1600,1553,3343,1721,1622,2999,1524,1475,2469,1257,1212,1564,774,790,1037,473,564,1041,389,652,38.7,37.5,40.0
050,36,003,New York,Allegany County,3,46962,24013,22949,2372,1202,1170,4643,2395,2248,2268,1184,1084,7565,4145,3420,38852,19856,18996,37679,19232,18447,18767,9886,8881,9476,4833,4643,11355,5753,5602,9283,4501,4782,2372,1202,1170,2508,1343,1165,2677,1328,1349,4810,2639,2171,4481,2414,2067,2253,1179,1074,2324,1184,1140,2488,1246,1242,2411,1224,1187,2312,1173,1139,2660,1335,1325,3035,1538,1497,3348,1707,1641,3049,1550,1499,2560,1287,1273,1604,822,782,1034,460,574,1036,382,654,39.1,37.8,40.4
050,36,003,New York,Allegany County,4,46850,23930,22920,2367,1212,1155,4639,2411,2228,2257,1146,1111,7575,4166,3409,38750,19767,18983,37587,19161,18426,18696,9828,8868,9408,4776,4632,11121,5621,5500,9483,4598,4885,2367,1212,1155,2547,1351,1196,2636,1320,1316,4784,2616,2168,4504,2436,2068,2229,1138,1091,2269,1160,1109,2455,1238,1217,2455,1240,1215,2279,1154,1125,2617,1326,1291,2906,1443,1463,3319,1698,1621,3091,1584,1507,2542,1262,1280,1740,894,846,1045,456,589,1065,402,663,39.2,37.8,40.6
