county_fips,cbsa_code,under18_2000,under18_2005,under18_2010,under18_2015,under18_2020,under18_2024,chg_00_05,chg_05_10,chg_10_15,chg_15_20,chg_19_24
04013,38060,828003.0,1056559.0,1007861.0,1011479.0,1038182.0,1025680.0,228556.0,-48698.0,3618.0,26703.0,-12502.0
04021,38060,45081.0,76923.0,99700.0,99708.0,99624.0,97593.0,31842.0,22777.0,8.0,-84.0,-2031.0
06037,31080,2667976.0,2550597.0,2402208.0,2347600.0,2054218.0,2057536.0,-117379.0,-148389.0,-54608.0,-293382.0,3318.0
06059,31080,768419.0,757734.0,736659.0,729650.0,667331.0,674833.0,-10685.0,-21075.0,-7009.0,-62319.0,7502.0
10003,37980,124749.0,127551.0,125079.0,123342.0,120843.0,122553.0,2802.0,-2472.0,-1737.0,-2499.0,1710.0
11001,47900,114992.0,113992.0,100815.0,107989.0,114384.0,125675.0,-1000.0,-13177.0,7174.0,6395.0,11291.0
12011,33100,382929.0,414137.0,391349.0,397565.0,398337.0,406732.0,31208.0,-22788.0,6216.0,772.0,8395.0
12086,33100,559213.0,576396.0,545728.0,549597.0,523147.0,540695.0,17183.0,-30668.0,3869.0,-26450.0,17548.0
12099,33100,240458.0,270043.0,268884.0,271398.0,283567.0,284812.0,29585.0,-1159.0,2514.0,12169.0,1245.0
13013,12060,13125.0,18712.0,19589.0,19627.0,21310.0,22096.0,5587.0,877.0,38.0,1683.0,786.0
13015,12060,21199.0,26000.0,26800.0,25936.0,25331.0,26219.0,4801.0,800.0,-864.0,-605.0,888.0
13035,12060,4699.0,5485.0,5325.0,5168.0,5074.0,5350.0,786.0,-160.0,-157.0,-94.0,276.0
13045,12060,22630.0,28908.0,28124.0,27706.0,28152.0,29124.0,6278.0,-784.0,-418.0,446.0,972.0
13057,12060,40110.0,56744.0,58920.0,59352.0,63692.0,63937.0,16634.0,2176.0,432.0,4340.0,245.0
13063,12060,70921.0,83294.0,74979.0,75234.0,77017.0,81489.0,12373.0,-8315.0,255.0,1783.0,4472.0
13067,12060,158406.0,183825.0,176487.0,177630.0,174301.0,176082.0,25419.0,-7338.0,1143.0,-3329.0,1781.0
13077,12060,25642.0,32788.0,34832.0,34812.0,35003.0,35133.0,7146.0,2044.0,-20.0,191.0,130.0
13085,12060,4008.0,5072.0,5083.0,4996.0,5357.0,5753.0,1064.0,11.0,-87.0,361.0,396.0
13089,12060,163978.0,178267.0,165136.0,168059.0,169106.0,175339.0,14289.0,-13131.0,2923.0,1047.0,6233.0
13097,12060,25435.0,36293.0,37533.0,37161.0,35809.0,37396.0,10858.0,1240.0,-372.0,-1352.0,1587.0
13113,12060,26554.0,28990.0,28099.0,26902.0,27396.0,27508.0,2436.0,-891.0,-1197.0,494.0,112.0
13117,12060,27466.0,47089.0,53405.0,56019.0,70090.0,68187.0,19623.0,6316.0,2614.0,14071.0,-1903.0
13121,12060,199290.0,239716.0,219686.0,226997.0,219528.0,225602.0,40426.0,-20030.0,7311.0,-7469.0,6074.0
13135,12060,165993.0,231721.0,234707.0,239326.0,247578.0,255222.0,65728.0,2986.0,4619.0,8252.0,7644.0
13143,12060,6698.0,7532.0,7233.0,7098.0,7065.0,7323.0,834.0,-299.0,-135.0,-33.0,258.0
13149,12060,3164.0,3070.0,3048.0,2836.0,2714.0,2705.0,-94.0,-22.0,-212.0,-122.0,-9.0
13151,12060,34861.0,55919.0,59657.0,58637.0,60739.0,61949.0,21058.0,3738.0,-1020.0,2102.0,1210.0
13159,12060,3109.0,3541.0,3475.0,3355.0,3470.0,3598.0,432.0,-66.0,-120.0,115.0,128.0
13187,12060,5102.0,5958.0,6241.0,6134.0,5799.0,5809.0,856.0,283.0,-107.0,-335.0,10.0
13199,12060,5998.0,5721.0,5210.0,4873.0,4087.0,4483.0,-277.0,-511.0,-337.0,-786.0,396.0
13211,12060,4106.0,4708.0,4439.0,4287.0,4523.0,4609.0,602.0,-269.0,-152.0,236.0,86.0
13217,12060,17157.0,27672.0,28873.0,28258.0,27735.0,29569.0,10515.0,1201.0,-615.0,-523.0,1834.0
13223,12060,25079.0,38590.0,43094.0,42102.0,44663.0,44800.0,13511.0,4504.0,-992.0,2561.0,137.0
13227,12060,5413.0,6747.0,6637.0,6143.0,6417.0,6504.0,1334.0,-110.0,-494.0,274.0,87.0
13231,12060,3779.0,4666.0,4838.0,4642.0,4552.0,4595.0,887.0,172.0,-196.0,-90.0,43.0
13247,12060,19288.0,23051.0,22914.0,22681.0,22067.0,22580.0,3763.0,-137.0,-233.0,-614.0,513.0
13255,12060,15932.0,17041.0,16211.0,15905.0,15183.0,15956.0,1109.0,-830.0,-306.0,-722.0,773.0
13297,12060,17223.0,22233.0,22588.0,22416.0,23575.0,24256.0,5010.0,355.0,-172.0,1159.0,681.0
17031,16980,1397819.0,1298250.0,1232280.0,1208585.0,1103139.0,1110965.0,-99569.0,-65970.0,-23695.0,-105446.0,7826.0
17037,16980,20569.0,22907.0,23490.0,23039.0,22538.0,21906.0,2338.0,583.0,-451.0,-501.0,-632.0
17043,16980,241832.0,234185.0,227430.0,223069.0,208544.0,207574.0,-7647.0,-6755.0,-4361.0,-14525.0,-970.0
17063,16980,9994.0,12521.0,13657.0,13260.0,13150.0,13072.0,2527.0,1136.0,-397.0,-110.0,-78.0
17089,16980,122295.0,147751.0,149190.0,145943.0,127708.0,125866.0,25456.0,1439.0,-3247.0,-18235.0,-1842.0
17093,16980,16083.0,28650.0,36066.0,36158.0,37914.0,37150.0,12567.0,7416.0,92.0,1756.0,-764.0
17097,16980,189364.0,197856.0,192672.0,185117.0,170305.0,168098.0,8492.0,-5184.0,-7555.0,-14812.0,-2207.0
17111,16980,78496.0,86572.0,84175.0,80199.0,71352.0,71656.0,8076.0,-2397.0,-3976.0,-8847.0,304.0
17197,16980,150711.0,194379.0,196954.0,189479.0,170268.0,167605.0,43668.0,2575.0,-7475.0,-19211.0,-2663.0
18073,16980,8234.0,8371.0,8594.0,8413.0,7886.0,7710.0,137.0,223.0,-181.0,-527.0,-176.0
18089,16980,129797.0,130443.0,127273.0,123466.0,118049.0,116556.0,646.0,-3170.0,-3807.0,-5417.0,-1493.0
18111,16980,3847.0,3209.0,3279.0,3236.0,2963.0,2914.0,-638.0,70.0,-43.0,-273.0,-49.0
18127,16980,37802.0,38904.0,39921.0,38904.0,38279.0,37643.0,1102.0,1017.0,-1017.0,-625.0,-636.0
24015,37980,23789.0,25346.0,25355.0,24642.0,23260.0,23376.0,1557.0,9.0,-713.0,-1382.0,116.0
24017,47900,34651.0,38506.0,38884.0,38654.0,39950.0,40477.0,3855.0,378.0,-230.0,1296.0,527.0
24021,47900,53887.0,58700.0,59044.0,58610.0,64057.0,65575.0,4813.0,344.0,-434.0,5447.0,1518.0
24031,47900,221758.0,234412.0,233530.0,238214.0,242942.0,242703.0,12654.0,-882.0,4684.0,4728.0,-239.0
24033,47900,214602.0,211901.0,205999.0,204328.0,211152.0,212476.0,-2701.0,-5902.0,-1671.0,6824.0,1324.0
34003,35620,203054.0,201049.0,204405.0,203322.0,200498.0,200829.0,-2005.0,3356.0,-1083.0,-2824.0,331.0
34005,37980,106521.0,105322.0,104243.0,100758.0,96455.0,96046.0,-1199.0,-1079.0,-3485.0,-4303.0,-409.0
34007,37980,136148.0,128751.0,125117.0,121787.0,116981.0,119506.0,-7397.0,-3634.0,-3330.0,-4806.0,2525.0
34013,35620,206950.0,196458.0,194918.0,193134.0,202220.0,202319.0,-10492.0,-1540.0,-1784.0,9086.0,99.0
34015,37980,67129.0,69180.0,70261.0,68263.0,65013.0,65177.0,2051.0,1081.0,-1998.0,-3250.0,164.0
34017,35620,137498.0,124720.0,131162.0,134283.0,142103.0,142298.0,-12778.0,6442.0,3121.0,7820.0,195.0
34019,35620,31374.0,31675.0,30217.0,27997.0,24927.0,24848.0,301.0,-1458.0,-2220.0,-3070.0,-79.0
34023,35620,177628.0,184165.0,185457.0,184849.0,183153.0,186485.0,6537.0,1292.0,-608.0,-1696.0,3332.0
34025,35620,160342.0,158587.0,150299.0,144681.0,131945.0,135467.0,-1755.0,-8288.0,-5618.0,-12736.0,3522.0
34027,35620,116838.0,118740.0,117695.0,114335.0,105692.0,106161.0,1902.0,-1045.0,-3360.0,-8643.0,469.0
34029,35620,119046.0,130570.0,134919.0,136473.0,154629.0,160999.0,11524.0,4349.0,1554.0,18156.0,6370.0
34031,35620,127486.0,124970.0,124613.0,124175.0,120302.0,122854.0,-2516.0,-357.0,-438.0,-3873.0,2552.0
34033,37980,16450.0,15810.0,15510.0,14894.0,14299.0,14221.0,-640.0,-300.0,-616.0,-595.0,-78.0
34035,35620,75991.0,81109.0,80835.0,78982.0,74157.0,74097.0,5118.0,-274.0,-1853.0,-4825.0,-60.0
34037,35620,40218.0,37740.0,35773.0,33209.0,27776.0,28394.0,-2478.0,-1967.0,-2564.0,-5433.0,618.0
34039,35620,129941.0,129940.0,131258.0,131500.0,134489.0,134776.0,-1.0,1318.0,242.0,2989.0,287.0
36005,35620,397372.0,392365.0,368196.0,367505.0,349579.0,347363.0,-5007.0,-24169.0,-691.0,-17926.0,-2216.0
36047,35620,662499.0,638344.0,594378.0,604473.0,595703.0,595037.0,-24155.0,-43966.0,10095.0,-8770.0,-666.0
36059,35620,329079.0,322090.0,311580.0,305266.0,296890.0,300139.0,-6989.0,-10510.0,-6314.0,-8376.0,3249.0
36061,35620,257916.0,260675.0,234435.0,237922.0,232511.0,229519.0,2759.0,-26240.0,3487.0,-5411.0,-2992.0
36079,35620,25374.0,24502.0,23650.0,22423.0,19398.0,19180.0,-872.0,-852.0,-1227.0,-3025.0,-218.0
36081,35620,509224.0,493313.0,461901.0,468282.0,455995.0,460935.0,-15911.0,-31412.0,6381.0,-12287.0,4940.0
36085,35620,113258.0,114338.0,109201.0,107162.0,106354.0,107343.0,1080.0,-5137.0,-2039.0,-808.0,989.0
36087,35620,80286.0,83088.0,87580.0,88540.0,98813.0,99733.0,2802.0,4492.0,960.0,10273.0,920.0
36103,35620,370081.0,376350.0,357670.0,345451.0,311508.0,300491.0,6269.0,-18680.0,-12219.0,-33943.0,-11017.0
36119,35620,230797.0,232689.0,228000.0,225215.0,222015.0,214739.0,1892.0,-4689.0,-2785.0,-3200.0,-7276.0
42017,37980,153486.0,145591.0,143514.0,138420.0,131198.0,129878.0,-7895.0,-2077.0,-5094.0,-7222.0,-1320.0
42029,37980,113582.0,121775.0,124055.0,121826.0,121527.0,120700.0,8193.0,2280.0,-2229.0,-299.0,-827.0
42045,37980,136833.0,131641.0,130412.0,127923.0,127040.0,127359.0,-5192.0,-1229.0,-2489.0,-883.0,319.0
42091,37980,181145.0,179644.0,183499.0,181421.0,182529.0,184976.0,-1501.0,3855.0,-2078.0,1108.0,2447.0
42101,37980,383469.0,367499.0,343837.0,345322.0,325435.0,338722.0,-15970.0,-23662.0,1485.0,-19887.0,13287.0
48015,26420,6375.0,6756.0,7129.0,7125.0,7010.0,7242.0,381.0,373.0,-4.0,-115.0,232.0
48039,26420,69103.0,81369.0,86985.0,88675.0,96131.0,98742.0,12266.0,5616.0,1690.0,7456.0,2611.0
48071,26420,7524.0,8113.0,10011.0,10259.0,13107.0,13515.0,589.0,1898.0,248.0,2848.0,408.0
48085,19100,141307.0,205852.0,224677.0,233204.0,277627.0,280048.0,64545.0,18825.0,8527.0,44423.0,2421.0
48113,19100,619031.0,671235.0,654263.0,665750.0,640961.0,661827.0,52204.0,-16972.0,11487.0,-24789.0,20866.0
48121,19100,120110.0,167631.0,182260.0,189575.0,228006.0,224897.0,47521.0,14629.0,7315.0,38431.0,-3109.0
