csa_code,csa_short,CSA Title,County/County Equivalent,State Name,state_fips,county_fips,fips_5,is_inner
206,Dallas,"Dallas-Fort Worth, TX-OK",Henderson County,Texas,48,213,48213,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Clarke County,Georgia,13,059,13059,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Madison County,Georgia,13,195,13195,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Oconee County,Georgia,13,219,13219,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Oglethorpe County,Georgia,13,221,13221,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Barrow County,Georgia,13,013,13013,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Butts County,Georgia,13,035,13035,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Carroll County,Georgia,13,045,13045,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Clayton County,Georgia,13,063,13063,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Coweta County,Georgia,13,077,13077,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Dawson County,Georgia,13,085,13085,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",DeKalb County,Georgia,13,089,13089,True
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Douglas County,Georgia,13,097,13097,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Fayette County,Georgia,13,113,13113,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Forsyth County,Georgia,13,117,13117,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Fulton County,Georgia,13,121,13121,True
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Gwinnett County,Georgia,13,135,13135,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Heard County,Georgia,13,149,13149,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Henry County,Georgia,13,151,13151,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Jasper County,Georgia,13,159,13159,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Lumpkin County,Georgia,13,187,13187,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Meriwether County,Georgia,13,199,13199,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Morgan County,Georgia,13,211,13211,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Newton County,Georgia,13,217,13217,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Pickens County,Georgia,13,227,13227,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Pike County,Georgia,13,231,13231,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Rockdale County,Georgia,13,247,13247,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Spalding County,Georgia,13,255,13255,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Walton County,Georgia,13,297,13297,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Bartow County,Georgia,13,015,13015,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Cherokee County,Georgia,13,057,13057,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Cobb County,Georgia,13,067,13067,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Haralson County,Georgia,13,143,13143,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Paulding County,Georgia,13,223,13223,False
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Atlantic County,New Jersey,34,001,34001,False
428,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Cape May County,New Jersey,34,009,34009,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Anne Arundel County,Maryland,24,003,24003,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Baltimore County,Maryland,24,005,24005,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Carroll County,Maryland,24,013,24013,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Harford County,Maryland,24,025,24025,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Howard County,Maryland,24,027,24027,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Queen Anne's County,Maryland,24,035,24035,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Baltimore city,Maryland,24,510,24510,True
288,Houston,"Houston-Pasadena, TX",Matagorda County,Texas,48,321,48321,False
206,Dallas,"Dallas-Fort Worth, TX-OK",Fannin County,Texas,48,147,48147,False
288,Houston,"Houston-Pasadena, TX",Washington County,Texas,48,477,48477,False
408,New York,"New York-Newark, NY-NJ-CT-PA",Greater Bridgeport Planning Region,Connecticut,09,120,09120,False
408,New York,"New York-Newark, NY-NJ-CT-PA",Western Connecticut Planning Region,Connecticut,09,190,09190,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Gordon County,Georgia,13,129,13129,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Dorchester County,Maryland,24,019,24019,False
122,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Polk County,Georgia,13,233,13233,False
548,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Franklin County,Pennsylvania,42,055,42055,False
176,Chicago,"Chicago-Naperville, IL-IN-WI",Cook County,Illinois,17,031,17031,True
176,Chicago,"Chicago-Naperville, IL-IN-WI",DuPage County,Illinois,17,043,17043,False
