fips_5,msa_name_short,County/County Equivalent,state_fips,cbsa_code,pop_under18,aged_out_5_17,pop_under18_2024,delta_under18,births_2012_2024,deaths_2012_2024,net_migration_implied,delta_pct_of_baseline,births_pct_of_baseline,aging_out_pct_of_baseline,net_mig_pct_of_baseline
13013,"Atlanta-Sandy Springs-Roswell, GA",Barrow County,13,12060,19554,13996,23700.0,4146.0,,0,,21.202822951825713,,-71.57614810268998,
13035,"Atlanta-Sandy Springs-Roswell, GA",Butts County,13,12060,5218,3818,5641.0,423.0,,0,,8.10655423533921,,-73.16979685703335,
13045,"Atlanta-Sandy Springs-Roswell, GA",Carroll County,13,12060,27843,20201,30575.0,2732.0,17438.0,0,5495.0,9.812161045864311,62.629745357899644,-72.55324498078511,19.735660668749773
13063,"Atlanta-Sandy Springs-Roswell, GA",Clayton County,13,12060,75058,53384,76197.0,1139.0,46935.0,0,7588.0,1.5174931386394521,62.53164219670122,-71.12366436622345,10.109515308161688
13077,"Atlanta-Sandy Springs-Roswell, GA",Coweta County,13,12060,34787,25800,35682.0,895.0,18155.0,0,8540.0,2.572800183976773,52.18903613418806,-74.1656365883807,24.54940063816943
13085,"Atlanta-Sandy Springs-Roswell, GA",Dawson County,13,12060,4968,3767,6862.0,1894.0,,0,,38.12399355877617,,-75.82528180354268,
13089,"Atlanta-Sandy Springs-Roswell, GA",DeKalb County,13,12060,165972,114627,171001.0,5029.0,135914.0,0,-16258.0,3.030029161545321,81.88971633769552,-69.06405899790326,-9.795628178246933
13097,"Atlanta-Sandy Springs-Roswell, GA",Douglas County,13,12060,37022,27577,37527.0,505.0,18660.0,0,9422.0,1.3640538058451732,50.40246340014046,-74.4881421857274,25.449732591432124
13113,"Atlanta-Sandy Springs-Roswell, GA",Fayette County,13,12060,27279,22571,27209.0,-70.0,9879.0,0,12622.0,-0.25660764690787785,36.21467062575607,-82.74130283368159,46.27002456101763
13117,"Atlanta-Sandy Springs-Roswell, GA",Forsyth County,13,12060,54732,41623,69171.0,14439.0,24972.0,0,31090.0,26.381276035957026,45.625959219469415,-76.04874661989331,56.804063436380915
13121,"Atlanta-Sandy Springs-Roswell, GA",Fulton County,13,12060,224080,160305,222302.0,-1778.0,166848.0,0,-8321.0,-0.7934666190646198,74.45912174223491,-71.53918243484469,-3.713405926454837
13135,"Atlanta-Sandy Springs-Roswell, GA",Gwinnett County,13,12060,236567,174827,252809.0,16242.0,144391.0,0,46678.0,6.865708234876378,61.03598557702469,-73.90168535763652,19.731408015488213
13149,"Atlanta-Sandy Springs-Roswell, GA",Heard County,13,12060,2947,2214,2725.0,-222.0,,0,,-7.533084492704445,,-75.12724804886325,
13151,"Atlanta-Sandy Springs-Roswell, GA",Henry County,13,12060,58981,45694,63828.0,4847.0,34967.0,0,15574.0,8.21790067987996,59.285193536901716,-77.47240636815246,26.4051135111307
13159,"Atlanta-Sandy Springs-Roswell, GA",Jasper County,13,12060,3445,2535,3979.0,534.0,,0,,15.500725689404934,,-73.58490566037736,
13187,"Atlanta-Sandy Springs-Roswell, GA",Lumpkin County,13,12060,6113,4461,5957.0,-156.0,,0,,-2.551938491738917,,-72.97562571568787,
13199,"Atlanta-Sandy Springs-Roswell, GA",Meriwether County,13,12060,4987,3666,4393.0,-594.0,,0,,-11.910968518147182,,-73.51112893523161,
13211,"Atlanta-Sandy Springs-Roswell, GA",Morgan County,13,12060,4355,3322,4812.0,457.0,,0,,10.493685419058552,,-76.28013777267509,
13217,"Atlanta-Sandy Springs-Roswell, GA",Newton County,13,12060,28403,21159,30587.0,2184.0,,0,,7.689328592050136,,-74.49565186776044,
13227,"Atlanta-Sandy Springs-Roswell, GA",Pickens County,13,12060,6443,4784,6700.0,257.0,,0,,3.988825081483781,,-74.25112525221171,
13231,"Atlanta-Sandy Springs-Roswell, GA",Pike County,13,12060,4688,3728,4732.0,44.0,,0,,0.938566552901024,,-79.5221843003413,
13247,"Atlanta-Sandy Springs-Roswell, GA",Rockdale County,13,12060,22463,16845,22534.0,71.0,,0,,0.3160753238659128,,-74.98998352846904,
13255,"Atlanta-Sandy Springs-Roswell, GA",Spalding County,13,12060,15991,11420,16130.0,139.0,,0,,0.8692389469076356,,-71.41517103370646,
13297,"Atlanta-Sandy Springs-Roswell, GA",Walton County,13,12060,22494,16820,25771.0,3277.0,,0,,14.568329332266384,,-74.77549568773895,
13015,"Atlanta-Sandy Springs-Roswell, GA",Bartow County,13,12060,26323,19500,26491.0,168.0,14586.0,0,5082.0,0.6382251263153895,55.41161721688257,-74.07970216160771,19.306310071040535
13057,"Atlanta-Sandy Springs-Roswell, GA",Cherokee County,13,12060,59184,44039,63700.0,4516.0,35615.0,0,12940.0,7.63044065963774,60.17673695593404,-74.41031359826981,21.864017301973508
13067,"Atlanta-Sandy Springs-Roswell, GA",Cobb County,13,12060,176159,128364,172421.0,-3738.0,119262.0,0,5364.0,-2.1219466504691784,67.7013379957879,-72.86826105961092,3.044976413353845
