year_pair,msa,inner_to_outer_returns,inner_to_outer_exemptions,inner_to_outer_dependents,outer_to_inner_returns,outer_to_inner_exemptions,outer_to_inner_dependents,net_outflow_exemptions,net_outflow_dependents
1112,"New York-Newark-Jersey City, NY-NJ",49075,90286,16673,40545,62738,1920,27548,14753
1112,"Los Angeles-Long Beach-Anaheim, CA",19871,37081,7274,17241,30298,4436,6783,2838
1112,"Chicago-Naperville-Elgin, IL-IN",32610,65488,16573,28321,52603,10121,12885,6452
1112,"Dallas-Fort Worth-Arlington, TX",33520,67167,16887,28977,54724,11258,12443,5629
1112,"Houston-The Woodlands-Sugar Land, TX",30033,64778,19728,24642,50226,13263,14552,6465
1112,"Atlanta-Sandy Springs-Roswell, GA",34500,65781,14031,32110,58688,10523,7093,3508
1112,"Washington-Arlington-Alexandria, DC-VA-MD-WV",21796,37681,4987,19540,30664,1354,7017,3633
1112,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15432,28202,5054,12788,20265,1083,7937,3971
1112,"Miami-Fort Lauderdale-Pompano Beach, FL",33991,50406,0,26311,36794,0,13612,0
1112,"Phoenix-Mesa-Chandler, AZ",5679,12858,4339,6383,14855,5280,-1997,-941
1112,"Austin-Round Rock-San Marcos, TX",12295,24352,5909,10005,18853,3845,5499,2064
1112,"Charlotte-Concord-Gastonia, NC-SC",8060,16870,4780,6333,12102,2602,4768,2178
1213,"New York-Newark-Jersey City, NY-NJ",50134,94942,19741,36932,58405,3007,36537,16734
1213,"Los Angeles-Long Beach-Anaheim, CA",20274,37902,7491,17960,32180,5240,5722,2251
1213,"Chicago-Naperville-Elgin, IL-IN",36243,73505,19140,29693,55028,10488,18477,8652
1213,"Dallas-Fort Worth-Arlington, TX",36245,74133,19765,29876,56700,11886,17433,7879
1213,"Houston-The Woodlands-Sugar Land, TX",32006,69343,21334,25697,52267,13721,17076,7613
1213,"Atlanta-Sandy Springs-Roswell, GA",33029,67311,17767,28809,55606,12392,11705,5375
1213,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23355,40423,5390,20005,31591,1583,8832,3807
1213,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15937,29329,5423,12614,20412,1491,8917,3932
1213,"Miami-Fort Lauderdale-Pompano Beach, FL",25548,44606,6284,16821,28296,3064,16310,3220
1213,"Phoenix-Mesa-Chandler, AZ",6164,13907,4661,5895,13486,4643,421,18
1213,"Austin-Round Rock-San Marcos, TX",13290,26790,6855,10411,19567,3950,7223,2905
1213,"Charlotte-Concord-Gastonia, NC-SC",9500,19994,5744,6717,12868,2792,7126,2952
1314,"New York-Newark-Jersey City, NY-NJ",48602,92450,19547,35397,55788,2692,36662,16855
1314,"Los Angeles-Long Beach-Anaheim, CA",19238,35528,6671,16554,28931,4100,6597,2571
1314,"Chicago-Naperville-Elgin, IL-IN",34293,69268,17828,28056,50579,8495,18689,9333
1314,"Dallas-Fort Worth-Arlington, TX",34576,70927,19063,28891,54098,10761,16829,8302
1314,"Houston-The Woodlands-Sugar Land, TX",32069,70382,22278,25054,50075,12494,20307,9784
1314,"Atlanta-Sandy Springs-Roswell, GA",30771,63544,17387,25621,49474,11042,14070,6345
1314,"Washington-Arlington-Alexandria, DC-VA-MD-WV",21626,37822,5383,18589,28684,800,9138,4583
1314,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15205,27596,4788,12301,19589,1137,8007,3651
1314,"Miami-Fort Lauderdale-Pompano Beach, FL",18144,33514,6298,12477,22098,3382,11416,2916
1314,"Phoenix-Mesa-Chandler, AZ",5695,12642,4099,5029,11076,3532,1566,567
1314,"Austin-Round Rock-San Marcos, TX",13539,27096,6787,10008,18386,3374,8710,3413
1314,"Charlotte-Concord-Gastonia, NC-SC",9736,20659,6055,6490,12297,2562,8362,3493
1415,"New York-Newark-Jersey City, NY-NJ",39949,75316,15392,31392,48394,1306,26922,14086
1415,"Los Angeles-Long Beach-Anaheim, CA",15621,28238,4806,13709,23411,2847,4827,1959
1415,"Chicago-Naperville-Elgin, IL-IN",26100,52327,13177,22480,39258,5538,13069,7639
1415,"Dallas-Fort Worth-Arlington, TX",26877,54052,13736,23034,41818,7267,12234,6469
1415,"Houston-The Woodlands-Sugar Land, TX",26266,56193,16794,21506,41767,9508,14426,7286
1415,"Atlanta-Sandy Springs-Roswell, GA",23987,48999,13018,21292,40035,8097,8964,4921
1415,"Washington-Arlington-Alexandria, DC-VA-MD-WV",15545,27294,3976,15467,23853,652,3441,3324
1415,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",12091,21916,3779,10208,16090,778,5826,3001
1415,"Miami-Fort Lauderdale-Pompano Beach, FL",14458,26555,4868,10348,18425,2903,8130,1965
1415,"Phoenix-Mesa-Chandler, AZ",4227,9206,2865,3924,8146,2260,1060,605
1415,"Austin-Round Rock-San Marcos, TX",10382,20629,5056,7741,13735,2123,6894,2933
1415,"Charlotte-Concord-Gastonia, NC-SC",7491,15722,4485,5631,10193,1746,5529,2739
1516,"New York-Newark-Jersey City, NY-NJ",51323,99275,22290,34146,51526,307,47749,21983
1516,"Los Angeles-Long Beach-Anaheim, CA",20065,35765,5667,16561,27833,2991,7932,2676
1516,"Chicago-Naperville-Elgin, IL-IN",35693,72055,18515,27174,46485,5724,25570,12791
1516,"Dallas-Fort Worth-Arlington, TX",38330,78490,20995,29063,52855,9260,25635,11735
1516,"Houston-The Woodlands-Sugar Land, TX",35388,77377,24295,24848,47865,10593,29512,13702
1516,"Atlanta-Sandy Springs-Roswell, GA",31461,63877,16685,26148,47887,8665,15990,8020
1516,"Washington-Arlington-Alexandria, DC-VA-MD-WV",22050,38987,5912,19504,28996,0,9991,5912
1516,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",15976,29724,5760,12538,19015,208,10709,5552
1516,"Miami-Fort Lauderdale-Pompano Beach, FL",17600,32252,5852,10712,18785,2717,13467,3135
1516,"Phoenix-Mesa-Chandler, AZ",6436,14070,4416,5359,11393,3354,2677,1062
1516,"Austin-Round Rock-San Marcos, TX",15300,30581,7631,10352,18204,2676,12377,4955
1516,"Charlotte-Concord-Gastonia, NC-SC",11300,23891,6941,7124,12850,2164,11041,4777
1617,"New York-Newark-Jersey City, NY-NJ",71931,140312,32415,39439,59639,480,80673,31935
1617,"Los Angeles-Long Beach-Anaheim, CA",25334,45600,7599,20296,34036,3592,11564,4007
1617,"Chicago-Naperville-Elgin, IL-IN",50074,100779,25668,33366,57881,7832,42898,17836
1617,"Dallas-Fort Worth-Arlington, TX",53783,111730,31055,36476,66624,11910,45106,19145
1617,"Houston-The Woodlands-Sugar Land, TX",46811,103227,33010,29514,57816,13545,45411,19465
1617,"Atlanta-Sandy Springs-Roswell, GA",40914,82373,21002,33653,61299,10819,21074,10183
1617,"Washington-Arlington-Alexandria, DC-VA-MD-WV",30504,53312,7556,22388,33422,0,19890,7556
1617,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",22717,43347,9271,15461,23527,335,19820,8936
1617,"Miami-Fort Lauderdale-Pompano Beach, FL",23218,42210,7383,12331,21540,3043,20670,4340
1617,"Phoenix-Mesa-Chandler, AZ",9686,21122,6593,7370,15933,4878,5189,1715
1617,"Austin-Round Rock-San Marcos, TX",21040,42330,10770,13190,23483,3698,18847,7072
1617,"Charlotte-Concord-Gastonia, NC-SC",16661,35365,10373,9056,16423,2839,18942,7534
1718,"New York-Newark-Jersey City, NY-NJ",61834,117532,24781,36949,55917,493,61615,24288
1718,"Los Angeles-Long Beach-Anaheim, CA",21031,36837,5290,16696,27374,2330,9463,2960
1718,"Chicago-Naperville-Elgin, IL-IN",37830,74106,17361,27994,47651,5660,26455,11701
1718,"Dallas-Fort Worth-Arlington, TX",44693,90554,23514,30446,54718,9049,35836,14465
1718,"Houston-The Woodlands-Sugar Land, TX",36959,79755,24316,26170,51052,11797,28703,12519
1718,"Atlanta-Sandy Springs-Roswell, GA",33556,65727,15393,27504,50184,8928,15543,6465
1718,"Washington-Arlington-Alexandria, DC-VA-MD-WV",23531,40110,4813,19145,28810,92,11300,4721
1718,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",18296,33887,6443,13600,20768,368,13119,6075
1718,"Miami-Fort Lauderdale-Pompano Beach, FL",19231,34706,5859,11640,20069,2609,14637,3250
1718,"Phoenix-Mesa-Chandler, AZ",8020,17237,5207,6112,12937,3769,4300,1438
1718,"Austin-Round Rock-San Marcos, TX",16495,32330,7587,11330,19614,2619,12716,4968
