county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
48059,Callahan County,Texas,10180,"Abilene, TX",Outlying,True
48253,Jones County,Texas,10180,"Abilene, TX",Outlying,True
48441,Taylor County,Texas,10180,"Abilene, TX",Central,True
72003,Aguada Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72005,Aguadilla Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72011,Añasco Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72071,Isabela Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72099,Moca Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72117,Rincón Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
72131,San Sebastián Municipio,Puerto Rico,10380,"Aguadilla, PR",Central,True
39133,Portage County,Ohio,10420,"Akron, OH",Central,True
39153,Summit County,Ohio,10420,"Akron, OH",Central,True
13095,Dougherty County,Georgia,10500,"Albany, GA",Central,True
13177,Lee County,Georgia,10500,"Albany, GA",Central,True
13273,Terrell County,Georgia,10500,"Albany, GA",Outlying,True
13321,Worth County,Georgia,10500,"Albany, GA",Outlying,True
41043,Linn County,Oregon,10540,"Albany, OR",Central,True
36001,Albany County,New York,10580,"Albany-Schenectady-Troy, NY",Central,True
36083,Rensselaer County,New York,10580,"Albany-Schenectady-Troy, NY",Central,True
36091,Saratoga County,New York,10580,"Albany-Schenectady-Troy, NY",Outlying,True
36093,Schenectady County,New York,10580,"Albany-Schenectady-Troy, NY",Central,True
36095,Schoharie County,New York,10580,"Albany-Schenectady-Troy, NY",Outlying,True
35001,Bernalillo County,New Mexico,10740,"Albuquerque, NM",Central,True
35043,Sandoval County,New Mexico,10740,"Albuquerque, NM",Central,True
35057,Torrance County,New Mexico,10740,"Albuquerque, NM",Outlying,True
35061,Valencia County,New Mexico,10740,"Albuquerque, NM",Outlying,True
22043,Grant Parish,Louisiana,10780,"Alexandria, LA",Outlying,True
22079,Rapides Parish,Louisiana,10780,"Alexandria, LA",Central,True
34041,Warren County,New Jersey,10900,"Allentown-Bethlehem-Easton, PA-NJ",Central,True
42025,Carbon County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",Outlying,True
42077,Lehigh County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",Central,True
42095,Northampton County,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",Central,True
42013,Blair County,Pennsylvania,11020,"Altoona, PA",Central,True
48011,Armstrong County,Texas,11100,"Amarillo, TX",Outlying,True
48065,Carson County,Texas,11100,"Amarillo, TX",Outlying,True
48359,Oldham County,Texas,11100,"Amarillo, TX",Outlying,True
48375,Potter County,Texas,11100,"Amarillo, TX",Central,True
48381,Randall County,Texas,11100,"Amarillo, TX",Central,True
19015,Boone County,Iowa,11180,"Ames, IA",Outlying,True
19169,Story County,Iowa,11180,"Ames, IA",Central,True
25015,Hampshire County,Massachusetts,11200,"Amherst Town-Northampton, MA",Central,True
02020,Anchorage Municipality,Alaska,11260,"Anchorage, AK",Central,True
02170,Matanuska-Susitna Borough,Alaska,11260,"Anchorage, AK",Outlying,True
26161,Washtenaw County,Michigan,11460,"Ann Arbor, MI",Central,True
01015,Calhoun County,Alabama,11500,"Anniston-Oxford, AL",Central,True
55015,Calumet County,Wisconsin,11540,"Appleton, WI",Central,True
55087,Outagamie County,Wisconsin,11540,"Appleton, WI",Central,True
72013,Arecibo Municipio,Puerto Rico,11640,"Arecibo, PR",Central,True
72027,Camuy Municipio,Puerto Rico,11640,"Arecibo, PR",Central,True
72065,Hatillo Municipio,Puerto Rico,11640,"Arecibo, PR",Central,True
72115,Quebradillas Municipio,Puerto Rico,11640,"Arecibo, PR",Central,True
37021,Buncombe County,North Carolina,11700,"Asheville, NC",Central,True
37089,Henderson County,North Carolina,11700,"Asheville, NC",Central,True
37115,Madison County,North Carolina,11700,"Asheville, NC",Outlying,True
13059,Clarke County,Georgia,12020,"Athens-Clarke County, GA",Central,True
13195,Madison County,Georgia,12020,"Athens-Clarke County, GA",Outlying,True
13219,Oconee County,Georgia,12020,"Athens-Clarke County, GA",Central,True
13221,Oglethorpe County,Georgia,12020,"Athens-Clarke County, GA",Outlying,True
13013,Barrow County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13035,Butts County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13045,Carroll County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13063,Clayton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13077,Coweta County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13085,Dawson County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13089,DeKalb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13097,Douglas County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13113,Fayette County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13117,Forsyth County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13121,Fulton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13135,Gwinnett County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13149,Heard County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13151,Henry County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13159,Jasper County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13187,Lumpkin County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13199,Meriwether County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13211,Morgan County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13217,Newton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13227,Pickens County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13231,Pike County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13247,Rockdale County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13255,Spalding County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13297,Walton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13015,Bartow County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13057,Cherokee County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13067,Cobb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
13143,Haralson County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Outlying,True
13223,Paulding County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",Central,True
34001,Atlantic County,New Jersey,12100,"Atlantic City-Hammonton, NJ",Central,True
34009,Cape May County,New Jersey,12100,"Atlantic City-Hammonton, NJ",Central,True
01081,Lee County,Alabama,12220,"Auburn-Opelika, AL",Central,True
01087,Macon County,Alabama,12220,"Auburn-Opelika, AL",Outlying,True
13033,Burke County,Georgia,12260,"Augusta-Richmond County, GA-SC",Outlying,True
13073,Columbia County,Georgia,12260,"Augusta-Richmond County, GA-SC",Central,True
13181,Lincoln County,Georgia,12260,"Augusta-Richmond County, GA-SC",Outlying,True
13189,McDuffie County,Georgia,12260,"Augusta-Richmond County, GA-SC",Outlying,True
13245,Richmond County,Georgia,12260,"Augusta-Richmond County, GA-SC",Central,True
45003,Aiken County,South Carolina,12260,"Augusta-Richmond County, GA-SC",Central,True
45037,Edgefield County,South Carolina,12260,"Augusta-Richmond County, GA-SC",Outlying,True
48021,Bastrop County,Texas,12420,"Austin-Round Rock-San Marcos, TX",Outlying,True
48055,Caldwell County,Texas,12420,"Austin-Round Rock-San Marcos, TX",Outlying,True
48209,Hays County,Texas,12420,"Austin-Round Rock-San Marcos, TX",Central,True
48453,Travis County,Texas,12420,"Austin-Round Rock-San Marcos, TX",Central,True
48491,Williamson County,Texas,12420,"Austin-Round Rock-San Marcos, TX",Central,True
06029,Kern County,California,12540,"Bakersfield-Delano, CA",Central,True
24003,Anne Arundel County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Central,True
24005,Baltimore County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Central,True
24013,Carroll County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
24025,Harford County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
24027,Howard County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Central,True
24035,Queen Anne's County,Maryland,12580,"Baltimore-Columbia-Towson, MD",Outlying,True
