group,metric,value
movers,ownership_rate_pct,66.88083133135929
movers,bedrooms_median,3.0
movers,rooms_median,7.0
movers,house_value_median_2023,623976.8016042595
stayers,ownership_rate_pct,38.43098894369401
stayers,bedrooms_median,2.0
stayers,rooms_median,5.0
movers,bedrooms_share_0,1.5336052293424214
stayers,bedrooms_share_0,2.4576616896914962
movers,bedrooms_share_1,3.807475277948489
stayers,bedrooms_share_1,13.267996424895623
movers,bedrooms_share_2,18.054081233588466
stayers,bedrooms_share_2,37.3075050801521
movers,bedrooms_share_3,34.98240125146656
stayers,bedrooms_share_3,34.16078367407156
movers,bedrooms_share_4,27.954075646684174
stayers,bedrooms_share_4,9.046279541748182
movers,bedrooms_share_5,13.668361360969886
stayers,bedrooms_share_5,3.7597735894410422
