year,group,p25,median,p75,n_unweighted,n_weighted,window
2009,movers,76016.20134277434,156456.1103232432,270919.6715553995,87,9072.0,2009-2011
2009,stayers,37115.99500308972,76854.61532817257,142390.64185346884,31524,3756414.0,2009-2011
2010,movers,76016.20134277434,156456.1103232432,270919.6715553995,87,9072.0,2009-2011
2010,stayers,37115.99500308972,76854.61532817257,142390.64185346884,31524,3756414.0,2009-2011
2011,movers,57199.47472494926,151027.84741761544,230281.72082208956,90,10006.0,2010-2012
2011,stayers,35219.55730220193,72992.36913856634,136940.95094838022,32272,3738134.0,2010-2012
2012,movers,48765.54087997191,152379.12146876892,219043.4641149159,106,11612.0,2011-2013
2012,stayers,34922.940285117,72841.14398794627,136543.51446392134,32806,3759170.0,2011-2013
2013,movers,57199.47472494926,151803.61234047485,280586.96607191133,118,12019.0,2012-2014
2013,stayers,35315.332872590225,73364.48195458233,137337.40561562864,32887,3789443.0,2012-2014
2014,movers,62782.81399571595,152379.12146876892,257419.23492835902,128,12707.0,2013-2015
2014,stayers,36124.52355738196,75591.52972149677,140937.03112327657,33145,3816319.0,2013-2015
2015,movers,83661.25135171668,154268.42800305464,273589.0244867858,119,11711.0,2014-2016
2015,stayers,37840.62753446878,77776.99911820672,144798.31964720195,33170,3805922.0,2014-2016
2016,movers,73341.29406005221,129279.56919060052,230374.1858178949,132,14637.0,2015-2017
2016,stayers,38783.87075718016,80799.73074412532,150784.72829634466,33095,3797637.0,2015-2017
2017,movers,73341.29406005221,134572.79162691088,233828.90719892317,140,16263.0,2016-2018
2017,stayers,41256.786947396926,84940.44371522896,157746.53832828236,32502,3772724.0,2016-2018
2018,movers,77469.53926550025,136738.00587467363,265780.11163394706,175,20238.0,2017-2019
2018,stayers,43507.54732375979,88291.43798135783,164085.60704960834,31835,3744307.0,2017-2019
2019,movers,83428.73459361566,163281.95199036208,296767.92734014714,164,19102.0,2018-2020
2019,stayers,45766.62011992631,92963.4471186003,170972.9788496537,29417,3784301.0,2018-2020
2020,movers,82412.03040056258,170809.43942133812,296767.92734014714,201,23594.0,2019-2021
2020,stayers,45170.70058711477,91758.06620659112,170121.97704116133,28601,3785581.0,2019-2021
2021,movers,80057.40096054651,158440.0922611359,270702.7728895799,193,22794.0,2020-2022
2021,stayers,44149.30200030138,90653.23344061883,166586.321778203,27838,3805435.0,2020-2022
2022,movers,71400.0,137900.0,258631.804258774,196,22605.0,2021-2023
2022,stayers,42687.74495566452,88609.50511126693,163462.8282448617,28707,3757251.0,2021-2023
2023,movers,71400.0,137900.0,258631.804258774,196,22605.0,2021-2023
2023,stayers,42687.74495566452,88609.50511126693,163462.8282448617,28707,3757251.0,2021-2023
