county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
01001,Autauga,Alabama,False,False,True,True,True,True,True,True,1970
01003,Baldwin,Alabama,False,False,True,True,True,True,True,True,1970
01005,Barbour,Alabama,False,False,False,False,False,False,False,False,0
01007,Bibb,Alabama,False,False,False,False,False,False,True,True,2010
01009,Blount,Alabama,False,False,False,True,True,True,True,True,1980
01011,Bullock,Alabama,False,False,False,False,False,False,False,False,0
01013,Butler,Alabama,False,False,False,False,False,False,False,False,0
01015,Calhoun,Alabama,False,False,False,True,True,True,True,True,1980
01017,Chambers,Alabama,False,False,False,False,False,False,False,False,0
01019,Cherokee,Alabama,False,False,False,False,False,False,False,False,0
01021,Chilton,Alabama,False,False,False,False,False,False,True,True,2010
01023,Choctaw,Alabama,False,False,False,False,False,False,False,False,0
01025,Clarke,Alabama,False,False,False,False,False,False,False,False,0
01027,Clay,Alabama,False,False,False,False,False,False,False,False,0
01029,Cleburne,Alabama,False,False,False,False,False,False,False,False,0
01031,Coffee,Alabama,False,False,False,False,False,False,False,False,0
01033,Colbert,Alabama,False,False,True,True,True,True,True,True,1970
01035,Conecuh,Alabama,False,False,False,False,False,False,False,False,0
01037,Coosa,Alabama,False,False,False,False,False,False,False,False,0
01039,Covington,Alabama,False,False,False,False,False,False,False,False,0
01041,Crenshaw,Alabama,False,False,False,False,False,False,False,False,0
01043,Cullman,Alabama,False,False,False,False,False,False,False,False,0
01045,Dale,Alabama,False,False,False,True,True,True,False,False,1980
01047,Dallas,Alabama,False,False,False,False,False,False,False,False,0
01049,DeKalb,Alabama,False,False,False,False,False,False,False,False,0
01051,Elmore,Alabama,False,False,True,True,True,True,True,True,1970
01053,Escambia,Alabama,False,False,False,False,False,False,False,False,0
01055,Etowah,Alabama,True,True,True,True,True,True,True,True,1950
01057,Fayette,Alabama,False,False,False,False,False,False,False,False,0
01059,Franklin,Alabama,False,False,False,False,False,False,False,False,0
01061,Geneva,Alabama,False,False,False,False,False,False,True,True,2010
01063,Greene,Alabama,False,False,False,False,False,False,False,True,2020
01065,Hale,Alabama,False,False,False,False,False,False,True,True,2010
01067,Henry,Alabama,False,False,False,False,False,False,True,True,2010
01069,Houston,Alabama,False,False,False,True,True,True,True,True,1980
01071,Jackson,Alabama,False,False,False,False,False,False,False,False,0
01073,Jefferson,Alabama,True,True,True,True,True,True,True,True,1950
01075,Lamar,Alabama,False,False,False,False,False,False,False,False,0
01077,Lauderdale,Alabama,False,False,True,True,True,True,True,True,1970
01079,Lawrence,Alabama,False,False,False,False,True,True,True,True,1990
01081,Lee,Alabama,False,False,False,False,False,True,True,True,2000
01083,Limestone,Alabama,False,False,True,False,True,True,True,True,1970
01085,Lowndes,Alabama,False,False,False,False,False,False,True,True,2010
01087,Macon,Alabama,False,False,False,False,False,False,False,True,2020
01089,Madison,Alabama,False,True,True,True,True,True,True,True,1960
01091,Marengo,Alabama,False,False,False,False,False,False,False,False,0
01093,Marion,Alabama,False,False,False,False,False,False,False,False,0
01095,Marshall,Alabama,False,False,True,False,False,False,False,False,1970
01097,Mobile,Alabama,True,True,True,True,True,True,True,True,1950
01099,Monroe,Alabama,False,False,False,False,False,False,False,False,0
01101,Montgomery,Alabama,True,True,True,True,True,True,True,True,1950
01103,Morgan,Alabama,False,False,False,False,True,True,True,True,1990
01105,Perry,Alabama,False,False,False,False,False,False,False,False,0
01107,Pickens,Alabama,False,False,False,False,False,False,True,True,2010
01109,Pike,Alabama,False,False,False,False,False,False,False,False,0
01111,Randolph,Alabama,False,False,False,False,False,False,False,False,0
01113,Russell,Alabama,True,True,True,True,True,True,True,True,1950
01115,St Clair,Alabama,False,False,True,True,True,True,True,True,1970
01117,Shelby,Alabama,False,False,True,True,True,True,True,True,1970
01119,Sumter,Alabama,False,False,False,False,False,False,False,False,0
