period_start,pop_start,pop_end,delta_pop,births,aging_out,deaths,natural_change,net_migration
2010,1769783,1778672.0,8889,120697,100826,708,19163,-10274
2011,1778672,1781823.0,3151,119395,98346,711,20338,-17187
2012,1781823,1782363.0,540,119562,95831,713,23018,-22478
2013,1782363,1780531.0,-1832,116777,93474,713,22590,-24422
2014,1780531,1781885.0,1354,117677,92636,712,24329,-22975
2015,1781885,1776355.0,-5530,117050,92102,713,24235,-29765
2016,1776355,1760107.0,-16248,115391,91384,711,23296,-39544
2017,1760107,1738859.0,-21248,111736,90476,704,20556,-41804
2018,1738859,1716763.0,-22096,108943,89341,696,18906,-41002
2019,1716763,1816732.0,99969,105403,88382,687,16334,83635
2020,1816732,1739739.0,-76993,96641,94994,727,920,-77913
2021,1739739,1687145.0,-52594,93621,93538,696,-613,-51981
2022,1687145,1661233.0,-25912,93054,92477,675,-98,-25814
2023,1661233,1659653.0,-1580,91803,91868,664,-729,-851
