county_fips,county_name,state_fips,year,under18,acs5_window
34017,Hudson,34,2009,124720,2005-2009
34019,Hunterdon,34,2009,31675,2005-2009
34023,Middlesex,34,2009,184165,2005-2009
34025,Monmouth,34,2009,158587,2005-2009
34027,Morris,34,2009,118740,2005-2009
34029,Ocean,34,2009,130570,2005-2009
34031,Passaic,34,2009,124970,2005-2009
34035,Somerset,34,2009,81109,2005-2009
34037,Sussex,34,2009,37740,2005-2009
34039,Union,34,2009,129940,2005-2009
34003,Bergen,34,2009,201049,2005-2009
34013,Essex,34,2009,196458,2005-2009
36005,Bronx,36,2009,392365,2005-2009
36047,Kings (Brooklyn),36,2009,638344,2005-2009
36059,Nassau,36,2009,322090,2005-2009
36061,New York (Manhattan),36,2009,260675,2005-2009
36079,Putnam,36,2009,24502,2005-2009
36081,Queens,36,2009,493313,2005-2009
36085,Richmond (Staten Island),36,2009,114338,2005-2009
36087,Rockland,36,2009,83088,2005-2009
36103,Suffolk,36,2009,376350,2005-2009
36119,Westchester,36,2009,232689,2005-2009
34003,Bergen,34,2010,204860,2006-2010
34013,Essex,34,2010,196859,2006-2010
34017,Hudson,34,2010,130718,2006-2010
34019,Hunterdon,34,2010,31344,2006-2010
34023,Middlesex,34,2010,184918,2006-2010
34025,Monmouth,34,2010,154224,2006-2010
34027,Morris,34,2010,119370,2006-2010
34029,Ocean,34,2010,133149,2006-2010
34031,Passaic,34,2010,124591,2006-2010
34035,Somerset,34,2010,80945,2006-2010
34037,Sussex,34,2010,37456,2006-2010
34039,Union,34,2010,130779,2006-2010
36005,Bronx,36,2010,372502,2006-2010
36047,Kings (Brooklyn),36,2010,596320,2006-2010
36059,Nassau,36,2010,314686,2006-2010
36061,New York (Manhattan),36,2010,241956,2006-2010
36079,Putnam,36,2010,24475,2006-2010
36081,Queens,36,2010,460988,2006-2010
36085,Richmond (Staten Island),36,2010,109718,2006-2010
36087,Rockland,36,2010,85953,2006-2010
36103,Suffolk,36,2010,364079,2006-2010
36119,Westchester,36,2010,229040,2006-2010
34035,Somerset,34,2011,80616,2007-2011
34029,Ocean,34,2011,133864,2007-2011
34023,Middlesex,34,2011,184919,2007-2011
34039,Union,34,2011,130684,2007-2011
34017,Hudson,34,2011,130746,2007-2011
34019,Hunterdon,34,2011,30668,2007-2011
34027,Morris,34,2011,118165,2007-2011
34025,Monmouth,34,2011,151828,2007-2011
34037,Sussex,34,2011,36516,2007-2011
34013,Essex,34,2011,195399,2007-2011
34031,Passaic,34,2011,124244,2007-2011
34003,Bergen,34,2011,203999,2007-2011
36005,Bronx,36,2011,370593,2007-2011
36079,Putnam,36,2011,24000,2007-2011
36047,Kings (Brooklyn),36,2011,595321,2007-2011
36081,Queens,36,2011,460943,2007-2011
36061,New York (Manhattan),36,2011,239406,2007-2011
36087,Rockland,36,2011,86620,2007-2011
36059,Nassau,36,2011,311945,2007-2011
36103,Suffolk,36,2011,359874,2007-2011
36119,Westchester,36,2011,227990,2007-2011
36085,Richmond (Staten Island),36,2011,109060,2007-2011
34035,Somerset,34,2012,80073,2008-2012
34029,Ocean,34,2012,134436,2008-2012
34023,Middlesex,34,2012,184774,2008-2012
34039,Union,34,2012,130733,2008-2012
34017,Hudson,34,2012,131268,2008-2012
34019,Hunterdon,34,2012,29881,2008-2012
34027,Morris,34,2012,116905,2008-2012
34025,Monmouth,34,2012,149321,2008-2012
34037,Sussex,34,2012,35321,2008-2012
34013,Essex,34,2012,194431,2008-2012
34031,Passaic,34,2012,123852,2008-2012
34003,Bergen,34,2012,203207,2008-2012
36005,Bronx,36,2012,369168,2008-2012
36079,Putnam,36,2012,23420,2008-2012
36047,Kings (Brooklyn),36,2012,596667,2008-2012
36119,Westchester,36,2012,227113,2008-2012
36085,Richmond (Staten Island),36,2012,108445,2008-2012
36081,Queens,36,2012,462335,2008-2012
36061,New York (Manhattan),36,2012,238294,2008-2012
36087,Rockland,36,2012,87174,2008-2012
36059,Nassau,36,2012,309309,2008-2012
