county_fips,interval_start,u18_start,u18_end,delta_u18,births,aging_out,deaths_u18,natural_change,net_mig_u18,net_mig_u18_dom,net_mig_u18_intl,pep_intl_total,pep_dom_total
34003,2010,204462,204405.0,-57,9142,12544,82,-3484,3427,2668,759,3794.0,-407.0
34003,2011,204405,203870.0,-535,9156,12598,82,-3524,2989,2389,600,3001.0,-698.0
34003,2012,203870,202953.0,-917,9249,12587,82,-3420,2503,1937,566,2830.0,-862.0
34003,2013,202953,202708.0,-245,9429,12564,81,-3216,2971,2365,606,3029.0,-1804.0
34003,2014,202708,202435.0,-273,9499,12593,81,-3175,2902,2074,828,4141.0,-3407.0
34003,2015,202435,202096.0,-339,9464,12594,81,-3211,2872,2113,759,3793.0,-4569.0
34003,2016,202096,202542.0,446,9339,12476,81,-3218,3664,2763,901,4503.0,-2389.0
34003,2017,202542,201608.0,-934,9152,12501,81,-3430,2496,2078,418,2092.0,-3666.0
34003,2018,201608,200931.0,-677,9006,12500,81,-3575,2898,2445,453,2264.0,-4450.0
34003,2019,200931,199866.0,-1065,8653,12471,80,-3898,2833,2808,25,127.0,-893.0
34003,2020,199866,197665.0,-2201,9127,12448,80,-3401,1200,928,272,1358.0,-1485.0
34003,2021,197665,196720.0,-945,9317,12390,79,-3152,2207,754,1453,7264.0,-7267.0
34003,2022,196720,197573.0,853,8897,12362,79,-3544,4397,2379,2018,10092.0,-2879.0
34003,2023,197573,198531.0,958,9019,12311,79,-3371,4329,1870,2459,12297.0,-2142.0
34013,2010,194740,194803.0,63,10561,11065,78,-582,645,-163,808,4041.0,-7039.0
34013,2011,194803,194118.0,-685,10516,11038,78,-600,-85,-761,676,3382.0,-8690.0
34013,2012,194118,194726.0,608,10260,10973,78,-791,1399,680,719,3596.0,-6737.0
34013,2013,194726,195442.0,716,10266,10947,78,-759,1475,784,691,3454.0,-5971.0
34013,2014,195442,195960.0,518,10325,11038,78,-791,1309,330,979,4894.0,-7624.0
34013,2015,195960,197091.0,1131,10442,11095,78,-731,1862,866,996,4980.0,-7164.0
34013,2016,197091,199088.0,1997,10298,11140,79,-921,2918,1691,1227,6133.0,-6191.0
34013,2017,199088,200727.0,1639,10425,11318,80,-973,2612,1781,831,4156.0,-5362.0
34013,2018,200727,202009.0,1282,9917,11400,80,-1563,2845,2089,756,3781.0,-6116.0
34013,2019,202009,201414.0,-595,9652,11523,81,-1952,1357,1323,34,169.0,-1837.0
34013,2020,201414,197723.0,-3691,9723,11092,81,-1450,-2241,-2685,444,2218.0,-10446.0
34013,2021,197723,196874.0,-849,10147,11128,79,-1060,211,-1965,2176,10880.0,-14212.0
34013,2022,196874,198589.0,1715,9805,11284,79,-1558,3273,-58,3331,16654.0,-11167.0
34013,2023,198589,201347.0,2758,9982,11481,79,-1578,4336,332,4004,20019.0,-6707.0
34017,2010,131577,134290.0,2713,10355,7156,53,3146,-433,-1842,1409,7046.0,-3498.0
34017,2011,134290,135969.0,1679,10315,7030,54,3231,-1552,-2720,1168,5838.0,-5697.0
34017,2012,135969,137493.0,1524,10206,6897,54,3255,-1731,-2939,1208,6042.0,-7824.0
34017,2013,137493,139263.0,1770,10166,6870,55,3241,-1471,-2799,1328,6641.0,-10092.0
34017,2014,139263,140435.0,1172,10437,6941,56,3440,-2268,-4072,1804,9022.0,-11343.0
34017,2015,140435,141585.0,1150,10383,7004,56,3323,-2173,-3851,1678,8388.0,-11111.0
34017,2016,141585,142320.0,735,10165,7025,57,3083,-2348,-4305,1957,9783.0,-12053.0
34017,2017,142320,142363.0,43,10234,7045,57,3132,-3089,-4240,1151,5755.0,-12700.0
34017,2018,142363,142448.0,85,9975,7021,57,2897,-2812,-3984,1172,5861.0,-10387.0
34017,2019,142448,141327.0,-1121,9544,7000,57,2487,-3608,-3645,37,186.0,-3033.0
34017,2020,141327,136514.0,-4813,9118,6713,57,2348,-7161,-7757,596,2980.0,-24640.0
34017,2021,136514,134870.0,-1644,9042,6731,55,2256,-3900,-6628,2728,13641.0,-13139.0
34017,2022,134870,134847.0,-23,8655,6869,54,1732,-1755,-5616,3861,19307.0,-11392.0
34017,2023,134847,135637.0,790,9048,7002,54,1992,-1202,-5873,4671,23357.0,-12735.0
34019,2010,29998,29301.0,-697,953,2008,12,-1067,370,341,29,146.0,-272.0
34019,2011,29301,28476.0,-825,888,2006,12,-1130,305,287,18,88.0,-908.0
34019,2012,28476,27611.0,-865,874,2002,11,-1139,274,253,21,107.0,-290.0
34019,2013,27611,27022.0,-589,920,1986,11,-1077,488,476,12,61.0,-638.0
34019,2014,27022,26526.0,-496,922,2005,11,-1094,598,567,31,153.0,-479.0
