county_fips,county_name,year,under18,source,scale_factor
34003,Bergen,1980,199135,1980s_pe02_u15interp,1.30449
34003,Bergen,1981,193528,1980s_pe02_u15interp,1.2946
34003,Bergen,1982,187823,1980s_pe02_u15interp,1.28471
34003,Bergen,1983,183859,1980s_pe02_u15interp,1.27482
34003,Bergen,1984,180160,1980s_pe02_u15interp,1.26493
34003,Bergen,1985,176051,1980s_pe02_u15interp,1.25504
34003,Bergen,1986,172545,1980s_pe02_u15interp,1.24515
34003,Bergen,1987,170546,1980s_pe02_u15interp,1.23526
34003,Bergen,1988,169724,1980s_pe02_u15interp,1.22537
34003,Bergen,1989,169656,1980s_pe02_u15interp,1.21548
34003,Bergen,1990,168368,1990s_cany_interp,0.99629
34003,Bergen,1991,171888,1990s_cany_interp,1.00638
34003,Bergen,1992,176806,1990s_cany_interp,1.01647
34003,Bergen,1993,181482,1990s_cany_interp,1.02656
34003,Bergen,1994,186055,1990s_cany_interp,1.03665
34003,Bergen,1995,189926,1990s_cany_interp,1.04673
34003,Bergen,1996,192980,1990s_cany_interp,1.05682
34003,Bergen,1997,195249,1990s_cany_interp,1.06691
34003,Bergen,1998,197471,1990s_cany_interp,1.077
34003,Bergen,1999,199585,1990s_cany_interp,1.08709
34003,Bergen,2000,202892,intercensal_2000-2010_u15interp,1.26586
34003,Bergen,2001,205634,intercensal_2000-2010_u15interp,1.26936
34003,Bergen,2002,206669,intercensal_2000-2010_u15interp,1.27285
34003,Bergen,2003,207502,intercensal_2000-2010_u15interp,1.27635
34003,Bergen,2004,207952,intercensal_2000-2010_u15interp,1.27985
34003,Bergen,2005,207060,intercensal_2000-2010_u15interp,1.28334
34003,Bergen,2006,205449,intercensal_2000-2010_u15interp,1.28684
34003,Bergen,2007,203737,intercensal_2000-2010_u15interp,1.29033
34003,Bergen,2008,203411,intercensal_2000-2010_u15interp,1.29383
34003,Bergen,2009,203687,intercensal_2000-2010_u15interp,1.29733
34003,Bergen,2010,204462,intercensal_2010-2020,1.0
34003,Bergen,2011,204405,intercensal_2010-2020,1.0
34003,Bergen,2012,203870,intercensal_2010-2020,1.0
34003,Bergen,2013,202953,intercensal_2010-2020,1.0
34003,Bergen,2014,202708,intercensal_2010-2020,1.0
34003,Bergen,2015,202435,intercensal_2010-2020,1.0
34003,Bergen,2016,202096,intercensal_2010-2020,1.0
34003,Bergen,2017,202542,intercensal_2010-2020,1.0
34003,Bergen,2018,201608,intercensal_2010-2020,1.0
34003,Bergen,2019,200931,intercensal_2010-2020,1.0
34003,Bergen,2020,199866,v2024_scaled,0.98432
34003,Bergen,2021,197665,v2024_scaled,0.98432
34003,Bergen,2022,196720,v2024_scaled,0.98432
34003,Bergen,2023,197573,v2024_scaled,0.98432
34003,Bergen,2024,198531,v2024_scaled,0.98432
34013,Essex,1980,240472,1980s_pe02_u15interp,1.26304
34013,Essex,1981,230863,1980s_pe02_u15interp,1.25707
34013,Essex,1982,222219,1980s_pe02_u15interp,1.2511
34013,Essex,1983,216067,1980s_pe02_u15interp,1.24512
34013,Essex,1984,210392,1980s_pe02_u15interp,1.23915
34013,Essex,1985,205945,1980s_pe02_u15interp,1.23318
34013,Essex,1986,200926,1980s_pe02_u15interp,1.2272
34013,Essex,1987,197926,1980s_pe02_u15interp,1.22123
34013,Essex,1988,195127,1980s_pe02_u15interp,1.21526
34013,Essex,1989,193472,1980s_pe02_u15interp,1.20928
34013,Essex,1990,188637,1990s_cany_interp,0.99228
34013,Essex,1991,191097,1990s_cany_interp,1.00155
34013,Essex,1992,195186,1990s_cany_interp,1.01081
34013,Essex,1993,198833,1990s_cany_interp,1.02008
34013,Essex,1994,201493,1990s_cany_interp,1.02935
34013,Essex,1995,202849,1990s_cany_interp,1.03862
34013,Essex,1996,203267,1990s_cany_interp,1.04789
34013,Essex,1997,203300,1990s_cany_interp,1.05716
