year,borough,fips,under_18,age_8_17
1970,Bronx,36005,133797,0
1970,Brooklyn,36047,225628,0
1970,Manhattan,36061,90880,0
1970,Queens,36081,138459,0
1970,Staten Island,36085,27067,0
1980,Bronx,36005,341710,219453
1980,Brooklyn,36047,631515,392587
1980,Manhattan,36061,253244,159932
1980,Queens,36081,436474,283206
1980,Staten Island,36085,102524,68093
1990,Bronx,36005,174548,89776
1990,Brooklyn,36047,153613,82549
1990,Manhattan,36061,106563,57804
1990,Queens,36081,100037,52901
1990,Staten Island,36085,9965,5065
2000,Bronx,36005,397372,215779
2000,Brooklyn,36047,662499,366093
2000,Manhattan,36061,257916,137853
2000,Queens,36081,509224,279300
2000,Staten Island,36085,113258,63694
2010,Bronx,36005,368196,205853
2010,Brooklyn,36047,594378,321545
2010,Manhattan,36061,234435,121062
2010,Queens,36081,461901,255177
2010,Staten Island,36085,109201,62853
2020,Bronx,36005,349579,202930
2020,Brooklyn,36047,595703,326853
2020,Manhattan,36061,232511,125838
2020,Queens,36081,455995,259085
2020,Staten Island,36085,106354,62387
