year,Bronx,Brooklyn,Manhattan,Queens,Staten_Island,NYC_residents_sum_of_boroughs,NYC_total_reported,is_5yr_average,source_year_pdf,extraction_method
1940,,,,,,,102418,Y,2023sum.pdf (Table PC1),PC1
1941,,,,,,,126495,Y,2023sum.pdf (Table PC1),PC1
1942,,,,,,,126495,Y,2023sum.pdf (Table PC1),PC1
1943,,,,,,,126495,Y,2023sum.pdf (Table PC1),PC1
1944,,,,,,,126495,Y,2023sum.pdf (Table PC1),PC1
1945,,,,,,,126495,Y,2023sum.pdf (Table PC1),PC1
1946,,,,,,,158926,Y,2023sum.pdf (Table PC1),PC1
1947,,,,,,,158926,Y,2023sum.pdf (Table PC1),PC1
1948,,,,,,,158926,Y,2023sum.pdf (Table PC1),PC1
1949,,,,,,,158926,Y,2023sum.pdf (Table PC1),PC1
1950,,,,,,,158926,Y,2023sum.pdf (Table PC1),PC1
1951,,,,,,,163526,Y,2023sum.pdf (Table PC1),PC1
1952,,,,,,,163526,Y,2023sum.pdf (Table PC1),PC1
1953,,,,,,,163526,Y,2023sum.pdf (Table PC1),PC1
1954,,,,,,,163526,Y,2023sum.pdf (Table PC1),PC1
1955,,,,,,,163526,Y,2023sum.pdf (Table PC1),PC1
1956,,,,,,,166949,Y,2023sum.pdf (Table PC1),PC1
1957,,,,,,,166949,Y,2023sum.pdf (Table PC1),PC1
1958,,,,,,,166949,Y,2023sum.pdf (Table PC1),PC1
1959,,,,,,,166949,Y,2023sum.pdf (Table PC1),PC1
1960,,,,,,,166949,Y,2023sum.pdf (Table PC1),PC1
1961,,,,,,,165197,Y,2023sum.pdf (Table PC1),PC1
1962,,,,,,,165197,Y,2023sum.pdf (Table PC1),PC1
1963,,,,,,,165197,Y,2023sum.pdf (Table PC1),PC1
1964,,,,,,,165197,Y,2023sum.pdf (Table PC1),PC1
1965,,,,,,,165197,Y,2023sum.pdf (Table PC1),PC1
1966,,,,,,,147294,Y,2023sum.pdf (Table PC1),PC1
1967,,,,,,,147294,Y,2023sum.pdf (Table PC1),PC1
1968,,,,,,,147294,Y,2023sum.pdf (Table PC1),PC1
1969,,,,,,,147294,Y,2023sum.pdf (Table PC1),PC1
1970,,,,,,,147294,Y,2023sum.pdf (Table PC1),PC1
1971,,,,,,,115941,Y,2023sum.pdf (Table PC1),PC1
1972,,,,,,,115941,Y,2023sum.pdf (Table PC1),PC1
1973,,,,,,,115941,Y,2023sum.pdf (Table PC1),PC1
1974,,,,,,,115941,Y,2023sum.pdf (Table PC1),PC1
1975,,,,,,,115941,Y,2023sum.pdf (Table PC1),PC1
1976,,,,,,,108058,Y,2023sum.pdf (Table PC1),PC1
1977,,,,,,,108058,Y,2023sum.pdf (Table PC1),PC1
1978,,,,,,,108058,Y,2023sum.pdf (Table PC1),PC1
1979,,,,,,,108058,Y,2023sum.pdf (Table PC1),PC1
1980,,,,,,,108058,Y,2023sum.pdf (Table PC1),PC1
1981,,,,,,,108547,,2023sum.pdf (Table PC1),PC1
1982,,,,,,,111487,,2023sum.pdf (Table PC1),PC1
1983,,,,,,,112353,,2023sum.pdf (Table PC1),PC1
1984,,,,,,,113332,,2023sum.pdf (Table PC1),PC1
1985,,,,,,,118542,,2023sum.pdf (Table PC1),PC1
1986,,,,,,,122108,,2023sum.pdf (Table PC1),PC1
1987,,,,,,,127386,,2023sum.pdf (Table PC1),PC1
1988,,,,,,,132226,,2023sum.pdf (Table PC1),PC1
1989,,,,,,,137673,,2023sum.pdf (Table PC1),PC1
1990,,,,,,,139630,,2023sum.pdf (Table PC1),PC1
1991,,,,,,,138148,,2023sum.pdf (Table PC1),PC1
1992,,,,,,,136002,,2023sum.pdf (Table PC1),PC1
1993,,,,,,,133583,,2023sum.pdf (Table PC1),PC1
1994,,,,,,,133662,,2023sum.pdf (Table PC1),PC1
1995,23351,41695,20320,29971,5971,121308,131009,,1995sum.pdf,Table18
1996,22244,40507,19745,29177,5823,117496,126901,,1996sum.pdf,Table18
1997,21352,39370,19087,28310,5659,113778,123313,,1997sum.pdf,Table18
1998,21575,39571,19162,28501,5702,114511,124252,,1998sum.pdf,Table18
1999,21299,39258,19504,28200,5811,114072,123739,,1999sum.pdf,Table18
2000,21547,39523,19914,28517,5899,115400,125563,,2000sum.pdf,Table18
2001,21706,39697,19759,27336,5596,114094,124023,,2001sum.pdf,Table18
2002,21168,39031,19583,27272,5812,112866,122937,,2002sum.pdf,Table18
2003,21189,39182,20403,27344,5909,114027,124345,,2003sum.pdf,PO2
2004,20854,39411,20357,27303,5821,113746,124099,,2004sum.pdf,PO2
2005,20766,39026,20017,27050,5575,112434,122725,,2005sum.pdf,PO2
2006,21274,40096,20236,27488,5806,114900,125506,,2006sum.pdf,PO2
2007,21624,41578,20513,28461,5845,118021,128961,,2007sum.pdf,PO2
2008,21807,41286,20160,27943,5730,116926,127680,,2008sum.pdf,PO2
2009,21857,41803,20011,27374,5707,116752,126774,,2009sum.pdf,PO2
2010,21258,41469,19646,26955,5580,114908,124791,,2010sum.pdf,PO2
2011,20465,41303,19323,26876,5519,113486,123029,,2011sum.pdf,PO2
2012,20044,42087,19086,26986,5260,113463,123231,,2012sum.pdf,PO2
2013,19936,40633,18201,26536,5269,110575,120457,,2013sum.pdf,PO2
2014,20032,41190,18143,26937,5255,111557,122084,,2014sum.pdf,PO2
2015,19887,40982,17766,26848,5261,110744,121673,,2015sum.pdf,PO2
2016,19474,40125,17199,26794,5357,108949,120367,,2016sum.pdf,PO2
2017,18996,38535,17082,25459,5340,105412,117013,,2017sum.pdf,PO2
2018,18511,37933,16595,24325,5067,102431,114296,,2018sum.pdf,PO2
2019,17653,36516,16218,23363,5174,98924,110442,,2019sum.pdf,PO2
2020,16272,33393,13894,20672,4850,89081,100022,,2020sum.pdf,PO2
2021,15634,32683,13599,19867,4963,86746,99262,,2021sum.pdf,PO2
2022,15606,32804,13089,20363,4886,86748,99459,,2022sum.pdf,PO2
2023,14983,32270,13227,20419,4786,85685,98389,,2023sum.pdf,PO2
2024,,,,,,,,,(not yet published),
