fips_5,under5,age_5_13,age_14_17,pop_under18,aged_out_5_17,year
04013,276662,506144,220551,1003357,726695,2011
04021,27878,49782,19522,97182,69304,2011
06037,646167,1151970,570237,2368374,1722207,2011
06059,191868,364528,176344,732740,540872,2011
10003,33229,61675,28856,123760,90531,2011
11001,36204,46482,21209,103895,67691,2011
12011,105082,195369,94659,395110,290028,2011
12086,152125,268351,127374,547850,395725,2011
12099,70611,134592,64084,269287,198676,2011
13013,5558,10053,3943,19554,13996,2011
13015,6823,13547,5953,26323,19500,2011
13035,1400,2669,1149,5218,3818,2011
13045,7642,13999,6202,27843,20201,2011
13057,15145,31352,12687,59184,44039,2011
13063,21674,37550,15834,75058,53384,2011
13067,47795,88997,39367,176159,128364,2011
13077,8987,17836,7964,34787,25800,2011
13085,1201,2589,1178,4968,3767,2011
13089,51345,80585,34042,165972,114627,2011
13097,9445,18932,8645,37022,27577,2011
13113,4708,14348,8223,27279,22571,2011
13117,13109,30228,11395,54732,41623,2011
13121,63775,112565,47740,224080,160305,2011
13135,61740,121389,53438,236567,174827,2011
13143,1813,3669,1626,7108,5295,2011
13149,733,1492,722,2947,2214,2011
13151,13287,30782,14912,58981,45694,2011
13159,910,1775,760,3445,2535,2011
13187,1652,3038,1423,6113,4461,2011
13199,1321,2524,1142,4987,3666,2011
13211,1033,2247,1075,4355,3322,2011
13217,7244,14562,6597,28403,21159,2011
13223,10677,22155,9615,42447,31770,2011
13227,1659,3337,1447,6443,4784,2011
13231,960,2555,1173,4688,3728,2011
13247,5618,11332,5513,22463,16845,2011
13255,4571,8114,3306,15991,11420,2011
13297,5674,11639,5181,22494,16820,2011
17031,344498,597463,279187,1221148,876650,2011
17037,6429,11743,5089,23261,16832,2011
17043,56298,113776,55429,225503,169205,2011
17063,3511,6850,3070,13431,9920,2011
17089,38459,76158,33155,147772,109313,2011
17093,9718,18938,7526,36182,26464,2011
17097,45438,96852,46131,188421,142983,2011
17111,18767,42642,20561,81970,63203,2011
17197,46455,100368,45860,192683,146228,2011
18073,2076,4331,2012,8419,6343,2011
18089,32566,63303,29392,125261,92695,2011
18111,759,1624,781,3164,2405,2011
18127,9504,20401,9493,39398,29894,2011
24015,6280,12670,6014,24964,18684,2011
24017,9406,19345,9961,38712,29306,2011
24021,14755,30023,14111,58889,44134,2011
24031,65253,117337,53825,236415,171162,2011
24033,59223,98534,46519,204276,145053,2011
34003,50099,103538,50155,203792,153693,2011
34005,25347,52128,25079,102554,77207,2011
34007,32967,61201,28618,122786,89819,2011
34013,53693,96044,43496,193233,139540,2011
34015,17095,35445,16860,69400,52305,2011
34017,44944,60840,27767,133551,88607,2011
34019,5665,15519,7957,29141,23476,2011
34023,49942,91814,43066,184822,134880,2011
34025,33681,75816,37293,146790,113109,2011
34027,26732,60325,28743,115800,89068,2011
34029,39091,67422,29362,135875,96784,2011
34031,34638,61239,28307,124184,89546,2011
34033,3833,7599,3747,15179,11346,2011
34035,18938,41244,19806,79988,61050,2011
34037,7464,17652,9215,34331,26867,2011
34039,35792,65421,29643,130856,95064,2011
36005,105732,177207,84297,367236,261504,2011
36047,185126,285811,129976,600913,415787,2011
36059,73994,155007,79093,308094,234100,2011
36061,80340,107928,48296,236564,156224,2011
36079,4982,11840,6198,23020,18038,2011
36081,137966,222584,105089,465639,327673,2011
36085,28447,54146,25727,108320,79873,2011
36087,23831,44097,20053,87981,64150,2011
36103,84694,179149,87986,351829,267135,2011
36119,56918,114679,54797,226394,169476,2011
37007,1452,2908,1340,5700,4248,2011
37025,12646,25309,11054,49009,36363,2011
37071,13134,24627,11180,48941,35807,2011
37097,9626,20959,9575,40160,30534,2011
37109,4427,9302,4366,18095,13668,2011
37119,69247,119726,48714,237687,168440,2011
37159,8513,16320,7353,32186,23673,2011
37179,13917,33039,14053,61009,47092,2011
42017,32924,71710,35972,140606,107682,2011
42029,30508,63197,29123,122828,92320,2011
42045,33814,63470,31432,128716,94902,2011
42091,46997,91630,43774,182401,135404,2011
42101,104759,163872,76118,344749,239990,2011
45023,2098,3820,1757,7675,5577,2011
45057,4993,8873,3842,17708,12715,2011
45091,15459,29595,13077,58131,42672,2011
48015,1831,3584,1670,7085,5254,2011
48021,4892,10130,4460,19482,14590,2011
48039,24687,44310,18846,87843,63156,2011
48055,2508,4890,2474,9872,7364,2011
48071,2483,5167,2378,10028,7545,2011
48085,58355,121537,50130,230022,171667,2011
48113,193553,328389,138244,660186,466633,2011
48121,49429,96876,39707,186012,136583,2011
48139,10727,22164,10418,43309,32582,2011
48157,43737,91537,41061,176335,132598,2011
48167,20028,37655,16603,74286,54258,2011
48201,338529,576971,244380,1159880,821351,2011
48209,10765,20437,8773,39975,29210,2011
48231,5599,10910,4869,21378,15779,2011
48251,10450,21087,9376,40913,30463,2011
48257,7627,15520,6801,29948,22321,2011
48291,5300,9433,4509,19242,13942,2011
48339,33785,66090,29107,128982,95197,2011
48367,7119,15173,7309,29601,22482,2011
48397,5603,12495,5545,23643,18040,2011
48407,1576,3239,1511,6326,4750,2011
48439,142371,260644,110095,513110,370739,2011
48453,77034,125699,48803,251536,174502,2011
48473,3145,5259,2360,10764,7619,2011
48491,33468,65217,26359,125044,91576,2011
48497,4045,7838,3633,15516,11471,2011
51013,12587,16107,5945,34639,22052,2011
51043,730,1585,846,3161,2431,2011
51047,3278,6191,2618,12087,8809,2011
51059,74908,132722,59391,267021,192113,2011
51061,3827,8549,4034,16410,12583,2011
51107,27708,51843,19611,99162,71454,2011
51153,33887,60679,25113,119679,85792,2011
51157,353,746,368,1467,1114,2011
51177,8181,17258,8159,33598,25417,2011
51179,8876,18810,9678,37364,28488,2011
51187,2290,4546,2081,8917,6627,2011
51510,10536,10627,3868,25031,14495,2011
51600,1214,2248,1036,4498,3284,2011
51610,804,1564,779,3147,2343,2011
51630,1801,2542,919,5262,3461,2011
51683,3177,5356,2299,10832,7655,2011
51685,1346,2085,824,4255,2909,2011
54037,3291,6720,2793,12804,9513,2011
