fips_5,age_0_4,age_5_17,pop_under18
01001,3551,10832,14383
01003,11249,31409,42658
01005,1660,4262,5922
01007,1286,3693,4979
01009,3640,10421,14061
01011,741,1637,2378
01013,1363,3629,4992
01015,7094,19660,26754
01017,1948,5547,7495
01019,1346,4169,5515
01021,2959,7888,10847
01023,681,2305,2986
01025,1419,4736,6155
01027,782,2287,3069
01029,915,2574,3489
01031,3387,8869,12256
01033,3099,8884,11983
01035,755,2185,2940
01037,544,1716,2260
01039,2231,6313,8544
01041,848,2418,3266
01043,4939,13505,18444
01045,3535,8734,12269
01047,3089,8170,11259
01049,4947,13303,18250
01051,4759,13841,18600
01053,2356,6266,8622
01055,6139,17631,23770
01057,976,2751,3727
01059,2223,5607,7830
01061,1570,4373,5943
01063,535,1574,2109
01065,925,2765,3690
01067,974,2935,3909
01069,6645,18254,24899
01071,2949,8870,11819
01073,43935,109780,153715
01075,780,2378,3158
01077,5156,14594,19750
01079,1998,5717,7715
01081,8742,23268,32010
01083,5408,14774,20182
01085,723,1930,2653
01087,1096,3066,4162
01089,20925,58402,79327
01091,1239,3717,4956
01093,1661,4928,6589
01095,6423,16986,23409
01097,27956,74174,102130
01099,1339,4300,5639
01101,15659,39559,55218
01103,7587,20995,28582
01105,663,1838,2501
01107,1144,3285,4429
01109,1890,4733,6623
01111,1279,4059,5338
01113,4182,9606,13788
01115,5520,14321,19841
01117,12932,37015,49947
01119,712,2155,2867
01121,4717,14006,18723
01123,2452,6689,9141
01125,11818,30088,41906
01127,3878,11066,14944
01129,972,3288,4260
01131,658,2345,3003
01133,1326,3923,5249
02013,110,270,380
02016,212,552,764
02020,22395,53382,75777
02050,1898,4404,6302
02060,53,184,237
02068,107,301,408
02070,486,1126,1612
02090,8160,17027,25187
02100,124,397,521
02105,122,287,409
02110,2035,5433,7468
02122,3583,9596,13179
02130,896,2301,3197
02150,1152,2746,3898
02158,984,2165,3149
02164,146,323,469
02170,6904,19236,26140
02180,1090,2282,3372
02185,763,1560,2323
02188,935,1776,2711
02195,210,543,753
02198,463,1138,1601
02220,639,1426,2065
02230,52,85,137
02240,543,1347,1890
02261,671,1728,2399
02275,124,391,515
02282,40,111,151
02290,464,1102,1566
04001,5787,16362,22149
04003,8651,21594,30245
04005,8856,22289,31145
04007,3145,8147,11292
04009,3029,7343,10372
04011,657,1852,2509
04012,1002,2650,3652
04013,276662,726695,1003357
04015,10710,29987,40697
04017,8598,22757,31355
04019,61902,161393,223295
04021,27878,69304,97182
04023,3653,10646,14299
04025,9864,29418,39282
04027,15228,39893,55121
05001,1183,3224,4407
05003,1403,3842,5245
05005,1910,5558,7468
05007,17942,45457,63399
05009,2186,6311,8497
05011,774,1880,2654
05013,252,744,996
05015,1578,4555,6133
05017,834,1873,2707
05019,1240,3211,4451
05021,888,2644,3532
05023,1370,3834,5204
05025,547,1580,2127
05027,1474,4026,5500
05029,1350,3646,4996
05031,7071,17401,24472
05033,4011,12044,16055
05035,3944,10368,14312
05037,1129,3259,4388
05039,491,1397,1888
05041,917,2362,3279
05043,1156,3119,4275
05045,8045,20205,28250
05047,1130,3184,4314
05049,641,1892,2533
05051,5479,14713,20192
05053,1079,3247,4326
05055,2861,7904,10765
05057,1726,4150,5876
05059,1976,5595,7571
05061,1027,2609,3636
05063,2440,6413,8853
05065,620,1925,2545
05067,975,2730,3705
05069,4778,13083,17861
05071,1778,4587,6365
05073,415,1252,1667
05075,967,2933,3900
05077,567,1509,2076
05079,678,1972,2650
05081,756,2294,3050
05083,1323,4028,5351
05085,4828,14133,18961
05087,927,2822,3749
05089,765,2177,2942
05091,3130,7474,10604
05093,3412,9352,12764
05095,497,1285,1782
05097,479,1425,1904
05099,615,1506,2121
05101,413,1291,1704
05103,1706,4281,5987
05105,616,1732,2348
05107,1629,4261,5890
05109,696,2053,2749
05111,1575,4319,5894
05113,1200,3607,4807
05115,4103,10240,14343
05117,448,1364,1812
05119,26970,65623,92593
05121,1107,3048,4155
05123,1847,4717,6564
05125,7004,19551,26555
05127,732,2126,2858
05129,393,1232,1625
05131,8962,23012,31974
05133,1513,3566,5079
05135,918,2784,3702
05137,641,1976,2617
05139,2734,7132,9866
05141,870,2623,3493
05143,15580,37233,52813
05145,5090,13534,18624
05147,424,1179,1603
05149,1542,4138,5680
06001,97776,242809,340585
06003,49,159,208
06005,1376,4695,6071
06007,12284,33519,45803
06009,1897,6656,8553
06011,1765,4525,6290
06013,66368,193772,260140
06015,1696,4370,6066
06017,8916,31107,40023
06019,79738,197624,277362
06021,2165,5628,7793
06023,7640,19085,26725
06025,14029,36897,50926
06027,1042,2813,3855
06029,72981,180789,253770
06031,12709,29472,42181
06033,3604,9657,13261
06035,1546,4407,5953
06037,646167,1722207,2368374
06039,11943,30892,42835
06041,13663,39077,52740
06043,777,2412,3189
06045,5279,14051,19330
06047,21939,58370,80309
06049,492,1534,2026
06051,847,2132,2979
06053,33416,78698,112114
06055,8048,23349,31397
06057,4294,14276,18570
06059,191868,540872,732740
06061,20855,64925,85780
06063,918,2611,3529
06065,161637,457171,618808
06067,100551,260789,361340
06069,4050,11863,15913
06071,158429,431860,590289
06073,207507,518834,726341
06075,36582,72874,109456
06077,53816,146418,200234
06079,13452,37239,50691
06081,46321,114502,160823
06083,27832,69882,97714
06085,124124,308679,432803
06087,15258,39934,55192
06089,10296,28958,39254
06091,127,389,516
06093,2385,6742,9127
06095,26603,73325,99928
06097,27847,77554,105401
06099,39617,106333,145950
06101,6920,18666,25586
06103,4207,11517,15724
06105,598,1859,2457
06107,41130,103069,144199
06109,2279,7103,9382
06111,55090,154718,209808
06113,12361,32989,45350
06115,6127,14721,20848
08001,37749,90746,128495
08003,1262,2602,3864
08005,40562,107827,148389
08007,614,1746,2360
08009,224,597,821
08011,253,770,1023
08013,16240,46785,63025
08014,3803,10804,14607
08015,746,2165,2911
08017,125,329,454
08019,405,1095,1500
08021,606,1730,2336
08023,158,599,757
08025,203,572,775
08027,124,556,680
08029,1633,4964,6597
08031,44627,87532,132159
08033,117,330,447
08035,20981,66765,87746
08037,3618,8861,12479
08039,1062,4642,5704
08041,45882,119286,165168
08043,2024,6087,8111
08045,4410,10594,15004
08047,256,691,947
08049,738,2136,2874
08051,759,2030,2789
08053,47,109,156
08055,264,810,1074
08057,53,194,247
08059,30005,88319,118324
08061,88,236,324
08063,560,1319,1879
08065,560,1260,1820
08067,2956,7593,10549
08069,17378,47102,64480
08071,779,2250,3029
08073,309,764,1073
08075,1135,3281,4416
08077,9847,24420,34267
08079,22,73,95
08081,996,2590,3586
08083,1622,4258,5880
08085,2556,7350,9906
08087,2257,5687,7944
08089,1207,3423,4630
08091,162,636,798
08093,701,2205,2906
08095,259,817,1076
08097,742,2245,2987
08099,910,2470,3380
08101,10359,28267,38626
08103,520,1180,1700
08105,782,2183,2965
08107,1244,3491,4735
08109,416,976,1392
08111,34,84,118
08113,452,1005,1457
08115,122,336,458
08117,1507,3252,4759
08119,1045,3662,4707
08121,263,799,1062
08123,19852,51169,71021
08125,794,1916,2710
09001,56104,170156,226260
09003,50003,151026,201029
09005,8701,30934,39635
09007,7968,26436,34404
09009,47503,141502,189005
09011,14430,43764,58194
09013,6720,23620,30340
09015,6323,19411,25734
10001,11074,29389,40463
10003,33229,90531,123760
10005,11552,29021,40573
11001,36204,67691,103895
12001,13496,31173,44669
12003,1867,5125,6992
12005,10454,26275,36729
12007,1652,3910,5562
12009,26167,79277,105444
12011,105082,290028,395110
12013,858,2277,3135
12015,5392,16924,22316
12017,5397,16265,21662
12019,11467,37833,49300
12021,16804,45813,62617
12023,4089,10801,14890
12027,2177,5458,7635
12029,878,2278,3156
12031,59895,143104,202999
12033,18670,45214,63884
12035,4626,14321,18947
12037,554,1370,1924
12039,3118,7728,10846
12041,917,2697,3614
12043,652,1718,2370
12045,660,1849,2509
12047,789,2048,2837
12049,2149,5430,7579
12051,3072,7659,10731
12053,8229,25644,33873
12055,4907,12888,17795
12057,81556,214461,296017
12059,1131,3094,4225
12061,6413,19311,25724
12063,2490,7087,9577
12065,764,1936,2700
12067,460,1327,1787
12069,16035,45780,61815
12071,32475,89246,121721
12073,15133,38726,53859
12075,2184,6092,8276
12077,422,1306,1728
12079,1136,2872,4008
12081,17939,48469,66408
12083,16801,46532,63333
12085,6167,19580,25747
12086,152125,395725,547850
12087,3317,7961,11278
12089,3970,11918,15888
12091,12081,28725,40806
12093,2571,6830,9401
12095,74489,198182,272671
12097,18402,53708,72110
12099,70611,198676,269287
12101,25050,72513,97563
12103,42238,118667,160905
12105,37941,103188,141129
12107,4562,11838,16400
12109,10061,34498,44559
12111,15981,45452,61433
12113,9165,27138,36303
12115,14634,44672,59306
12117,23005,72706,95711
12119,2259,6245,8504
12121,2614,6905,9519
12123,1297,3118,4415
12125,790,2177,2967
12127,23938,67892,91830
12129,1719,5088,6807
12131,3197,8066,11263
12133,1319,3867,5186
13001,1266,3387,4653
13003,714,1726,2440
13005,796,2071,2867
13007,192,569,761
13009,2625,6493,9118
13011,1062,3450,4512
13013,5558,13996,19554
13015,6823,19500,26323
13017,1384,3221,4605
13019,1257,3607,4864
13021,11462,28467,39929
13023,748,2168,2916
13025,1216,3592,4808
13027,1033,2633,3666
13029,2259,6870,9129
13031,4153,10291,14444
13033,1702,4756,6458
13035,1400,3818,5218
13037,350,943,1293
13039,3897,9369,13266
13043,810,2083,2893
13045,7642,20201,27843
13047,3975,11938,15913
13049,721,1873,2594
13051,18810,41996,60806
13053,1082,1835,2917
13055,1541,4223,5764
13057,15145,44039,59184
13059,7001,13583,20584
13061,192,487,679
13063,21674,53384,75058
13065,500,1271,1771
13067,47795,128364,176159
13069,3004,7844,10848
13071,3823,8884,12707
13073,8571,26111,34682
13075,1231,3340,4571
13077,8987,25800,34787
13079,727,2122,2849
13081,1673,4340,6013
13083,847,2637,3484
13085,1201,3767,4968
13087,1857,5139,6996
13089,51345,114627,165972
13091,1325,3477,4802
13093,789,2244,3033
13095,7235,17087,24322
13097,9445,27577,37022
13099,726,2043,2769
13101,358,804,1162
13103,3520,11178,14698
13105,1285,3230,4515
13107,1636,4069,5705
13109,815,1977,2792
13111,1094,3308,4402
13113,4708,22571,27279
13115,6389,16671,23060
13117,13109,41623,54732
13119,1310,3596,4906
13121,63775,160305,224080
13123,1642,4542,6184
13125,181,617,798
13127,5302,13790,19092
13129,3968,10759,14727
13131,1829,4607,6436
13133,869,2372,3241
