destination,weighted_kids,pct
New Jersey (mostly NYC MSA suburbs),19553,19.017653066186842
Other New York State (Hudson Valley / upstate),17356,16.880805329961582
Pennsylvania,9077,8.828478334873315
"Nassau (NY, Long Island)",8985,8.73899722803093
Florida,7038,6.845304673442591
Other West (CO/UT/AZ/OR/etc.),5383,5.2356173710061755
Connecticut,5129,4.988571706463064
North Carolina,4972,4.835870252395078
"Suffolk (NY, Long Island)",4103,3.9906628410251423
Westchester / Rockland / Putnam (NY),3926,3.8185089724262022
California,3433,3.3390069542381946
Texas,3399,3.3059378495355736
Georgia,2995,2.9129990760103097
Midwest (OH/IL/MI/etc.),2904,2.8244905898944705
Other Northeast (MA/RI/NH/etc.),2317,2.253562223410981
Other Southeast (VA/MD/SC/TN/etc.),2121,2.0629285610076353
Other US,124,0.12060497009191266
