sma_code,sma_name,central_cities,state,county_fips,county_name,is_central_county,partial_county,new_england_towns
0080,"Akron, OH SMA",Akron,OH,39153,Summit County,1,0,
0160,"Albany-Schenectady-Troy, NY SMA",Albany|Schenectady|Troy,NY,36001,Albany County,1,0,
0160,"Albany-Schenectady-Troy, NY SMA",Albany|Schenectady|Troy,NY,36083,Rensselaer County,1,0,
0160,"Albany-Schenectady-Troy, NY SMA",Albany|Schenectady|Troy,NY,36093,Schenectady County,1,0,
0200,"Albuquerque, NM SMA",Albuquerque,NM,35001,Bernalillo County,1,0,
0240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown|Bethlehem|Easton,NJ,34041,"Warren County, NJ",0,0,
0240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown|Bethlehem|Easton,PA,42077,"Lehigh County, PA",1,0,
0240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown|Bethlehem|Easton,PA,42095,"Northampton County, PA",1,0,
0280,"Altoona, PA SMA",Altoona,PA,42013,Blair County,1,0,
0320,"Amarillo, TX SMA",Amarillo,TX,48375,Potter County,1,0,
0320,"Amarillo, TX SMA",Amarillo,TX,48381,Randall County,0,0,
0480,"Asheville, NC SMA",Asheville,NC,37021,Buncombe County,1,0,
0520,"Atlanta, GA SMA",Atlanta,GA,13067,Cobb County,0,0,
0520,"Atlanta, GA SMA",Atlanta,GA,13089,De Kalb County,0,0,
0520,"Atlanta, GA SMA",Atlanta,GA,13121,Fulton County,1,0,
0560,"Atlantic City, NJ SMA",Atlantic City,NJ,34001,Atlantic County,1,0,
0600,"Augusta, GA-SC SMA",Augusta,GA,13245,"Richmond County, GA",1,0,
0600,"Augusta, GA-SC SMA",Augusta,SC,45003,"Aiken County, SC",0,0,
0640,"Austin, TX SMA",Austin,TX,48453,Travis County,1,0,
0720,"Baltimore, MD SMA",Baltimore,MD,24003,Anne Arundel County,0,0,
0720,"Baltimore, MD SMA",Baltimore,MD,24005,Baltimore County,0,0,
0720,"Baltimore, MD SMA",Baltimore,MD,24510,Baltimore city,1,0,
0760,"Baton Rouge, LA SMA",Baton Rouge,LA,22033,East Baton Rouge Parish,1,0,
0800,"Bay City, MI SMA",Bay City,MI,26017,Bay County,1,0,
