sma_code,sma_name,central_cities,under18
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,3266368.0
1600,"Chicago, IL-IN SMA",Chicago,1457802.0
4480,"Los Angeles, CA SMA",Los Angeles,1144944.0
6160,"Philadelphia, PA-NJ SMA",Philadelphia,1004130.0
2160,"Detroit, MI SMA",Detroit,896603.0
1120,"Boston, MA SMA",Boston,838251.0
6280,"Pittsburgh, PA SMA",Pittsburgh,637302.0
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,576748.0
6480,"Providence, RI SMA",Providence,566987.0
7040,"St. Louis, MO-IL SMA",St. Louis,457062.0
1680,"Cleveland, OH SMA",Cleveland,393216.0
720,"Baltimore, MD SMA",Baltimore,385528.0
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,315280.0
1280,"Buffalo, NY SMA",Buffalo,309091.0
4560,"Lowell, MA SMA",Lowell,297091.0
1160,"Bridgeport, CT SMA",Bridgeport,283407.0
1200,"Brockton, MA SMA",Brockton,271480.0
8000,"Springfield-Holyoke, MA-CT SMA",Springfield|Holyoke,268005.0
1640,"Cincinnati, OH-KY SMA",Cincinnati,250913.0
3360,"Houston, TX SMA",Houston,249750.0
5080,"Milwaukee, WI SMA",Milwaukee,236383.0
3760,"Kansas City, MO-KS SMA",Kansas City,219599.0
8840,"Washington, DC-MD-VA SMA",Washington,213978.0
5560,"New Orleans, LA SMA",New Orleans,203137.0
520,"Atlanta, GA SMA",Atlanta,202558.0
7600,"Seattle, WA SMA",Seattle,199706.0
6440,"Portland, OR-WA SMA",Portland,199394.0
1000,"Birmingham, AL SMA",Birmingham,186611.0
1920,"Dallas, TX SMA",Dallas,177944.0
5440,"New Britain-Bristol, CT SMA",New Britain|Bristol,175981.0
8880,"Waterbury, CT SMA",Waterbury,175712.0
4520,"Louisville, KY-IN SMA",Louisville,172939.0
7240,"San Antonio, TX SMA",San Antonio,164995.0
2080,"Denver, CO SMA",Denver,160866.0
9320,"Youngstown, OH-PA SMA",Youngstown,156768.0
3480,"Indianapolis, IN SMA",Indianapolis,156389.0
7320,"San Diego, CA SMA",San Diego,154610.0
9240,"Worcester, MA SMA",Worcester,151578.0
3280,"Hartford, CT SMA",Hartford,147298.0
5480,"New Haven, CT SMA",New Haven,147029.0
4920,"Memphis, TN SMA",Memphis,145212.0
4160,"Lawrence, MA SMA",Lawrence,141877.0
8040,"Stamford-Norwalk, CT SMA",Stamford|Norwalk,136378.0
2000,"Dayton, OH SMA",Dayton,136360.0
1840,"Columbus, OH SMA",Columbus,135255.0
160,"Albany-Schenectady-Troy, NY SMA",Albany|Schenectady|Troy,134485.0
6840,"Rochester, NY SMA",Rochester,127968.0
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,125167.0
2480,"Fall River, MA-RI SMA",Fall River,123423.0
80,"Akron, OH SMA",Akron,122170.0
5000,"Miami, FL SMA",Miami,122080.0
240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown|Bethlehem|Easton,120139.0
1480,"Charleston, WV SMA",Charleston,118368.0
3840,"Knoxville, TN SMA",Knoxville,116238.0
6200,"Phoenix, AZ SMA",Phoenix,115365.0
9120,"Wilkes-Barre--Hazleton, PA SMA",Wilkes-Barre|Hazleton,112475.0
8400,"Toledo, OH-MI SMA",Toledo,111270.0
8280,"Tampa-St. Petersburg, FL SMA",Tampa|St. Petersburg,109207.0
9000,"Wheeling-Steubenville, WV-OH SMA",Wheeling|Steubenville,108603.0
5400,"New Bedford, MA SMA",New Bedford,106695.0
5920,"Omaha, NE-IA SMA",Omaha,106319.0
2800,"Fort Worth, TX SMA",Fort Worth,106123.0
5880,"Oklahoma City, OK SMA",Oklahoma City,98718.0
3680,"Johnstown, PA SMA",Johnstown,98264.0
7160,"Salt Lake City, UT SMA",Salt Lake City,97113.0
2840,"Fresno, CA SMA",Fresno,94354.0
3600,"Jacksonville, FL SMA",Jacksonville,93151.0
5360,"Nashville, TN SMA",Nashville,92873.0
8160,"Syracuse, NY SMA",Syracuse,92628.0
2640,"Flint, MI SMA",Flint,89769.0
6760,"Richmond, VA SMA",Richmond,89057.0
3000,"Grand Rapids, MI SMA",Grand Rapids,88944.0
7280,"San Bernardino, CA SMA",San Bernardino,87711.0
1320,"Canton, OH SMA",Canton,84722.0
3400,"Huntington-Ashland, WV-KY-OH SMA",Huntington|Ashland,84242.0
7400,"San Jose, CA SMA",San Jose,83537.0
3240,"Harrisburg, PA SMA",Harrisburg,82776.0
5160,"Mobile, AL SMA",Mobile,82681.0
1560,"Chattanooga, TN-GA SMA",Chattanooga,81338.0
8680,"Utica-Rome, NY SMA",Utica|Rome,80642.0
6920,"Sacramento, CA SMA",Sacramento,80319.0
9160,"Wilmington, DE-NJ SMA",Wilmington,79222.0
8560,"Tulsa, OK SMA",Tulsa,76424.0
8200,"Tacoma, WA SMA",Tacoma,76096.0
2240,"Duluth-Superior, MN-WI SMA",Duluth|Superior,75837.0
6120,"Peoria, IL SMA",Peoria,73533.0
4000,"Lancaster, PA SMA",Lancaster,72064.0
7560,"Scranton, PA SMA",Scranton,70837.0
2320,"El Paso, TX SMA",El Paso,69907.0
9040,"Wichita, KS SMA",Wichita,69038.0
1960,"Davenport-Rock Island-Moline, IA-IL SMA",Davenport|Rock Island|Moline,67846.0
6680,"Reading, PA SMA",Reading,67162.0
2360,"Erie, PA SMA",Erie,67117.0
2120,"Des Moines, IA SMA",Des Moines,65445.0
840,"Beaumont-Port Arthur, TX SMA",Beaumont|Port Arthur,63914.0
1520,"Charlotte, NC SMA",Charlotte,63525.0
7840,"Spokane, WA SMA",Spokane,63348.0
1880,"Corpus Christi, TX SMA",Corpus Christi,63262.0
1440,"Charleston, SC SMA",Charleston,61175.0
9280,"York, PA SMA",York,60683.0
3120,"Greensboro-High Point, NC SMA",Greensboro-High Point,60434.0
4400,"Little Rock-North Little Rock, AR SMA",Little Rock|North Little Rock,60400.0
8120,"Stockton, CA SMA",Stockton,60153.0
7800,"South Bend, IN SMA",South Bend,59794.0
1800,"Columbus, GA-AL SMA",Columbus,58314.0
3160,"Greenville, SC SMA",Greenville,58201.0
8480,"Trenton, NJ SMA",Trenton,58198.0
7680,"Shreveport, LA SMA",Shreveport,58066.0
600,"Augusta, GA-SC SMA",Augusta,55128.0
2760,"Fort Wayne, IN SMA",Fort Wayne,54457.0
960,"Binghamton, NY SMA",Binghamton,53412.0
760,"Baton Rouge, LA SMA",Baton Rouge,52676.0
6960,"Saginaw, MI SMA",Saginaw,52429.0
4040,"Lansing, MI SMA",Lansing,51671.0
200,"Albuquerque, NM SMA",Albuquerque,50897.0
6400,"Portland, ME SMA",Portland,50621.0
7520,"Savannah, GA SMA",Savannah,49499.0
2440,"Evansville, IN SMA",Evansville,47735.0
3560,"Jackson, MS SMA",Jackson,47458.0
4720,"Madison, WI SMA",Madison,47019.0
640,"Austin, TX SMA",Austin,46797.0
4680,"Macon, GA SMA",Macon,45930.0
5240,"Montgomery, AL SMA",Montgomery,45772.0
1760,"Columbia, SC SMA",Columbia,45664.0
3200,"Hamilton-Middletown, OH SMA",Hamilton|Middletown,45589.0
4760,"Manchester, NH SMA",Manchester,45147.0
4440,"Lorain-Elyria, OH SMA",Lorain|Elyria,44715.0
6880,"Rockford, IL SMA",Rockford,44642.0
6640,"Raleigh, NC SMA",Raleigh,43170.0
280,"Altoona, PA SMA",Altoona,43043.0
480,"Asheville, NC SMA",Asheville,40482.0
8800,"Waco, TX SMA",Waco,38829.0
6800,"Roanoke, VA SMA",Roanoke,38810.0
6320,"Pittsfield, MA SMA",Pittsfield,37875.0
3720,"Kalamazoo, MI SMA",Kalamazoo,37753.0
7880,"Springfield, IL SMA",Springfield,36652.0
2920,"Galveston, TX SMA",Galveston,35870.0
2880,"Gadsden, AL SMA",Gadsden,34777.0
4600,"Lubbock, TX SMA",Lubbock,33790.0
7960,"Springfield, OH SMA",Springfield,33484.0
3080,"Green Bay, WI SMA",Green Bay,33307.0
560,"Atlantic City, NJ SMA",Atlantic City,33082.0
5960,"Orlando, FL SMA",Orlando,32834.0
6600,"Racine, WI SMA",Racine,32553.0
3520,"Jackson, MI SMA",Jackson,32118.0
7720,"Sioux City, IA SMA",Sioux City,31571.0
5840,"Ogden, UT SMA",Ogden,31381.0
2280,"Durham, NC SMA",Durham,30900.0
8920,"Waterloo, IA SMA",Waterloo,30865.0
800,"Bay City, MI SMA",Bay City,30675.0
1360,"Cedar Rapids, IA SMA",Cedar Rapids,29661.0
7920,"Springfield, MO SMA",Springfield,29635.0
4360,"Lincoln, NE SMA",Lincoln,29630.0
2040,"Decatur, IL SMA",Decatur,29187.0
8320,"Terre Haute, IN SMA",Terre Haute,28738.0
6560,"Pueblo, CO SMA",Pueblo,28696.0
5280,"Muncie, IN SMA",Muncie,28589.0
8440,"Topeka, KS SMA",Topeka,28577.0
9080,"Wichita Falls, TX SMA",Wichita Falls,27424.0
320,"Amarillo, TX SMA",Amarillo,27220.0
4320,"Lima, OH SMA",Lima,26878.0
4280,"Lexington, KY SMA",Lexington,26214.0
7000,"St. Joseph, MO SMA",St. Joseph,25648.0
4080,"Laredo, TX SMA",Laredo,22957.0
3800,"Kenosha, WI SMA",Kenosha,22255.0
7760,"Sioux Falls, SD SMA",Sioux Falls,21905.0
7200,"San Angelo, TX SMA",San Angelo,18971.0
6360,"Ponce, PR SMA",Ponce,0.0
7440,"San Juan-Rio Piedras, PR SMA",San Juan|Rio Piedras,0.0
3320,"Honolulu, Territory of Hawaii SMA",Honolulu,0.0
4840,"Mayaguez, PR SMA",Mayaguez,0.0
