sma_code,sma_name,central_cities,under18
5600,"New York-Northeastern NJ, NY-NJ SMA",New York|Northeastern NJ,3266368.0
1600,"Chicago, IL-IN SMA",Chicago,1457802.0
4480,"Los Angeles, CA SMA",Los Angeles,1144944.0
6160,"Philadelphia, PA-NJ SMA",Philadelphia,1004130.0
2160,"Detroit, MI SMA",Detroit,896603.0
1120,"Boston, MA SMA",Boston,838251.0
6280,"Pittsburgh, PA SMA",Pittsburgh,637302.0
7360,"San Francisco-Oakland, CA SMA",San Francisco|Oakland,576748.0
6480,"Providence, RI SMA",Providence,566987.0
7040,"St. Louis, MO-IL SMA",St. Louis,457062.0
1680,"Cleveland, OH SMA",Cleveland,393216.0
720,"Baltimore, MD SMA",Baltimore,385528.0
5120,"Minneapolis-St. Paul, MN SMA",Minneapolis|St. Paul,315280.0
1280,"Buffalo, NY SMA",Buffalo,309091.0
4560,"Lowell, MA SMA",Lowell,297091.0
1160,"Bridgeport, CT SMA",Bridgeport,283407.0
1200,"Brockton, MA SMA",Brockton,271480.0
8000,"Springfield-Holyoke, MA-CT SMA",Springfield|Holyoke,268005.0
1640,"Cincinnati, OH-KY SMA",Cincinnati,250913.0
3360,"Houston, TX SMA",Houston,249750.0
5080,"Milwaukee, WI SMA",Milwaukee,236383.0
3760,"Kansas City, MO-KS SMA",Kansas City,219599.0
8840,"Washington, DC-MD-VA SMA",Washington,213978.0
5560,"New Orleans, LA SMA",New Orleans,203137.0
520,"Atlanta, GA SMA",Atlanta,202558.0
7600,"Seattle, WA SMA",Seattle,199706.0
6440,"Portland, OR-WA SMA",Portland,199394.0
1000,"Birmingham, AL SMA",Birmingham,186611.0
1920,"Dallas, TX SMA",Dallas,177944.0
5440,"New Britain-Bristol, CT SMA",New Britain|Bristol,175981.0
8880,"Waterbury, CT SMA",Waterbury,175712.0
4520,"Louisville, KY-IN SMA",Louisville,172939.0
7240,"San Antonio, TX SMA",San Antonio,164995.0
2080,"Denver, CO SMA",Denver,160866.0
9320,"Youngstown, OH-PA SMA",Youngstown,156768.0
3480,"Indianapolis, IN SMA",Indianapolis,156389.0
7320,"San Diego, CA SMA",San Diego,154610.0
9240,"Worcester, MA SMA",Worcester,151578.0
3280,"Hartford, CT SMA",Hartford,147298.0
5480,"New Haven, CT SMA",New Haven,147029.0
4920,"Memphis, TN SMA",Memphis,145212.0
4160,"Lawrence, MA SMA",Lawrence,141877.0
8040,"Stamford-Norwalk, CT SMA",Stamford|Norwalk,136378.0
2000,"Dayton, OH SMA",Dayton,136360.0
1840,"Columbus, OH SMA",Columbus,135255.0
160,"Albany-Schenectady-Troy, NY SMA",Albany|Schenectady|Troy,134485.0
6840,"Rochester, NY SMA",Rochester,127968.0
5720,"Norfolk-Portsmouth, VA SMA",Norfolk|Portsmouth,125167.0
2480,"Fall River, MA-RI SMA",Fall River,123423.0
80,"Akron, OH SMA",Akron,122170.0
