cbsa_code,state_fips,county_fips,tract_fips,geoid,snapshot_year,boundary_year,under18,source
12060,13,013,180101,13013180101,2000,2000,3109,Decennial 2000 SF1
12060,13,013,180102,13013180102,2000,2000,1536,Decennial 2000 SF1
12060,13,013,180201,13013180201,2000,2000,1496,Decennial 2000 SF1
12060,13,013,180202,13013180202,2000,2000,1327,Decennial 2000 SF1
12060,13,013,180300,13013180300,2000,2000,1960,Decennial 2000 SF1
12060,13,013,180400,13013180400,2000,2000,1531,Decennial 2000 SF1
12060,13,013,180500,13013180500,2000,2000,2166,Decennial 2000 SF1
12060,13,035,150100,13035150100,2000,2000,1634,Decennial 2000 SF1
12060,13,035,150200,13035150200,2000,2000,1859,Decennial 2000 SF1
12060,13,035,150301,13035150301,2000,2000,1201,Decennial 2000 SF1
12060,13,035,150302,13035150302,2000,2000,5,Decennial 2000 SF1
12060,13,045,990101,13045990101,2000,2000,962,Decennial 2000 SF1
12060,13,045,990102,13045990102,2000,2000,2435,Decennial 2000 SF1
12060,13,045,990200,13045990200,2000,2000,2033,Decennial 2000 SF1
12060,13,045,990300,13045990300,2000,2000,1478,Decennial 2000 SF1
12060,13,045,990400,13045990400,2000,2000,924,Decennial 2000 SF1
12060,13,045,990501,13045990501,2000,2000,1328,Decennial 2000 SF1
12060,13,045,990502,13045990502,2000,2000,893,Decennial 2000 SF1
12060,13,045,990600,13045990600,2000,2000,1248,Decennial 2000 SF1
12060,13,045,990701,13045990701,2000,2000,1689,Decennial 2000 SF1
12060,13,045,990702,13045990702,2000,2000,1280,Decennial 2000 SF1
12060,13,045,990703,13045990703,2000,2000,1908,Decennial 2000 SF1
12060,13,045,990800,13045990800,2000,2000,1085,Decennial 2000 SF1
12060,13,045,990900,13045990900,2000,2000,1021,Decennial 2000 SF1
12060,13,045,991000,13045991000,2000,2000,1588,Decennial 2000 SF1
12060,13,045,991100,13045991100,2000,2000,1339,Decennial 2000 SF1
12060,13,045,991200,13045991200,2000,2000,1419,Decennial 2000 SF1
12060,13,063,040100,13063040100,2000,2000,3,Decennial 2000 SF1
12060,13,063,040201,13063040201,2000,2000,2399,Decennial 2000 SF1
12060,13,063,040202,13063040202,2000,2000,1445,Decennial 2000 SF1
12060,13,063,040301,13063040301,2000,2000,45,Decennial 2000 SF1
12060,13,063,040302,13063040302,2000,2000,1913,Decennial 2000 SF1
12060,13,063,040303,13063040303,2000,2000,2396,Decennial 2000 SF1
12060,13,063,040304,13063040304,2000,2000,1320,Decennial 2000 SF1
12060,13,063,040305,13063040305,2000,2000,2784,Decennial 2000 SF1
12060,13,063,040405,13063040405,2000,2000,2430,Decennial 2000 SF1
12060,13,063,040406,13063040406,2000,2000,2803,Decennial 2000 SF1
12060,13,063,040407,13063040407,2000,2000,773,Decennial 2000 SF1
12060,13,063,040408,13063040408,2000,2000,1993,Decennial 2000 SF1
12060,13,063,040409,13063040409,2000,2000,1684,Decennial 2000 SF1
12060,13,063,040410,13063040410,2000,2000,1539,Decennial 2000 SF1
12060,13,063,040411,13063040411,2000,2000,2294,Decennial 2000 SF1
12060,13,063,040412,13063040412,2000,2000,1794,Decennial 2000 SF1
12060,13,063,040413,13063040413,2000,2000,1799,Decennial 2000 SF1
12060,13,063,040503,13063040503,2000,2000,2801,Decennial 2000 SF1
12060,13,063,040506,13063040506,2000,2000,2873,Decennial 2000 SF1
12060,13,063,040509,13063040509,2000,2000,1198,Decennial 2000 SF1
12060,13,063,040510,13063040510,2000,2000,1178,Decennial 2000 SF1
12060,13,063,040511,13063040511,2000,2000,1916,Decennial 2000 SF1
12060,13,063,040512,13063040512,2000,2000,1402,Decennial 2000 SF1
12060,13,063,040513,13063040513,2000,2000,1435,Decennial 2000 SF1
