cbsa_code,cbsa_name,under18_2000,under18_2005,under18_2010,under18_2015,under18_2020,under18_2024,tracts_2000,tracts_2005,tracts_2010,tracts_2015,tracts_2020,tracts_2024
12060,Atlanta,1136365,1429353,1403163,1414292,1437333,1473173,695,695,952,952,1504,1504
16980,Chicago,2406843,2403998,2334981,2278868,2092095,2088715,2026,2026,2179,2179,2292,2292
19100,Dallas,1449348,1722737,1772677,1810746,1928976,1977857,1044,1044,1312,1312,1704,1704
26420,Houston,1367993,1601392,1662290,1706798,1842888,1898982,895,895,1076,1076,1615,1615
31080,Los Angeles,3436395,3308331,3138867,3077250,2721549,2732369,2631,2631,2929,2929,3112,3112
33100,Miami,1182600,1260576,1205961,1218560,1205051,1232239,892,892,1219,1219,1497,1497
35620,New York,4502252,4457477,4298142,4279179,4190657,4194006,4499,4499,4525,4524,4928,4914
37980,Philadelphia,1443301,1418110,1390882,1368598,1324580,1342514,1473,1473,1477,1477,1556,1556
38060,Phoenix,873084,1133482,1107561,1111187,1137806,1123273,696,696,991,991,1104,1104
47900,Washington,1201337,1309826,1322589,1355989,1420726,1432867,1006,1006,1340,1340,1464,1464
