gisjoin,geoid,cbsa_code,state_fips,county_fips,tract_fips,under18_2000,under18_2005,under18_2010,under18_2015,under18_2020,under18_2024,boundary_2000,boundary_2005,boundary_2010,boundary_2015,boundary_2020,boundary_2024
G0400130010100,04013010100,38060,04,013,010100,436,793,,,,,2000,2000,,,,
G0400130010101,04013010101,38060,04,013,010101,,,729,804,,,,,2010,2010,,
G0400130010102,04013010102,38060,04,013,010102,,,579,174,338,642,,,2010,2010,2020,2020
G0400130010103,04013010103,38060,04,013,010103,,,,,556,550,,,,,2020,2020
G0400130010104,04013010104,38060,04,013,010104,,,,,15,0,,,,,2020,2020
G0400130020201,04013020201,38060,04,013,020201,351,404,,,,,2000,2000,,,,
G0400130020202,04013020202,38060,04,013,020202,2325,1489,,,,,2000,2000,,,,
G0400130030302,04013030302,38060,04,013,030302,1338,1194,,,,,2000,2000,,,,
G0400130030303,04013030303,38060,04,013,030303,1549,1672,,,,,2000,2000,,,,
G0400130030304,04013030304,38060,04,013,030304,1514,1245,,,,,2000,2000,,,,
G0400130030307,04013030307,38060,04,013,030307,872,873,,,,,2000,2000,,,,
G0400130030308,04013030308,38060,04,013,030308,495,780,,,,,2000,2000,,,,
G0400130030309,04013030309,38060,04,013,030309,1412,1249,,,,,2000,2000,,,,
G0400130030310,04013030310,38060,04,013,030310,860,742,,,,,2000,2000,,,,
G0400130030311,04013030311,38060,04,013,030311,264,227,,,,,2000,2000,,,,
G0400130030312,04013030312,38060,04,013,030312,159,557,,,,,2000,2000,,,,
G0400130030313,04013030313,38060,04,013,030313,5,0,,,,,2000,2000,,,,
G0400130030314,04013030314,38060,04,013,030314,948,1451,,,,,2000,2000,,,,
G0400130030315,04013030315,38060,04,013,030315,1747,1615,,,,,2000,2000,,,,
G0400130030316,04013030316,38060,04,013,030316,1345,1395,,,,,2000,2000,,,,
G0400130030318,04013030318,38060,04,013,030318,750,651,,,,,2000,2000,,,,
G0400130030319,04013030319,38060,04,013,030319,1805,1859,,,,,2000,2000,,,,
G0400130030322,04013030322,38060,04,013,030322,1209,1246,,,,,2000,2000,,,,
G0400130030323,04013030323,38060,04,013,030323,1305,1292,,,,,2000,2000,,,,
G0400130030324,04013030324,38060,04,013,030324,958,876,,,,,2000,2000,,,,
G0400130030325,04013030325,38060,04,013,030325,943,1065,,,,,2000,2000,,,,
G0400130030326,04013030326,38060,04,013,030326,1375,1308,,,,,2000,2000,,,,
G0400130030327,04013030327,38060,04,013,030327,1113,1330,,,,,2000,2000,,,,
