county_fips,state_name,county_name,year,under18
01001,Alabama,Autauga,1950,7566
01003,Alabama,Baldwin,1950,16704
01005,Alabama,Barbour,1950,12378
01007,Alabama,Bibb,1950,7639
01009,Alabama,Blount,1950,11758
01011,Alabama,Bullock,1950,7291
01013,Alabama,Butler,1950,12255
01015,Alabama,Calhoun,1950,29639
01017,Alabama,Chambers,1950,14782
01019,Alabama,Cherokee,1950,7137
01021,Alabama,Chilton,1950,10799
01023,Alabama,Choctaw,1950,8488
01025,Alabama,Clarke,1950,10930
01027,Alabama,Clay,1950,5315
01029,Alabama,Cleburne,1950,4842
01031,Alabama,Coffee,1950,12601
01033,Alabama,Colbert,1950,15193
01035,Alabama,Conecuh,1950,9531
01037,Alabama,Coosa,1950,4661
01039,Alabama,Covington,1950,15322
01041,Alabama,Crenshaw,1950,7653
01043,Alabama,Cullman,1950,19729
01045,Alabama,Dale,1950,8052
01047,Alabama,Dallas,1950,22720
01049,Alabama,DeKalb,1950,17794
01051,Alabama,Elmore,1950,12236
01053,Alabama,Escambia,1950,12848
01055,Alabama,Etowah,1950,34777
01057,Alabama,Fayette,1950,7732
01059,Alabama,Franklin,1950,10237
01061,Alabama,Geneva,1950,10382
01063,Alabama,Greene,1950,7124
01065,Alabama,Hale,1950,9106
01067,Alabama,Henry,1950,8073
01069,Alabama,Houston,1950,17363
01071,Alabama,Jackson,1950,16457
01073,Alabama,Jefferson,1950,186611
01075,Alabama,Lamar,1950,6333
01077,Alabama,Lauderdale,1950,20380
01079,Alabama,Lawrence,1950,11739
01081,Alabama,Lee,1950,15855
01083,Alabama,Limestone,1950,15010
01085,Alabama,Lowndes,1950,8600
01087,Alabama,Macon,1950,11212
01089,Alabama,Madison,1950,27917
01091,Alabama,Marengo,1950,12428
01093,Alabama,Marion,1950,11206
01095,Alabama,Marshall,1950,17419
01097,Alabama,Mobile,1950,82681
01099,Alabama,Monroe,1950,11297
01101,Alabama,Montgomery,1950,45772
01103,Alabama,Morgan,1950,19189
01105,Alabama,Perry,1950,9029
01107,Alabama,Pickens,1950,10251
01109,Alabama,Pike,1950,12036
01111,Alabama,Randolph,1950,8832
01113,Alabama,Russell,1950,16250
01115,Alabama,St Clair,1950,10950
