YEAR,central_city,metro_indeterminate,metro_ring_unknown,non_metro,suburb,total_under18,pct_central_city,pct_suburb,pct_non_metro
1950,0.0,0.0,3957513.0,22849977.0,20166791.0,46974281.0,0.0,42.93155865440495,48.64359073425733
1960,16265858.0,11211529.0,1641277.0,17565581.0,17938158.0,64622403.0,25.170617688110422,27.758419939908457,27.181875301046915
1970,18052300.0,10007100.0,1374500.0,16762200.0,23928200.0,70124300.0,25.743287277020947,34.12255095594537,23.903554117474258
1980,12224500.0,7343440.0,11154720.0,13168740.0,20535180.0,64426580.0,18.97431153415252,31.873770111652675,20.4399178103199
2000,11632081.0,5020794.0,20999686.0,11709635.0,22760108.0,72122304.0,16.128271498370324,31.557655174188557,16.235802727544588
2005,11507900.0,4844830.0,21810720.0,11090827.0,23893290.0,73147567.0,15.73244397862201,32.66450407024474,15.16226370181253
2006,11379127.0,4934437.0,22226536.0,11194403.0,24050615.0,73785118.0,15.421981164277598,32.59548219466153,15.171627156576479
2007,11276498.0,4989383.0,22442250.0,11108355.0,24096438.0,73912924.0,15.256463132212168,32.60111587521554,15.028975176249284
2008,11158563.0,4964024.0,22732249.0,10991647.0,24044147.0,73890630.0,15.101458737055022,32.5401840531066,14.875562706665242
2009,11247344.0,4995675.0,22944710.0,11195067.0,24089455.0,74472251.0,15.102731351574159,32.346887164723945,15.032534735656103
2010,10799234.0,5059823.0,22811617.0,11320831.0,24140861.0,74132366.0,14.567502135302144,32.56453598149019,15.271104391838781
2011,10760594.0,5005643.0,22812509.0,11210417.0,24061532.0,73850695.0,14.570741683609072,32.5813210017861,15.179839539763302
2012,9238087.0,8698365.0,26609398.0,5936875.0,23149472.0,73632197.0,12.546260163879126,31.439333529597114,8.06287906905725
2013,9242701.0,8642797.0,26741666.0,5881377.0,22993076.0,73501617.0,12.57482675517193,31.28240838565497,8.00169743204425
2014,9234840.0,8601189.0,26823758.0,5855501.0,22976526.0,73491814.0,12.565807669409276,31.26406160011236,7.967555406919198
2015,9224282.0,8571972.0,26863018.0,5812132.0,23070950.0,73542354.0,12.542815803801984,31.370970257492708,7.903108459106435
2016,9242496.0,8545821.0,26965111.0,5787311.0,23010642.0,73551381.0,12.566040058445674,31.28512570008713,7.868392029240076
2017,9156081.0,8533822.0,27037226.0,5763743.0,23073026.0,73563898.0,12.446432623785107,31.364604958807377,7.835015757321615
2018,9034611.0,8515605.0,27022249.0,5676022.0,23024452.0,73272939.0,12.33007863926408,31.422858580846608,7.746409626069455
2019,8917239.0,8421388.0,26943361.0,5641613.0,22988329.0,72911930.0,12.230150813453985,31.52889931729965,7.737571889812819
2021,8692771.0,8478348.0,27227052.0,5655478.0,23343469.0,73397118.0,11.843477287486955,31.804340055967867,7.705313442961071
2022,8852120.0,8448440.0,27426898.0,5457753.0,22053706.0,72238917.0,12.253948934478073,30.528843614862055,7.5551423341521025
2023,8789607.0,8487978.0,27694004.0,5467349.0,22144315.0,72583253.0,12.109690096143803,30.50884892138962,7.53252131039098
2024,8890360.0,8452592.0,27846867.0,5433623.0,22246040.0,72869482.0,12.2003886345727,30.528610042816002,7.45665105729721
