year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
1980,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York,1765467
1980,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark,112226
1980,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago,852876
1980,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles,745738
1980,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia,437158
1980,2160,"Detroit, MI SMA",Detroit,26,Detroit,364618
1980,1120,"Boston, MA SMA",Boston,25,Boston,121683
1980,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh,90545
1980,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco,116611
1980,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland,82492
1980,6480,"Providence, RI SMA",Providence,44,Providence,36419
1980,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis,118436
1980,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland,159444
1980,720,"Baltimore, MD SMA",Baltimore,24,Baltimore,211943
1980,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis,74025
1980,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul,65232
1980,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo,90146
1980,4560,"Lowell, MA SMA",Lowell,25,Lowell,25567
1980,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport,39803
1980,1200,"Brockton, MA SMA",Brockton,25,Brockton,28751
1980,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield,41932
1980,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke,12327
1980,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati,97254
1980,3360,"Houston, TX SMA",Houston,48,Houston,452255
1980,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee,171866
1980,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City,118707
1980,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City,47639
1980,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington,143491
1980,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans,160332
1980,520,"Atlanta, GA SMA",Atlanta,13,Atlanta,113883
1980,7600,"Seattle, WA SMA",Seattle,53,Seattle,86963
1980,6440,"Portland, OR-WA SMA",Portland,41,Portland,79874
1980,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham,75759
1980,1920,"Dallas, TX SMA",Dallas,48,Dallas,243792
1980,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain,15714
1980,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol,15533
1980,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury,26678
1980,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville,74672
1980,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio,253238
1980,2080,"Denver, CO SMA",Denver,08,Denver,110877
1980,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown,30416
1980,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis,200447
1980,7320,"San Diego, CA SMA",San Diego,06,San Diego,211432
1980,9240,"Worcester, MA SMA",Worcester,25,Worcester,38180
1980,3280,"Hartford, CT SMA",Hartford,09,Hartford,39530
1980,5480,"New Haven, CT SMA",New Haven,09,New Haven,31863
1980,4920,"Memphis, TN SMA",Memphis,47,Memphis,188018
1980,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence,18226
1980,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford,25053
1980,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk,19756
1980,2000,"Dayton, OH SMA",Dayton,39,Dayton,55728
1980,1840,"Columbus, OH SMA",Columbus,39,Columbus,145867
1980,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany,20809
1980,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady,16021
1980,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy,13834
1980,6840,"Rochester, NY SMA",Rochester,36,Rochester,64396
1980,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk,65613
1980,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth,30024
1980,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River,24884
1980,80,"Akron, OH SMA",Akron,39,Akron,62511
1990,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York city,1686718
1990,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark city,78493
1990,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago city,722704
1990,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles city,863277
1990,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia city,379421
1990,2160,"Detroit, MI SMA",Detroit,26,Detroit city,302315
1990,1120,"Boston, MA SMA",Boston,25,Boston city,109833
1990,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh city,73379
1990,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco city,116883
1990,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland city,92587
1990,6480,"Providence, RI SMA",Providence,44,Providence city,37972
1990,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis city,100040
1990,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland city,136117
