year,sma_code,sma_name,central_city,state_fips,matched_place_name,under18
1980,5600,"New York-Northeastern NJ, NY-NJ SMA",New York,36,New York,1765467.0
1980,5600,"New York-Northeastern NJ, NY-NJ SMA",Newark,34,Newark,112226.0
1980,1600,"Chicago, IL-IN SMA",Chicago,17,Chicago,852876.0
1980,4480,"Los Angeles, CA SMA",Los Angeles,06,Los Angeles,745738.0
1980,6160,"Philadelphia, PA-NJ SMA",Philadelphia,42,Philadelphia,437158.0
1980,2160,"Detroit, MI SMA",Detroit,26,Detroit,364618.0
1980,1120,"Boston, MA SMA",Boston,25,Boston,121683.0
1980,6280,"Pittsburgh, PA SMA",Pittsburgh,42,Pittsburgh,90545.0
1980,7360,"San Francisco-Oakland, CA SMA",San Francisco,06,San Francisco,116611.0
1980,7360,"San Francisco-Oakland, CA SMA",Oakland,06,Oakland,82492.0
1980,6480,"Providence, RI SMA",Providence,44,Providence,36419.0
1980,7040,"St. Louis, MO-IL SMA",St. Louis,29,St. Louis,118436.0
1980,1680,"Cleveland, OH SMA",Cleveland,39,Cleveland,159444.0
1980,720,"Baltimore, MD SMA",Baltimore,24,Baltimore,211943.0
1980,5120,"Minneapolis-St. Paul, MN SMA",Minneapolis,27,Minneapolis,74025.0
1980,5120,"Minneapolis-St. Paul, MN SMA",St. Paul,27,St. Paul,65232.0
1980,1280,"Buffalo, NY SMA",Buffalo,36,Buffalo,90146.0
1980,4560,"Lowell, MA SMA",Lowell,25,Lowell,25567.0
1980,1160,"Bridgeport, CT SMA",Bridgeport,09,Bridgeport,39803.0
1980,1200,"Brockton, MA SMA",Brockton,25,Brockton,28751.0
1980,8000,"Springfield-Holyoke, MA-CT SMA",Springfield,25,Springfield,41932.0
1980,8000,"Springfield-Holyoke, MA-CT SMA",Holyoke,25,Holyoke,12327.0
1980,1640,"Cincinnati, OH-KY SMA",Cincinnati,39,Cincinnati,97254.0
1980,3360,"Houston, TX SMA",Houston,48,Houston,452255.0
1980,5080,"Milwaukee, WI SMA",Milwaukee,55,Milwaukee,171866.0
1980,3760,"Kansas City, MO-KS SMA",Kansas City,29,Kansas City,118707.0
1980,3760,"Kansas City, MO-KS SMA",Kansas City,20,Kansas City,47639.0
1980,8840,"Washington, DC-MD-VA SMA",Washington,11,Washington,143491.0
1980,5560,"New Orleans, LA SMA",New Orleans,22,New Orleans,160332.0
1980,520,"Atlanta, GA SMA",Atlanta,13,Atlanta,113883.0
1980,7600,"Seattle, WA SMA",Seattle,53,Seattle,86963.0
1980,6440,"Portland, OR-WA SMA",Portland,41,Portland,79874.0
1980,1000,"Birmingham, AL SMA",Birmingham,01,Birmingham,75759.0
1980,1920,"Dallas, TX SMA",Dallas,48,Dallas,243792.0
1980,5440,"New Britain-Bristol, CT SMA",New Britain,09,New Britain,15714.0
1980,5440,"New Britain-Bristol, CT SMA",Bristol,09,Bristol,15533.0
1980,8880,"Waterbury, CT SMA",Waterbury,09,Waterbury,26678.0
1980,4520,"Louisville, KY-IN SMA",Louisville,21,Louisville,74672.0
1980,7240,"San Antonio, TX SMA",San Antonio,48,San Antonio,253238.0
1980,2080,"Denver, CO SMA",Denver,08,Denver,110877.0
1980,9320,"Youngstown, OH-PA SMA",Youngstown,39,Youngstown,30416.0
1980,3480,"Indianapolis, IN SMA",Indianapolis,18,Indianapolis,200447.0
1980,7320,"San Diego, CA SMA",San Diego,06,San Diego,211432.0
1980,9240,"Worcester, MA SMA",Worcester,25,Worcester,38180.0
1980,3280,"Hartford, CT SMA",Hartford,09,Hartford,39530.0
1980,5480,"New Haven, CT SMA",New Haven,09,New Haven,31863.0
1980,4920,"Memphis, TN SMA",Memphis,47,Memphis,188018.0
1980,4160,"Lawrence, MA SMA",Lawrence,25,Lawrence,18226.0
1980,8040,"Stamford-Norwalk, CT SMA",Stamford,09,Stamford,25053.0
1980,8040,"Stamford-Norwalk, CT SMA",Norwalk,09,Norwalk,19756.0
1980,2000,"Dayton, OH SMA",Dayton,39,Dayton,55728.0
1980,1840,"Columbus, OH SMA",Columbus,39,Columbus,145867.0
1980,160,"Albany-Schenectady-Troy, NY SMA",Albany,36,Albany,20809.0
1980,160,"Albany-Schenectady-Troy, NY SMA",Schenectady,36,Schenectady,16021.0
1980,160,"Albany-Schenectady-Troy, NY SMA",Troy,36,Troy,13834.0
1980,6840,"Rochester, NY SMA",Rochester,36,Rochester,64396.0
1980,5720,"Norfolk-Portsmouth, VA SMA",Norfolk,51,Norfolk,65613.0
1980,5720,"Norfolk-Portsmouth, VA SMA",Portsmouth,51,Portsmouth,30024.0
1980,2480,"Fall River, MA-RI SMA",Fall River,25,Fall River,24884.0
1980,80,"Akron, OH SMA",Akron,39,Akron,62511.0
1980,5000,"Miami, FL SMA",Miami,12,Miami,74094.0
1980,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Allentown,42,Allentown,23224.0
1980,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Bethlehem,42,Bethlehem,15436.0
1980,240,"Allentown-Bethlehem-Easton, PA-NJ SMA",Easton,42,Easton,6476.0
1980,1480,"Charleston, WV SMA",Charleston,54,Charleston,14330.0
