year,cohort,under18
1950,1950,23928925
1950,1960,0
1950,1970,0
1950,1980,0
1950,1990,0
1950,2000,0
1950,2010,0
1950,2020,0
1950,0,11863905
1960,1950,37407508
1960,1960,2688304
1960,1970,0
1960,1980,0
1960,1990,0
1960,2000,0
1960,2010,0
1960,2020,0
1960,0,12358370
1970,1950,41894440
1970,1960,3462059
1970,1970,5544098
1970,1980,0
1970,1990,0
1970,2000,0
1970,2010,0
1970,2020,0
1970,0,11395655
1980,1950,35772688
1980,1960,3732559
1980,1970,5935610
1980,1980,2902157
1980,1990,0
1980,2000,0
1980,2010,0
1980,2020,0
1980,0,10799519
1990,1950,35360664
1990,1960,4365655
1990,1970,6326753
1990,1980,3025627
1990,1990,1504093
1990,2000,0
1990,2010,0
1990,2020,0
1990,0,9903466
2000,1950,39587643
2000,1960,5565790
2000,1970,7710025
2000,1980,3537888
2000,1990,1783521
2000,2000,762425
2000,2010,0
2000,2020,0
2000,0,10064096
2010,1950,39715537
2010,1960,6314774
2010,1970,8995310
2010,1980,4170661
2010,1990,2054645
2010,2000,765586
2010,2010,3088477
2010,2020,0
2010,0,9556074
2020,1950,38704868
2020,1960,6492986
2020,1970,9270551
2020,1980,4157017
2020,1990,2005279
2020,2000,750431
2020,2010,2984217
2020,2020,415426
2020,0,8886196
