year,total_millions,pct_central_city,pct_suburb,pct_non_metro,central_city_millions,suburb_millions,non_metro_millions,source
1910,92.0,21.2,7.1,71.6,19.50,6.53,65.97,CENSR-4 Fig 1-14 + 1-15
1920,105.7,24.8,9.2,66.0,26.21,9.72,69.76,CENSR-4 Fig 1-14 + 1-15
1930,122.8,30.8,13.8,55.4,37.82,16.95,68.03,CENSR-4 Fig 1-14 + 1-15
1940,131.7,32.5,15.3,52.2,42.80,20.15,68.75,CENSR-4 Fig 1-14 + 1-15
1950,150.7,32.8,23.3,43.9,49.43,35.11,66.16,CENSR-4 Fig 1-14 + 1-15
1960,179.3,32.3,30.9,36.8,57.91,55.40,65.98,CENSR-4 Fig 1-14 + 1-15
1970,203.2,31.4,37.6,31.0,63.80,76.40,62.99,CENSR-4 Fig 1-14 + 1-15
1980,226.5,30.0,44.8,25.2,67.95,101.47,57.08,CENSR-4 Fig 1-14 + 1-15
1990,248.7,31.3,46.2,22.5,77.84,114.90,55.96,CENSR-4 Fig 1-14 + 1-15
2000,281.4,30.3,50.0,19.7,85.26,140.70,55.44,CENSR-4 Fig 1-14 + 1-15
2020,331.4,32.0,54.0,14.0,106.05,179.0,46.4,Frey/Brookings 2020 Census Portrait (estimate)
